date,million_AT,million_BE,million_BG,million_CY,million_CZ,million_DE,million_DK,million_EE,million_EL,million_ES,million_EU27_2020,million_FI,million_FR,million_HR,million_HU,million_IE,million_IT,million_LT,million_LU,million_LV,million_MT,million_NL,million_PL,million_PT,million_RO,million_SE,million_SI,million_SK,pct_gdp_AT,pct_gdp_BE,pct_gdp_BG,pct_gdp_CY,pct_gdp_CZ,pct_gdp_DE,pct_gdp_DK,pct_gdp_EE,pct_gdp_EL,pct_gdp_ES,pct_gdp_EU27_2020,pct_gdp_FI,pct_gdp_FR,pct_gdp_HR,pct_gdp_HU,pct_gdp_IE,pct_gdp_IT,pct_gdp_LT,pct_gdp_LU,pct_gdp_LV,pct_gdp_MT,pct_gdp_NL,pct_gdp_PL,pct_gdp_PT,pct_gdp_RO,pct_gdp_SE,pct_gdp_SI,pct_gdp_SK,pct_total_exp_AT,pct_total_exp_BE,pct_total_exp_BG,pct_total_exp_CY,pct_total_exp_CZ,pct_total_exp_DE,pct_total_exp_DK,pct_total_exp_EE,pct_total_exp_EL,pct_total_exp_ES,pct_total_exp_EU27_2020,pct_total_exp_FI,pct_total_exp_FR,pct_total_exp_HR,pct_total_exp_HU,pct_total_exp_IE,pct_total_exp_IT,pct_total_exp_LT,pct_total_exp_LU,pct_total_exp_LV,pct_total_exp_MT,pct_total_exp_NL,pct_total_exp_PL,pct_total_exp_PT,pct_total_exp_RO,pct_total_exp_SE,pct_total_exp_SI,pct_total_exp_SK
2010,1936.4,3529.1,641.1,423.6,1538.2,26771.0,3326.1,256.5,6069.0,11283.0,147475.3,2905.0,37226.0,620.4,1170.6,595.8,22191.0,305.6,212.1,188.0,50.4,8133.0,5925.9,3420.4,1827.3,5518.0,542.7,869.3,0.7,1.0,1.7,2.2,1.0,1.0,1.4,1.7,2.7,1.0,1.3,1.5,1.9,1.3,1.2,0.4,1.4,1.1,0.5,1.1,0.7,1.3,1.6,1.9,1.4,1.5,1.5,1.3,1.2,1.8,4.6,4.9,2.2,2.1,2.4,4.3,5.1,2.3,2.6,2.9,3.3,2.8,2.4,0.5,2.8,2.6,1.2,2.3,1.8,2.6,3.6,3.7,3.6,2.9,3.0,3.1
2011,1977.5,3561.0,475.2,376.7,1456.6,27696.0,3353.7,252.3,4955.0,11155.0,144881.5,2715.0,36727.0,645.2,1073.1,743.2,22560.0,300.9,179.4,199.7,56.0,8102.0,6005.9,2181.4,1111.0,5783.4,425.5,813.8,0.6,0.9,1.1,1.9,0.9,1.0,1.4,1.5,2.4,1.0,1.3,1.4,1.8,1.4,1.1,0.4,1.4,1.0,0.4,1.0,0.8,1.2,1.6,1.2,0.8,1.4,1.2,1.1,1.2,1.7,3.4,4.2,2.0,2.2,2.4,4.0,4.4,2.3,2.6,2.6,3.2,2.9,2.1,0.9,2.8,2.4,1.0,2.4,1.9,2.6,3.6,2.5,2.1,2.8,2.3,2.8
2012,1914.0,3574.6,438.1,358.3,1302.3,29380.0,3567.2,327.3,4610.0,9698.0,142552.0,2992.0,37525.0,639.7,726.0,706.4,20861.0,312.3,165.7,198.2,50.6,7515.0,5722.8,1873.3,957.1,5928.0,384.2,824.9,0.6,0.9,1.0,1.8,0.8,1.0,1.4,1.8,2.5,0.9,1.2,1.5,1.8,1.4,0.7,0.4,1.3,0.9,0.4,0.9,0.7,1.1,1.5,1.1,0.7,1.4,1.1,1.1,1.2,1.6,3.0,3.4,1.8,2.3,2.4,4.6,4.3,1.9,2.5,2.7,3.1,3.0,1.5,0.9,2.5,2.6,0.9,2.3,1.6,2.4,3.4,2.3,1.9,2.7,2.1,2.8
2013,2062.8,3630.9,505.3,301.7,1208.4,28587.0,3364.7,346.8,3879.0,9878.0,141198.1,2988.0,37523.0,592.2,686.8,687.1,19783.0,320.1,161.5,206.6,49.1,7513.0,6541.8,1898.4,1002.8,6323.1,346.1,811.1,0.6,0.9,1.2,1.7,0.8,1.0,1.3,1.8,2.2,1.0,1.2,1.5,1.8,1.3,0.7,0.4,1.2,0.9,0.3,0.9,0.6,1.1,1.7,1.1,0.7,1.4,1.0,1.1,1.2,1.6,3.2,3.6,1.8,2.2,2.3,4.7,3.4,2.1,2.5,2.6,3.1,2.8,1.3,0.9,2.4,2.6,0.8,2.4,1.5,2.4,3.9,2.2,2.0,2.7,1.7,2.6
2014,1959.0,3530.0,560.4,278.2,1093.8,27009.0,3010.5,358.4,4757.0,8950.0,136095.6,2863.0,36191.0,547.3,621.7,760.5,19320.0,348.5,151.0,211.5,62.9,7320.0,6047.6,1819.3,1106.0,5606.4,322.3,1290.4,0.6,0.9,1.3,1.6,0.7,0.9,1.1,1.8,2.7,0.9,1.1,1.4,1.7,1.2,0.6,0.4,1.2,1.0,0.3,0.9,0.7,1.1,1.5,1.1,0.7,1.3,0.9,1.7,1.1,1.6,3.0,3.1,1.6,2.0,2.1,4.7,5.2,1.9,2.3,2.4,2.9,2.5,1.2,1.0,2.3,2.7,0.7,2.3,1.8,2.3,3.5,2.0,2.1,2.5,1.7,4.0
2015,1942.1,3449.5,597.4,264.3,1548.1,28297.0,3018.8,389.0,4443.0,10416.0,142520.6,2760.0,38499.0,531.4,756.0,786.8,19722.0,469.5,141.0,249.5,77.9,7697.0,6675.9,1820.5,1389.1,5438.1,332.2,809.5,0.6,0.8,1.3,1.5,0.9,0.9,1.1,1.9,2.5,1.0,1.2,1.3,1.7,1.2,0.7,0.3,1.2,1.3,0.3,1.1,0.8,1.1,1.5,1.0,0.9,1.2,0.9,1.0,1.1,1.5,3.2,3.4,2.2,2.1,2.0,4.7,4.6,2.2,2.4,2.4,3.1,2.5,1.3,1.0,2.4,3.6,0.6,2.6,2.0,2.4,3.7,2.1,2.4,2.4,1.7,2.3
2016,2168.3,3457.5,541.7,292.3,1276.8,29679.0,3129.4,514.4,3706.0,10889.0,152554.8,2887.0,42727.0,526.5,904.7,822.4,22051.0,574.9,175.6,410.7,60.8,7839.0,6734.3,1592.7,2848.6,5538.9,378.0,828.4,0.6,0.8,1.1,1.5,0.7,0.9,1.1,2.3,2.1,1.0,1.2,1.3,1.9,1.1,0.8,0.3,1.3,1.5,0.3,1.7,0.6,1.1,1.6,0.9,1.7,1.2,0.9,1.0,1.2,1.5,3.2,3.9,1.8,2.1,2.1,6.0,4.2,2.3,2.5,2.4,3.4,2.4,1.7,1.1,2.6,4.3,0.8,4.3,1.6,2.5,3.8,1.9,4.9,2.4,2.0,2.5
2017,2234.1,3520.5,564.1,416.0,1554.9,32369.0,3420.5,485.6,4486.0,10373.0,157908.5,2814.0,40765.0,527.2,1365.6,803.6,22314.0,686.7,195.7,446.1,70.9,8242.0,7920.1,1700.6,3347.2,5594.0,383.7,1308.6,0.6,0.8,1.1,2.0,0.8,1.0,1.2,2.0,2.5,0.9,1.2,1.3,1.8,1.0,1.1,0.3,1.3,1.6,0.3,1.7,0.6,1.1,1.7,0.9,1.8,1.2,0.9,1.5,1.2,1.5,3.1,5.3,2.1,2.2,2.3,5.1,5.2,2.2,2.6,2.4,3.1,2.4,2.3,1.0,2.6,4.9,0.8,4.3,1.7,2.6,4.1,1.9,5.4,2.3,2.0,3.9
2018,2277.8,3481.2,649.9,409.4,1822.2,35604.0,3546.7,529.8,4070.0,10287.0,162695.9,2782.0,41573.0,581.5,1260.9,935.3,21995.0,782.4,248.4,614.4,84.0,8664.0,8152.8,1771.3,3414.9,5626.1,443.5,1088.2,0.6,0.8,1.2,1.9,0.9,1.0,1.2,2.0,2.3,0.8,1.2,1.2,1.8,1.1,0.9,0.3,1.2,1.7,0.4,2.2,0.6,1.1,1.6,0.9,1.7,1.2,1.0,1.2,1.2,1.4,3.1,4.2,2.1,2.3,2.3,5.2,4.6,2.0,2.6,2.3,3.2,2.4,2.0,1.1,2.6,5.1,1.0,5.4,1.8,2.6,3.9,2.0,4.8,2.4,2.2,3.0
2019,2429.3,3769.5,729.9,397.1,1977.3,36488.0,3492.1,587.7,3630.0,10537.0,168176.0,2799.0,42059.0,586.3,1497.3,842.6,23060.0,802.7,237.2,580.8,93.3,10151.0,8677.9,1753.0,3722.8,5734.8,471.4,1069.0,0.6,0.8,1.2,1.7,0.9,1.0,1.1,2.1,2.0,0.8,1.2,1.2,1.7,1.1,1.0,0.2,1.3,1.6,0.4,2.0,0.6,1.2,1.6,0.8,1.7,1.2,1.0,1.1,1.3,1.5,3.3,4.2,2.1,2.3,2.3,5.3,4.1,2.0,2.6,2.2,3.1,2.3,2.2,1.0,2.6,4.7,0.9,5.0,1.8,2.9,3.9,1.9,4.6,2.4,2.2,2.8
2020,2379.6,4138.8,914.7,405.9,2198.4,37793.0,3608.8,658.6,4244.0,10549.0,176575.5,3321.0,43392.0,555.9,1504.1,912.1,22726.0,1132.6,466.4,743.8,68.7,10821.0,9138.1,1661.3,5168.9,6472.2,495.2,1105.3,0.6,0.9,1.5,1.8,1.0,1.1,1.2,2.4,2.5,0.9,1.3,1.4,1.9,1.1,1.1,0.2,1.4,2.3,0.7,2.5,0.5,1.3,1.7,0.8,2.3,1.4,1.1,1.2,1.1,1.5,3.6,3.9,2.2,2.1,2.2,5.3,4.3,1.8,2.5,2.5,3.0,2.0,2.1,0.9,2.4,5.3,1.5,5.8,1.1,2.8,3.6,1.7,5.6,2.6,2.0,2.6
2021,2431.0,4454.0,1158.9,437.1,2297.9,38106.0,4059.9,639.8,5038.0,11716.0,182997.5,2992.0,43378.0,579.9,1702.8,883.5,24994.0,1033.2,333.7,802.3,88.8,11177.0,9080.2,1783.2,4648.0,7161.2,619.3,1401.7,0.6,0.9,1.6,1.7,0.9,1.0,1.2,2.0,2.7,0.9,1.2,1.2,1.7,1.0,1.1,0.2,1.4,1.8,0.5,2.5,0.5,1.3,1.6,0.8,1.9,1.3,1.2,1.4,1.1,1.6,3.9,4.0,2.1,2.0,2.4,4.8,4.8,1.9,2.4,2.2,2.9,2.1,2.3,0.8,2.4,4.9,1.1,5.3,1.3,2.7,3.6,1.7,4.8,2.7,2.4,3.1
2022,2702.9,5440.9,1339.7,443.0,2738.7,40578.0,4607.0,790.9,5391.0,15347.0,202472.8,3239.0,47741.0,679.8,2346.4,925.0,24011.0,1412.4,415.2,864.5,83.3,12818.0,10602.8,1841.0,5129.8,9229.0,656.8,1098.7,0.6,1.0,1.6,1.5,1.0,1.0,1.2,2.2,2.6,1.1,1.3,1.2,1.8,1.0,1.4,0.2,1.2,2.1,0.5,2.4,0.5,1.3,1.6,0.8,1.8,1.7,1.2,1.0,1.1,1.8,3.8,4.0,2.2,2.1,2.7,5.4,4.9,2.4,2.5,2.3,3.1,2.2,2.8,0.9,2.2,5.8,1.2,5.4,1.2,3.0,3.7,1.7,4.5,3.4,2.4,2.3
2023,2879.8,5645.3,1388.0,597.9,3799.5,46367.0,6803.9,1048.8,5039.0,13987.0,227396.9,3926.0,51580.0,1023.9,3695.0,1241.6,25601.0,1866.2,438.2,1230.0,88.4,14355.0,15366.0,2065.0,5509.7,9566.2,785.2,1503.2,0.6,0.9,1.5,1.9,1.2,1.1,1.8,2.7,2.2,0.9,1.3,1.4,1.8,1.3,1.9,0.2,1.2,2.5,0.6,3.1,0.4,1.3,2.1,0.8,1.7,1.8,1.2,1.2,1.2,1.8,3.8,4.6,2.7,2.3,3.9,6.3,4.5,2.1,2.7,2.6,3.2,2.8,3.8,1.1,2.2,6.8,1.2,7.2,1.2,3.1,4.4,1.8,4.2,3.6,2.6,2.5
