year,E.E.,Αλβανία,Αυστρία,Βέλγιο,Βουλγαρία,Βόρεια Μακεδονία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Σλοβακία,Σλοβενία,Σουηδία,Τουρκία,Τσεχία,Φινλανδία
1990,143241426765.472,0.0,1972701681.51639,4644324240.80376,794520547.945205,,35774430324.9841,39650093949.6361,2649889473.4801,3193376484.06783,,594006010.402921,11695038644.5437,20734625578.569,,411409063.265004,,,87355711.5484087,21152027.6659552,7420849635.78912,847389246.889926,1540736842.10526,1416083169.93332,,,5913117377.03145,5315413395.48577,,2141300984.18983
1991,140736750122.873,0.0,1994055545.99645,4624500746.00154,232176386.59336,,35869120915.2144,37024379615.7476,2671946670.50212,3146899034.9562,,624932658.118737,11680263754.1412,21585706771.8811,,418387368.734114,,,97334052.2155733,21744818.1247103,7246192325.00961,722549153.413242,1721995820.76569,1597556798.8274,,,5878822052.85847,5670666519.6485,,2200991548.89818
1992,147957242435.443,31559657.4817579,2139925321.74009,4131298112.21321,255770911.521259,,37902269820.7805,39319418649.1961,2837745376.59063,3623052914.95211,0.0,674035044.462192,12250195429.6283,22177090390.3319,36272977.871391,630127106.011074,,,111320676.45306,26692690.8062996,7904561273.35182,812017967.195183,1881935067.22245,1912679509.68754,,281422738.461992,6141834497.22949,6157947273.30402,,2075955550.12822
1993,132708165813.576,39289843.4285042,2115115266.68433,3746042850.89637,282674243.302795,,35775273292.8873,34868224471.8466,2682011246.24842,3364413329.76605,13146559.8848877,597723765.566692,10041511353.1917,18242013901.2785,577978268.627984,268277271.620148,17691507.9721057,20769763.769377,97653069.7068746,24637705.5715577,7054868961.85133,735860385.584316,2123378415.67762,1655575218.56563,266899036.578679,230303671.569146,4752660459.46324,7075086939.89767,815585466.91913,1615424808.84487
1994,135605363863.386,49649504.9316606,2227560550.13156,3944101812.83271,241993434.773533,,37288606059.734,34039251428.098,2718790041.74167,3587244914.44126,25135735.3798423,633699379.139512,10092671257.3779,18062459081.75,1472678523.61282,298469126.876729,33900348.0435732,21062271.3845767,113834573.485786,27870262.1406315,7137373800.97303,757131989.349563,2251923178.48153,1641548411.42883,299993419.135274,237949504.101327,4818836776.19275,5293173965.76006,938252776.610121,1756338983.66821
1995,148082181550.782,50907521.7778257,2557834494.18618,4449014834.61072,311147105.587547,,40124024138.3696,38563185777.7354,3117966146.47015,4179913246.97254,36343487.5827555,702039703.123066,11439906271.1837,17185853003.8965,1947665978.2438,298833385.510591,43560331.058516,30453612.5,128521764.263556,31144859.9551321,8011539559.49845,612184817.11635,2719362633.91863,2016499720.1793,629622682.638738,334655022.858287,4653429165.95988,6606245814.71084,1065352458.67667,1908986807.29445
1996,148256326234.274,45713356.1086709,2457903048.65764,4241865967.61501,213616356.26711,130636725.852966,38977734095.7754,36531135729.4786,3086224944.68559,4613167576.65798,41436607.7091847,750987245.817278,11294316854.7562,20793128832.2001,1809859601.86617,448075909.330522,38154934.5559927,42260000.0,127833884.333152,33296174.8165298,7829004727.93771,585271901.838883,3083416787.21116,1964184856.09052,641559871.059046,329972648.331902,4301745511.95255,7512090795.51722,1123923830.99588,2021797095.44643
1997,135032135383.157,29825491.9997583,2164802343.39854,3684095388.87611,244369396.151925,83254172.2079454,34697904099.1796,31122832250.9443,2804317082.69866,4573516492.29295,53031652.1754812,765305513.303899,9865892241.04623,20156102258.3609,1682974284.59018,534141188.663451,37988313.1495215,75611000.0,121130606.414131,31142214.8911819,6839136798.54718,695972460.905085,3192276376.89866,1803958424.17472,499529506.65412,290785271.801767,5085207514.45011,7791986303.62493,988324331.827474,1947002589.51344
1998,135453049295.525,33638047.439804,2159796003.21024,3664288413.2382,320389011.33859,78991291.1275263,33633561283.2294,31056200101.4714,2846065338.17452,4824257168.88238,59919847.4767519,742402153.190535,10333417234.2975,20825125351.8551,1341113073.5547,483748645.108205,42180166.50442,138175000.0,129319441.153816,29081268.4140846,6836084823.12962,618464379.996455,3491022616.10174,1763863840.30228,397592215.742942,301139822.232736,5035805616.94719,8781048158.20561,1166099773.24263,1959708814.0168
1999,133964516039.651,42784205.2131221,2124379545.86859,3598447519.62175,357224539.583311,66236920.4489137,32672714284.8488,30547956346.0754,2784881254.0853,5012285642.29829,73800541.3247853,741508607.785627,11113722490.4035,21016456909.9333,1041757821.49237,289970366.968818,56568626.3912459,106450000.0,127052871.960121,27986620.6626388,7026433290.32725,702942491.123612,3226555351.37669,1817405621.2408,327169170.93351,274841827.849109,5080829731.6891,9951788873.95143,1205931869.98831,1653905118.85978
2000,119907104394.754,45362503.3922719,1925557398.19421,3190805233.09379,351343204.852869,69828947.9074835,28403138948.7059,26374817230.8916,2392510831.18689,4564522446.23907,78313308.5597839,694674774.276764,10273779251.8887,19878720932.3752,667820477.128836,281160374.253609,69990683.3593674,140400000.0,115698727.119554,25353948.0516936,5971807628.52405,715857664.815596,3146106712.50118,1664674242.89918,342322768.946855,222391556.805474,4764337105.33669,9993730196.93899,1157294084.7289,1558135249.67754
2001,118839851789.146,53232045.1615151,1788798310.52966,3036035471.71837,406003542.804308,226303002.332551,27951566384.416,25695786941.5742,2525225824.9007,4428103551.64607,93818539.904212,767778364.399424,10222074075.3998,19519381482.0449,623607529.366786,327627160.291588,86966741.0976613,166875000.0,144712221.63036,27119323.113905,6200391942.80141,845055673.845509,3630645594.66523,1755718394.78689,393996598.321589,271488790.388659,4283625872.53488,7216051044.80291,1182519922.28272,1479270879.00779
2002,128080957501.117,58649352.5025864,1881746741.32982,3147146016.65804,455950466.542769,106309576.719741,30578398932.8217,27483419148.2877,2694082493.21381,4734177215.18987,122069530.653957,811255940.896899,10270839019.3403,21610059761.8936,721391026.71591,242483490.995524,147224840.18431,181481441.190549,138593169.491047,28403690.7967686,6728153969.22498,1079154823.6243,3776173214.41264,1965227762.20599,440059286.041859,326959522.812057,4354573015.42961,9050377181.98284,1494390396.62782,1611406522.04602
2003,157160529945.15,76142881.7606657,2381962768.92309,3875697772.32025,569054077.451376,115827201.720104,38569115812.9361,32844470563.0021,3199158427.7901,5035585541.86408,171411923.856068,965199981.039102,12880532801.2243,26824213292.0407,712496403.325571,288427605.802032,189144251.392141,210822413.235453,179459262.359853,34125502.0046044,8356338470.08128,1401561253.104,4150261758.56501,2363340458.71829,624508454.581203,416906753.676513,5305640404.14034,10277901778.2782,1885706689.35446,2475059743.10789
2004,177912801438.224,100922358.435493,2679282064.65391,4262663512.81717,620909015.878256,135256294.791125,44524579612.5999,35610804036.071,3578832460.36595,6267468787.4442,204968180.242807,1101860647.03582,15262458636.7672,30261076654.6845,726810082.324195,338474566.321656,229353322.500953,270841799.761921,212017959.420621,40526469.1888229,9377114724.37963,1532612234.02681,4778627749.04037,2847156258.34249,711290428.025739,493153892.913731,5514710384.83363,10920773882.178,2042085930.62981,2892938123.9925
2005,181747721755.569,110140852.685934,2686166243.8442,4228224643.0881,667670395.710647,127003654.35225,44442050523.1392,35654287674.7157,3468452919.92043,7028428592.74735,204517021.023267,1144978361.43859,15997724220.2656,29737642391.6828,784727318.454891,380875028.849392,272551115.779465,303819006.351793,220210896.700791,52498963.3175824,9566980052.72845,1596087843.15297,5896404861.10253,3142565786.20106,823313455.449583,514172799.466764,5518466925.99715,12081156313.729,2439538514.19603,2999391048.80259
2006,187684353915.392,140983900.659916,2640185362.43902,4307895340.97481,715719535.423628,126008876.72176,45792148415.5244,35883657972.6799,3896730667.68907,7607186181.61655,236324449.190189,1190379117.3707,17252217612.6934,29633022263.3135,825641092.082906,387703671.961883,367825490.444438,351605788.760387,223272213.026936,44434425.8372603,10217765740.3144,1410071771.47203,6619413758.87805,3153770788.35488,911370626.760049,608833753.372966,5577203266.3572,13036508103.1888,2449963709.7488,3128517474.44563
2007,211526002651.954,194840309.240843,3499817967.31076,5163979973.66685,990168293.621637,162567237.054492,50684467384.4229,40110859276.4132,4175652589.23159,8533090258.10319,371974547.445358,1372225370.15595,20065668634.8096,31982431792.4882,953886579.582177,405176368.466016,481492627.144147,442004493.34913,258432797.19653,49263377.1156559,11480377423.5668,1776464117.28187,8589136364.45745,3309436410.37012,1139194487.75287,692654912.555876,6386221161.54271,14987758360.004,2707677752.20881,3296557750.13862
2008,236651656839.041,255677957.818501,3746731607.28018,6295821584.20918,1161451477.80304,172658158.914868,55365965844.831,45098956311.5685,4788030120.84823,10574138499.2859,429662698.888808,1582890833.85213,22227721829.5675,36839989746.2189,1243402599.96579,453803054.161936,581752272.926594,541390194.647615,213864576.848427,56032519.1342879,12374848939.8323,1867877499.0849,9349421394.29862,3714798403.3398,1411710284.8947,829384406.928626,6024791006.05362,16809576495.1749,2918695853.37137,3958118334.10472
2009,225758034601.512,182736862.497776,3334754939.61878,5620670062.77758,904961292.111268,158716661.451318,56441455398.191,44528927835.6531,4337355690.401,10641348182.8677,353366576.57455,1415725373.44949,20178274984.962,34054481324.3999,1100010547.89215,471352781.092544,363809251.070089,404826028.671151,201432812.432711,59110111.5104266,12131812075.6887,1475818169.23822,7903812008.43552,3738315160.38914,1350294439.2041,798868642.190033,5062962024.19184,16047510903.5072,2718559513.1931,3940584835.35792
2010,213721204010.243,185893241.995074,3218351224.09923,5244720513.34689,832549293.00997,130021469.106429,52044060565.0524,43025915011.688,4503492126.71228,8163619386.92396,332180156.987998,1274228688.35632,19710785449.8738,32020819951.1287,981799328.999714,477587428.563861,259672124.197467,326320918.686429,247667357.574714,58728949.9301366,11220523280.0694,1350820413.18817,8790170132.32514,3540186346.50915,1137680535.59722,772085107.510148,5885935800.38626,17650464118.1755,2497902954.71325,3717180504.76047
2011,221548530625.664,197006789.236335,3409721208.58269,5499370964.2666,757931260.042945,132461994.809047,54120871009.5016,45163212878.2034,4518590126.86474,7128608267.12819,389237580.888435,1300331547.01086,19695435494.297,33828804971.12,1090923901.93254,479735318.444996,296834929.212511,344605215.42864,232152414.315602,55893126.4813618,11647934608.0864,1472069831.63811,9455422988.00142,3651882589.26399,1064842810.57336,665679671.372271,6324747364.3036,17006477805.3076,2474313259.0035,4099505807.28569
2012,205670809709.337,183204695.660212,3187227448.7533,5168997833.7235,722052494.990309,119410402.524102,50216507403.1664,43798225349.2896,4422458083.58423,5914988423.39784,436852911.624656,1157531729.65486,18860623363.4077,29781008205.1256,953070002.010722,414496321.441512,255740342.589249,328631681.612931,214571871.297993,49922008.9066599,10364720786.7464,1322277702.75073,8986838792.09222,3039982320.30569,1020180034.79405,543496416.521263,6243671605.39748,17694320712.6949,2220610394.58562,3943239958.16491
2013,207378291544.934,180015508.820867,3229065841.34293,5263164882.84678,811634330.232022,126506348.703425,52001462447.6638,44242647302.8936,4216647585.33628,5655183035.72021,479314460.824341,1195763444.3723,17242959322.0024,29957445904.5168,962051495.613846,384925361.045941,283568932.739998,354862149.703384,233682396.412975,53789438.883423,10226260324.8451,1280050962.2477,9275711727.44588,3262259363.56068,967923107.869653,506742932.103314,6528737467.32024,18427646196.757,2148784401.09143,4161139945.21741
2014,207309069343.391,178120368.027763,3305159256.48245,5191507314.94392,747532532.136439,124185105.67971,53134750898.8024,44662831167.6836,4056861510.68455,5531285908.87966,512119045.123526,1192733691.2242,17178549314.7619,27701034334.9422,1076424945.72479,357806822.598924,295728965.265711,426913695.365894,252079423.061844,56514879.9166599,10332602877.9244,1209801890.21288,10345153574.8722,3002398602.04712,997703821.802668,486194870.396018,6555518063.89502,17576538470.5059,2022883295.19451,3985508351.98832
