year, E.E.,Αυστρία,Βέλγιο,Βουλγαρία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Σλοβακία,Σλοβενία,Σουηδία,Τσεχία,Φινλανδία
1990,2.37375116650508,1.19566026670559,2.35544045891723,3.83344348975545,2.80526762706676,2.51843270660831,1.95075703504915,3.79826032707078,,1.20350328404375,2.29330520898016,1.8807984132592,,7.3740356129737,,,0.788344680855924,0.914918012232462,2.36901988510143,2.56353802709041,2.61248574350627,1.840828125429,,,2.46222087771384,,1.5633514986376
1991,2.18026264132769,1.15421711847241,2.28769284712482,3.04323157297492,2.81213643806721,1.99783498818879,1.95468015000635,3.484865109943,,1.25393531255992,2.12919223112803,1.85885268375554,,7.26477612246644,,,0.811385163106724,0.871119892244603,2.24853153093843,2.16146979946364,2.25165022520211,1.82995478165992,,,2.31988463219988,,1.78123103649322
1992,2.08183474426897,1.09921407158669,1.83233253009366,2.97263384321224,2.69066071063176,1.86047994113579,1.88937728533689,3.62980089042347,,1.20411854985202,2.04280367601027,1.75197698347487,7.60738644340829,9.12928604418491,,,0.827198401049985,0.973183398963503,2.21300259630903,2.1796531721192,2.23099944320713,1.80524410002279,,2.24723333231322,2.33879088257987,,1.90713101160862
1993,2.01928035120119,1.11558454134251,1.73596589343319,2.60927161179391,2.68953480643636,1.69353832263442,1.9071976696874,3.60012469561704,0.761751960945642,1.13922514870102,2.0118717370405,1.7867679733127,10.7267571545045,4.07495260499477,0.735295406430013,0.812260643325921,0.707154433830032,1.00196104784451,2.02782940845455,1.90656828980965,2.46918731544486,1.78650706580181,1.99636032146556,1.8173013500764,2.26371080409098,2.3304040663427,1.86801150656572
1994,1.93957187779789,1.09445307622703,1.67714315012305,2.49261728620574,2.66037496035159,1.55027643275389,1.77010988336089,3.58197232877289,1.04163027365878,1.10873259118524,2.00133740218861,1.71374275955101,11.1481772894242,4.02398919595774,0.838757226966531,0.493377598492433,0.741561435509644,1.02405911504141,1.91306097545144,1.82413438385634,2.27323210335054,1.68121275838708,1.93951901446386,1.65407466226615,2.13146621280382,2.28340085763757,1.75560359540335
1995,1.79906329345327,1.07323205206951,1.56575215144642,2.37413128378025,2.49249618936836,1.49502201427653,1.6853146650741,3.17319019644845,0.958098327008493,1.01435938826102,1.91702239465122,1.46784314334637,9.17569132270808,3.04103421492608,0.805656844387504,0.454372873794607,0.595326878183646,0.842358247918523,1.79424050457827,1.32472748303328,1.95550705469987,1.70698985615926,3.15455810787471,1.57303477574917,1.75340503836864,1.84362277299769,1.42254149924916
1996,1.77188661647612,1.04968297742271,1.54010265143452,2.40293410901733,2.41447395059335,1.46585845994395,1.64481665845606,3.31191328182087,0.873596073837831,0.989927158967187,1.81443901615473,1.58849227935037,8.16321470358059,4.52471482889734,0.639144683331598,0.503980009230949,0.587036047449911,0.8748123692217,1.75660773571403,1.25906103979783,1.96791940080864,1.60164392895377,2.9738286677448,1.53636281209044,1.48460287619292,1.73190468756652,1.53047227121301
1997,1.7583648955826,1.04643398189713,1.47697579587888,2.4307013549238,2.37540965314127,1.40930173264786,1.61596120506505,3.36586889039913,1.0467724867254,0.92406612738302,1.72281567944182,1.62669279946621,7.52158642382081,5.573910769889,0.582114908741438,0.747111152854449,0.613890040125864,0.824691193662375,1.65927318261403,1.47668440278226,2.03130669657497,1.54115692093072,2.28311624477759,1.40136831751909,1.90897589896416,1.66204579070562,1.53515505066012
1998,1.71634398771298,1.01807286299799,1.46391926511004,2.45305914743146,2.22620830652768,1.39089478616645,1.60802638812534,3.53386881535161,1.06749171827448,0.823869515994083,1.75731994886122,1.64450887913205,5.59525129683707,4.67631794591642,0.587847986496102,1.22925433619046,0.63992050413869,0.731471858138656,1.5806480613385,1.2721641748015,2.01908131442398,1.42261228762117,1.74433653315927,1.36118246899735,1.87262378757035,1.82593182035358,1.46317555780765
1999,1.68888747828621,0.980246123382213,1.38583555922092,2.64517195633853,2.17784297022174,1.39507435456434,1.56485472255403,3.36046994465272,1.28711336447566,0.750676498659298,1.75523458900652,1.68329979808882,4.41637693322144,2.73385096955161,0.750940828413688,0.970102491828194,0.57140192589808,0.683654672499048,1.58982542582888,1.43361259969176,1.90113577122386,1.42584248484356,1.57382654973916,1.211302468275,1.86594944512673,1.85906992321232,1.22310377157804
2000,1.65210913085932,0.98031858008593,1.34121027642881,2.65245576158903,2.08501824480333,1.35888303317903,1.45744405054744,3.46535532008881,1.37632711527768,0.695697742113547,1.72551798839458,1.74105950432123,3.02098660264849,2.82209015133954,0.881715011606815,1.21669999047963,0.54411854308622,0.625517348678825,1.43400434064074,1.51310022700998,1.83033658531361,1.4064679631307,1.6553123819075,1.09316627543634,1.82306740738699,1.87735695616487,1.24114750368778
2001,1.6106754881579,0.908240040709509,1.27650416647228,2.86251954387639,2.03069528996546,1.3234383027941,1.53238072045298,3.25141285622817,1.50221446192756,0.703517156269364,1.62958403293614,1.67936473768145,2.70460855366516,3.15322215947894,1.04153876427659,1.36194363753379,0.680287079761237,0.666917449365587,1.43790686912329,1.57012709014657,1.90563800121799,1.44450317171971,1.84316098962007,1.30048247372981,1.77729825439474,1.75124955758828,1.14451283258445
2002,1.59240945474635,0.88352783657309,1.21571220776463,2.77967655484011,2.04625799037992,1.32795812092343,1.50814985204971,3.07737457530621,1.66712950092163,0.634013720386081,1.45597370162444,1.7061872461629,2.70984361143565,2.1301607353618,1.54220827552533,1.27128874631595,0.586825535638613,0.635846067295531,1.42655601162955,1.59377380209258,1.90063864932514,1.46402023240966,1.7760268404571,1.38761857556639,1.64115454047208,1.82440696826275,1.15463722865486
2003,1.58714135154404,0.913640318789259,1.21498815616525,2.69120147161229,2.0956804128006,1.31692486502826,1.46685124979903,2.49389475249858,1.74304929525979,0.587540935936822,1.42254439300681,1.70899553724228,2.02770104358502,1.98516312435716,1.61002427493687,1.12122849806511,0.60717994174289,0.630122908756666,1.44380959809676,1.64262159438689,1.90804203657513,1.43269340811947,1.84111107563443,1.40379833710615,1.59678996943608,1.8927640441762,1.44685726264926
2004,1.56196825358224,0.893480466242935,1.14927213880449,2.3737116819405,2.10435083527246,1.26895739640399,1.42370423392813,2.60567252971209,1.6996892247017,0.568322292110072,1.43022117967926,1.68267326961679,1.74186592099339,1.9557691617927,1.59565821670758,1.19594328186275,0.611235470879585,0.670530017159899,1.42682783976905,1.47272381889096,1.8732410064926,1.5048739869189,1.6520060170675,1.43065194465024,1.44128335992893,1.71370317302129,1.47016356457354
2005,1.48138069692114,0.850142574026263,1.09664118158572,2.23535026726367,2.02370691892637,1.06562970052135,1.31148849991359,2.83659627711189,1.4509199321799,0.540612698817302,1.38717775355122,1.60096876399271,1.74563699248783,2.03746974323698,1.61062192658035,1.16345400761345,0.58477615707441,0.819604968047487,1.3964852790883,1.40983615554013,1.92612986992008,1.59379180313443,1.67909052359894,1.4201971624414,1.40698751486224,1.77882220026108,1.46451773981136
2006,1.47762135215422,0.785813244459197,1.05612306878486,2.08176190777138,1.97509829987374,1.19930295839133,1.37749201363591,2.78341887026498,1.38756206587647,0.51315124388682,1.37000746147478,1.52134332564687,1.67013535951609,1.8999978625024,1.70523464011206,1.16518481322546,0.52078771268481,0.653051750694016,1.39338905749077,1.21856650672823,1.92075038034244,1.51208523296058,1.59399802258371,1.54218221292603,1.31820552345733,1.5678353362801,1.44240186243663
2007,1.43733724509429,0.90045717278703,1.09801876439276,2.22853990097534,1.90752863357749,1.17247176491769,1.30724682939246,2.67930592141264,1.65732023639674,0.508754794161221,1.36310631227691,1.44705251876997,1.61680932558254,1.68459965831751,1.55039879604486,1.11360756727258,0.50162400683642,0.61769072153659,1.35471679829449,1.26721425125684,2.00203282841042,1.37790810197484,1.47838892400771,1.44291454234963,1.29998150757256,1.42371628899144,1.28752050624668
2008,1.45636569623106,0.870705123070585,1.22191451658895,2.13186398257533,1.89707589581907,1.20903400366779,1.35500459027372,2.98305234467131,1.7671976129674,0.576987820203192,1.36762048450666,1.53567479652557,1.83172154646764,1.62970494449745,1.62264137558566,1.13160855191207,0.364912794964823,0.616369198929103,1.30531923769851,1.17976756209114,1.75213971068109,1.41594674624287,1.45938505158744,1.49291914113746,1.16374723679633,1.2324715671579,1.39093940428535
2009,1.53317896877329,0.833379564692924,1.1677684366565,1.73951150062383,2.09814733452729,1.31060407322149,1.35017862531649,3.22484113782964,1.79905979568072,0.601169020641842,1.35835383696039,1.55421070227095,1.78981505092475,1.81681950779024,1.37736784110828,1.08280378279988,0.371311757115607,0.679751022143928,1.39763332170373,1.125985152169,1.79741622783841,1.53406376621365,1.51648666734409,1.58615682467018,1.15980434381161,1.31056414250743,1.56074235593355
2010,1.46868681471804,0.821232711530621,1.09048821653131,1.64246152423714,1.96941935275241,1.26682662611137,1.3986217868925,2.75021826236583,1.70042562190944,0.574760721661621,1.3873781239833,1.50049457592519,1.67080387331283,1.85292455056688,1.0835925294035,0.878659092050565,0.441009496679635,0.650590925577019,1.32543371501611,1.02199035673629,1.84785215509548,1.48821803172514,1.24918295945171,1.60312521178811,1.18712854137069,1.19477218141337,1.49175815960034
2011,1.40613751291449,0.790897558452031,1.05221776971326,1.31400025609446,1.89140621361087,1.20615033635783,1.31353128527572,2.52227876563293,1.67893330315731,0.544395813647308,1.33187655521014,1.47595659708976,1.74118286536987,1.73783209097559,1.07114811696512,0.790700848052255,0.376775588804359,0.580640238717098,1.28836534898418,1.03709056372928,1.80318361835199,1.4917984786847,1.06706271874263,1.29217076374929,1.10169116434029,1.07783649896869,1.48940898392913
2012,1.40362126157627,0.778464250647036,1.0417564900031,1.32981896505284,1.87108059984757,1.24167747904608,1.35181897255939,2.44377558683293,1.89767278395814,0.514158093977392,1.42363040003724,1.42692497660769,1.66162233029738,1.65475170209627,0.907662242915502,0.765265810142739,0.358937251707305,0.527587899389015,1.23540888805849,1.02649856116043,1.81467677038876,1.40585994869538,1.07808283795721,1.16679123354242,1.13011028867624,1.0632168166006,1.52658465854544
2013,1.35519663178605,0.750825383084571,1.00895947872124,1.45404283053363,1.84987591828694,1.18525790100841,1.22725200034691,2.36777200944603,1.9089636493344,0.502326938186923,1.27236040392798,1.39902041932938,1.61759543360309,1.60700908951525,0.938941958353352,0.762907482084214,0.358492375793951,0.509947594950674,1.16615162393654,0.943403779328103,1.79844993577184,1.44112106338382,0.978618159746004,1.04694825557094,1.11252053864955,1.01508371972557,1.53386093450991
2014,1.32501102948804,0.747780095379783,0.970959791148112,1.30960223173333,1.86296143947269,1.14994199690514,1.14927328634589,2.35228766757336,1.92535738573578,0.459917413502212,1.25391242368837,1.28296965427672,1.81633909411766,1.54260195978916,0.943460035769368,0.879596257744358,0.366856825936978,0.486761550387849,1.15968789088093,0.857809630794751,1.91903675982857,1.30768664159842,0.984879429017199,0.973739588196785,1.12644731800047,0.966227818064756,1.45193018748459
2015,1.3109174553291,0.698116413133988,0.909284202068915,1.24593360652028,1.87225828127684,1.13733842666332,1.11144601158659,2.46330328904394,2.0260417420727,0.341167624216614,1.2702320395662,1.20822832564616,1.75380672758477,1.64766762744388,1.03735427695593,1.13774817357899,0.415571527949753,0.467203716750544,1.13271150479415,0.904722073336147,2.1405458303192,1.32655839631643,1.10950186885543,0.930119531623913,1.06650205259044,0.946582095560622,1.44996097168673
2016,1.32660198310339,0.729737691793485,0.89470623618152,1.24384580804927,1.91728236804142,1.15123037317289,1.14763761681092,2.57212022449423,2.06916436631533,0.335786647906792,1.13713590926222,1.33483525169556,1.59352332128186,1.40455761221209,1.45006228291436,1.47750587185705,0.378949157263331,0.511888844132672,1.16362691769596,1.00201990429055,1.94921770662177,1.54110296138377,1.11609893716249,1.00428707817666,1.0530163887864,0.996128102620186,1.41965262644931
2017,1.33231859427656,0.757279033702098,0.883563446003045,1.22220854798635,1.90864201234437,1.15340372066259,1.13823325447046,2.56348990681236,2.00976650859972,0.306034627422037,1.23002910987775,1.35737055917772,1.6367667979535,1.56810293907547,1.59351134040875,1.71207046761202,0.495110917223231,0.479625797586355,1.15680366756712,1.19355289709367,1.90165998081495,1.2370678817014,1.10428883698508,0.981780637525869,1.023179204574,0.956655421726352,1.35129760805299
2018,1.3468214044683,0.745028039648345,0.891358084802809,1.44929413825753,1.84300872300244,1.17054854477113,1.27753927185212,2.71645307270589,2.0090871203263,0.286463500322568,1.25433377164601,1.35929093471843,1.54696751458149,1.76054591686911,2.06149811300222,1.96637494666771,0.500655642661875,0.434325315075578,1.2166741818661,1.00606844814921,2.04480024979944,1.34025963919119,1.22170097426647,0.977856790281467,1.03224609210767,1.08844948058138,1.36253437390239
2019,1.38138389601936,0.75035965749035,0.888429380863306,3.13356898891163,1.8364614707329,1.26184145004044,1.29509238115422,2.62245307490582,2.03570397226451,0.278905402054922,1.23270491757212,1.31150962472626,1.60350358639622,1.78661901313827,2.0214000784007,1.99554075372468,0.546198379988419,0.501868733130497,1.31836099648855,1.33524248667313,1.97509539032691,1.37469631433049,1.70497144469347,1.0543316103123,1.09340922552771,1.15229255021758,1.35371761625629
2020,1.54267141832478,0.884127145088915,1.01248470692312,1.59346116571228,1.99647774299432,1.37427175481016,1.37713112053436,3.069343544579,2.29675683425333,0.267555214275712,1.36664551701951,1.73898398051865,1.70256133740463,1.92017174602879,2.16211101523024,2.06523858406958,0.578077082223964,0.566881931048812,1.4412639825242,1.76006936522039,2.28748515617247,1.429790701133,1.92200478883117,1.0585626998026,1.14608642427625,1.32244994903778,1.42582276779338
2021,1.50174563040482,0.8736941368808,1.03872662668212,1.51749089579214,1.91440611513925,1.32102724294738,1.30012223662152,3.8668791000781,2.0308662213269,0.246964923185605,1.35211774619771,1.6812622421282,1.96944408251846,1.83792041200868,2.08702338506654,1.95651032201318,0.47124923612019,0.486319433139289,1.39825198400619,1.32374131113092,2.24262361370911,1.51953308872168,1.74154649987505,1.23377056737635,1.18522396008572,1.39734579290545,1.29123276861826
2022,1.54022894480464,0.768528566154672,1.18239642570098,1.59228669627303,1.93242353809568,1.37713842050552,1.36761549013104,4.02423972931974,2.1604426401521,0.218652664665286,1.4339965700543,1.69455752183519,1.79282877045626,1.82273103646902,2.0941585284431,2.44662159116054,0.625326007042526,0.432529412373608,1.35218961159002,1.83565722625996,2.22856108974913,1.39926906492031,1.80856096698237,1.29212775926011,1.30604276885439,1.37852844418063,1.57363807254928
2023,1.71633821201191,0.844274840737983,1.21461599569106,1.84737280288254,2.05638673841337,1.51965192096975,1.95319596405831,3.23440755796675,2.86665387374435,0.216857882649718,1.50901228462186,1.60578289334057,1.77989219884811,1.82460300554278,2.26754267524368,2.71567834515769,0.7490545294635,0.558644018130875,1.53256247074407,2.12784318809435,3.83272853898223,1.51929712406409,2.01653474902229,1.33665006488574,1.47341062942458,1.52418962408317,2.42148617618712
