date,AT_EUR,AT_PPS,BE_EUR,BE_PPS,BG_EUR,BG_PPS,CY_EUR,CY_PPS,CZ_EUR,CZ_PPS,DE_EUR,DE_PPS,DK_EUR,DK_PPS,EE_EUR,EE_PPS,EL_EUR,EL_PPS,ES_EUR,ES_PPS,EU27_2020_EUR,EU27_2020_PPS,FI_EUR,FI_PPS,FR_EUR,FR_PPS,HR_EUR,HR_PPS,HU_EUR,HU_PPS,IE_EUR,IE_PPS,IT_EUR,IT_PPS,LT_EUR,LT_PPS,LU_EUR,LU_PPS,LV_EUR,LV_PPS,MT_EUR,MT_PPS,NL_EUR,NL_PPS,PL_EUR,PL_PPS,PT_EUR,PT_PPS,RO_EUR,RO_PPS,SE_EUR,SE_PPS,SI_EUR,SI_PPS,SK_EUR,SK_PPS,EU_Median_EUR,EU_Median_PPS
2012-S1,0.2221,0.2015,0.2327,0.21,0.085,0.1807,0.2784,0.3067,0.2165,0.308,0.2844,0.2752,0.3308,0.2442,0.1121,0.1581,0.1232,0.1378,0.2426,0.268,0.2043,,0.1952,0.1617,0.1569,0.1398,0.1325,0.2071,0.1629,0.286,0.2618,0.2388,0.1855,0.1847,0.129,0.2139,0.1886,0.1597,0.131,0.1906,0.1924,0.251,0.1343,0.1225,0.1506,0.2652,0.2238,0.2809,0.1084,0.224,0.2214,0.1695,0.1749,0.2161,0.1948,0.2853,0.19,0.21
2012-S2,0.2254,0.2045,0.2436,0.2199,0.0952,0.2024,0.2896,0.319,0.2169,0.308,0.2927,0.2833,0.3278,0.2425,0.1143,0.1612,0.1279,0.143,0.2516,0.278,0.2132,,0.1972,0.1634,0.1706,0.152,0.1497,0.2328,0.1685,0.2835,0.2786,0.2541,0.2014,0.2005,0.1291,0.2142,0.1895,0.1604,0.1218,0.1766,0.1949,0.2542,0.1335,0.1218,0.1575,0.2694,0.228,0.2861,0.1104,0.2353,0.2264,0.1664,0.177,0.2187,0.1954,0.2861,0.19,0.22
2013-S1,0.2364,0.2115,0.2343,0.2081,0.0934,0.1964,0.2743,0.3074,0.2179,0.3202,0.3169,0.3015,0.3304,0.2425,0.1392,0.1909,0.144,0.1687,0.2434,0.2703,0.2181,,0.2007,0.1627,0.1744,0.1542,0.1494,0.235,0.147,0.2541,0.2794,0.2535,0.1959,0.1942,0.1393,0.2272,0.1855,0.153,0.1307,0.1883,0.1896,0.2431,0.1397,0.1277,0.1535,0.2658,0.2304,0.2955,0.1347,0.2683,0.2318,0.1695,0.1885,0.2341,0.1918,0.2823,0.19,0.23
2013-S2,0.2323,0.2079,0.24,0.2132,0.0872,0.1833,0.2468,0.2766,0.2133,0.3202,0.3176,0.3021,0.3217,0.2361,0.139,0.1907,0.1631,0.1911,0.2559,0.2842,0.2211,,0.1999,0.1621,0.1816,0.1606,0.1465,0.231,0.1381,0.2402,0.2987,0.2711,0.2005,0.1988,0.1413,0.2305,0.1797,0.1482,0.1214,0.1755,0.1956,0.2508,0.1388,0.1268,0.1508,0.2637,0.2346,0.3009,0.1303,0.2628,0.2229,0.1676,0.1976,0.2454,0.1908,0.2808,0.2,0.23
2014-S1,0.2341,0.2118,0.2245,0.2023,0.0838,0.1776,0.2288,0.2603,0.1844,0.2901,0.3228,0.3098,0.3325,0.247,0.1345,0.1801,0.1675,0.202,0.2591,0.2897,0.2207,,0.2015,0.162,0.1769,0.1611,0.143,0.2254,0.1249,0.2194,0.2995,0.2691,0.2112,0.2104,0.1351,0.2204,0.1893,0.1588,0.1298,0.1893,0.1672,0.2086,0.1252,0.1144,0.148,0.2553,0.2375,0.3053,0.1322,0.2583,0.2184,0.165,0.195,0.244,0.1699,0.255,0.18,0.22
2014-S2,0.2311,0.2091,0.2157,0.1943,0.0901,0.1911,0.2345,0.2668,0.1832,0.2901,0.323,0.31,0.3314,0.2457,0.1355,0.1815,0.1775,0.2141,0.2755,0.308,0.225,,0.2004,0.1611,0.1899,0.1732,0.1428,0.2257,0.1191,0.2115,0.3212,0.2886,0.2099,0.2091,0.1339,0.2183,0.1893,0.1588,0.1151,0.1678,0.1445,0.1803,0.1198,0.1095,0.1486,0.2574,0.242,0.3111,0.1293,0.2503,0.2162,0.1686,0.1932,0.2417,0.1718,0.2579,0.19,0.21
2015-S1,0.2419,0.2189,0.2249,0.2026,0.0954,0.2022,0.1943,0.221,0.1829,0.2909,0.3212,0.3083,0.3337,0.2564,0.1338,0.1792,0.1803,0.2175,0.2715,0.3035,0.2246,,0.202,0.1624,0.1885,0.1759,0.1431,0.2256,0.1167,0.2054,0.3098,0.2784,0.2082,0.2074,0.1278,0.2075,0.1924,0.1614,0.164,0.2391,0.1424,0.1776,0.1562,0.144,0.1535,0.2625,0.2471,0.3176,0.133,0.2588,0.2088,0.1646,0.19,0.2377,0.1742,0.2615,0.19,0.22
2015-S2,0.2393,0.2203,0.2528,0.229,0.0961,0.2079,0.1826,0.2005,0.1858,0.2909,0.3207,0.3075,0.3326,0.2558,0.1329,0.1833,0.1812,0.2216,0.2852,0.3186,0.226,,0.2004,0.1615,0.1868,0.1743,0.1412,0.223,0.1186,0.2118,0.3066,0.2751,0.2131,0.2118,0.1263,0.2094,0.1924,0.1604,0.1657,0.2455,0.1457,0.1817,0.1347,0.1242,0.15,0.2634,0.2481,0.3184,0.1343,0.2697,0.2088,0.1631,0.1957,0.2447,0.1748,0.2642,0.19,0.22
2016-S1,0.2479,0.2307,0.2823,0.2609,0.0963,0.2088,0.1517,0.1716,0.1882,0.2944,0.3263,0.3163,0.334,0.2489,0.1241,0.1704,0.1692,0.205,0.2672,0.3018,0.2236,,0.2039,0.1669,0.1858,0.1719,0.1422,0.2266,0.1155,0.2056,0.2831,0.2626,0.2102,0.2141,0.1251,0.2069,0.1855,0.1575,0.163,0.2448,0.1416,0.1766,0.1141,0.1052,0.1408,0.2601,0.2556,0.3283,0.1285,0.2651,0.2161,0.163,0.1984,0.252,0.1588,0.2428,0.19,0.23
2016-S2,0.2453,0.2299,0.3096,0.2897,0.0949,0.2047,0.1616,0.1827,0.1883,0.2969,0.3297,0.3182,0.3343,0.2488,0.1268,0.1714,0.1747,0.2117,0.2789,0.3119,0.2279,,0.2065,0.1704,0.1894,0.1768,0.1435,0.2276,0.1169,0.2072,0.2979,0.2764,0.2127,0.2167,0.1188,0.1995,0.1855,0.157,0.1662,0.2507,0.1457,0.1816,0.1117,0.1034,0.1432,0.2641,0.2496,0.3192,0.1255,0.2583,0.2195,0.1769,0.1993,0.2544,0.1788,0.2752,0.19,0.23
2017-S1,0.2428,0.2151,0.3218,0.2849,0.0962,0.1911,0.1867,0.2092,0.1908,0.2824,0.3362,0.31,0.3289,0.2444,0.1217,0.1562,0.1706,0.2037,0.2859,0.3112,0.2333,0.2332,0.2155,0.1734,0.1946,0.1735,0.1304,0.2007,0.1169,0.1826,0.2983,0.2579,0.2158,0.2148,0.1131,0.1754,0.188,0.1522,0.1639,0.2323,0.1494,0.1797,0.127,0.1115,0.1584,0.2663,0.2503,0.2986,0.1211,0.2338,0.2213,0.1648,0.1949,0.2347,0.1699,0.2259,0.19,0.21
2017-S2,0.2337,0.2071,0.327,0.2895,0.0984,0.1955,0.1867,0.2092,0.1975,0.2824,0.3361,0.3099,0.3246,0.2413,0.1352,0.1736,0.166,0.1982,0.2687,0.2925,0.234,0.2336,0.2192,0.1764,0.2008,0.1791,0.1332,0.2057,0.1177,0.1837,0.3018,0.2609,0.2235,0.2225,0.1123,0.1742,0.1889,0.1529,0.1635,0.2317,0.1478,0.1777,0.125,0.1098,0.1589,0.2658,0.2438,0.2908,0.1307,0.2559,0.2251,0.1689,0.1981,0.2386,0.168,0.2234,0.19,0.21
2018-S1,0.232,0.2059,0.3028,0.2684,0.0986,0.1918,0.2021,0.2252,0.2094,0.2926,0.3322,0.3057,0.3363,0.2509,0.1393,0.1749,0.1699,0.2042,0.2929,0.3142,0.2371,0.2364,0.2219,0.1767,0.2019,0.1812,0.1412,0.2151,0.1199,0.1834,0.3062,0.2624,0.2176,0.217,0.1114,0.1691,0.1981,0.1586,0.1618,0.2234,0.1453,0.1687,0.157,0.1371,0.1517,0.2485,0.247,0.2932,0.1352,0.2553,0.2261,0.1756,0.1998,0.2384,0.1823,0.2374,0.2,0.22
2018-S2,0.2411,0.2139,0.318,0.2818,0.1004,0.1953,0.2308,0.2571,0.2113,0.2987,0.3342,0.3076,0.3394,0.2535,0.1457,0.1829,0.1705,0.2049,0.3044,0.3266,0.244,0.2435,0.234,0.1863,0.211,0.1894,0.1423,0.2168,0.1141,0.1797,0.3272,0.2804,0.2338,0.2331,0.1113,0.1689,0.2001,0.1602,0.1583,0.2186,0.1485,0.1724,0.153,0.1336,0.1534,0.2561,0.2523,0.2995,0.133,0.2511,0.2368,0.1877,0.203,0.2422,0.1682,0.219,0.2,0.22
2019-S1,0.2426,0.2134,0.3075,0.2725,0.1003,0.1885,0.2322,0.2562,0.2317,0.319,0.3453,0.3123,0.323,0.2433,0.1452,0.1787,0.1613,0.1955,0.2995,0.3213,0.246,0.2448,0.2389,0.1901,0.2077,0.191,0.1433,0.2183,0.1144,0.1718,0.3001,0.2498,0.2431,0.2442,0.1277,0.1903,0.2138,0.1695,0.1729,0.2338,0.1468,0.171,0.201,0.1703,0.1442,0.2356,0.2375,0.2828,0.136,0.2562,0.2388,0.1901,0.2021,0.2413,0.1831,0.2326,0.21,0.23
2019-S2,0.2453,0.2158,0.3099,0.2746,0.0994,0.1869,0.2362,0.2606,0.2335,0.3212,0.3244,0.2934,0.3173,0.239,0.1468,0.1807,0.1606,0.1946,0.2953,0.3168,0.2466,0.2459,0.2461,0.1958,0.2228,0.2048,0.1416,0.2156,0.1114,0.1724,0.3169,0.2638,0.2521,0.2533,0.1276,0.1902,0.214,0.1697,0.1736,0.2347,0.1492,0.1738,0.201,0.1703,0.147,0.2408,0.2416,0.2877,0.1422,0.2681,0.2392,0.1929,0.2043,0.2439,0.1823,0.2315,0.21,0.23
