date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2012,22320.0,36973.0,1182.0,376590.0,52674.0,37875.0,1006945.0,,49371.0,75809.0,339878.0,728234.0,27113.0,196886.0,2766512.0,231140.0,86349.0,3871752.0,19083.0,10282.0,298.0,2289.0,22254.0,,,267203.0,22623.0,103188.0,15004.0,19265.0,243700.0,,2767905.0,2260880.0,408717968.0,10.0,21857453.0,4624755.0,856.0,52090.0,5950.0,9.0,,71320.0,98020.0,5851.0,112022322.0,553342.0,19699567.0,117420889.0,533440.0,108604.0,24.0,1367.0,2235.0,76891.0,43878196.0,,74.0,126.0,95414.0,19560.0
2013,,55602.0,4422.0,405121.0,2463.0,32100.0,1315459.0,4990800.0,71180.0,206418.0,378823.0,1240602.0,122880.0,217962.0,2552603.0,61252.0,53436.0,5352073.0,3233.0,5351.0,723.0,22295.0,23096.0,,,1468359.0,13722.0,2684.0,13173.0,5754.0,,,1673739.0,2499399.0,544705841.0,5270.0,15663120.0,7130810.0,152.0,335026.0,101223.0,2170.0,,318812.0,1809073.0,12522.0,117735227.0,211402.0,9970534.0,91130760.0,1423029.0,100801.0,25200.0,3294.0,741.0,134752.0,21991276.0,,132.0,13772.0,75694.0,3207.0
2014,,70785.0,5962.0,340692.0,1269.0,1650820.0,2660738.0,182000.0,18174.0,444320.0,65788.0,1992297.0,133189.0,224267.0,1126640.0,197.0,97200.0,4544999.0,270.0,9725.0,358.0,6062.0,54700.0,,,1447550.0,67454.0,1269.0,14665.0,45892.0,25362.0,,1007075.0,3042370.0,497649905.0,3685.0,41655517.0,3766410.0,4862.0,225419.0,162663.0,32.0,,127770.0,1928725.0,115769.0,57520349.0,61849.0,9915332.0,107364245.0,2951155.0,130453.0,89.0,2770.0,1518.0,97395.0,6262501.0,,77.0,31382.0,92160.0,68568.0
2015,22240.0,33831.0,9806.0,442381.0,37935.0,816045.0,2074491.0,11518130.0,34224.0,389151.0,71875.0,1030344.0,64918.0,6168.0,1032921.0,1954.0,116418.0,5490991.0,,11387.0,69.0,50062.0,62835.0,,,2406750.0,55584.0,737.0,14907.0,66988.0,,,919615.0,3862240.0,415944900.0,3672.0,19989447.0,1819375.0,11345.0,31843.0,200067.0,8883.0,,,3774922.0,160.0,4451490.0,274493.0,8249217.0,111961705.0,16959658.0,145771.0,3794.0,4542.0,1884.0,387246.0,639812.0,,165.0,250055.0,48341.0,123083.0
2016,,54287.0,14610.0,284171.0,18694.0,150.0,2568880.0,6226240.0,64706.0,323641.0,45901.0,1729666.0,145288.0,29719.0,148633.0,2962.0,136112.0,15485210.0,2138.0,8178.0,77.0,31842.0,19548.0,,,1549537.0,122564.0,,16729.0,68971.0,,,956165.0,4191477.0,449120116.0,3700.0,17055224.0,1566059.0,12363.0,24556.0,153376.0,103.0,,,2489485.0,5694.0,218211356.0,507682.0,10114675.0,172143521.0,1653497.0,143979.0,810.0,7283.0,7221.0,126230.0,13921427.0,,250.0,356722.0,24771.0,30463.0
2017,,68725.0,22387.0,276359.0,2921.0,3730.0,2222240.0,101255.0,70892.0,387646.0,177514.0,1626917.0,155403.0,26793.0,372600.0,236.0,202463.0,25058301.0,1636.0,8037.0,176.0,28504.0,22706.0,1.0,206.0,1989750.0,128134.0,,50594.0,75580.0,198.0,,477848.0,4561560.0,712275625.0,3950.0,24272057.0,1519592.0,16425.0,154935.0,132972.0,1177.0,,155813.0,3125636.0,40802.0,270503543.0,779386.0,6441759.0,154037249.0,1318808.0,9028.0,298.0,17387.0,10494.0,89740.0,7198903.0,,33.0,28192.0,139408.0,62492.0
2018,41880.0,79399.0,34724.0,299101.0,2323.0,5290.0,1863353.0,7047781.0,119650.0,629847.0,58453.0,2119085.0,231881.0,95317.0,356244.0,322.0,174396.0,23729437.0,1.0,10920.0,153.0,12146.0,86729.0,,,1023900.0,148972.0,,17409.0,52514.0,10.0,1.0,531072.0,6556991.0,724260065.0,203.0,81775440.0,2438207.0,22114.0,138573.0,155712.0,755.0,,1560.0,2305729.0,49649.0,874651152.0,494954.0,1234082.0,42676665.0,2579344.0,3278.0,77758.0,18459.0,8723.0,80290.0,26227519.0,,243.0,9280.0,367478.0,87545.0
2019,39739.0,66833.0,57427.0,559342.0,2281.0,229.0,2054847.0,2021268.0,123346.0,1182307.0,7454.0,2188146.0,188861.0,106861.0,172686.0,1024.0,450346.0,20962085.0,1480.0,13989.0,148.0,28327.0,53199.0,,16320.0,485173.0,145435.0,,20516.0,11238.0,278.0,,359944.0,10852569.0,657275151.0,110.0,101928615.0,731552.0,37255.0,521777.0,232739.0,937.0,,107380.0,1482153.0,36378.0,918080257.0,984623.0,1447313.0,,2873132.0,20219.0,17803.0,16137.0,1166.0,197797.0,14009562.0,,259.0,365065.0,794366.0,91311.0
2020,39929.0,86191.0,273812.0,426801.0,2264.0,7482.0,2621861.0,5956075.0,208824.0,1380704.0,5550.0,1777722.0,157583.0,211203.0,184017.0,71501.0,333412.0,25554792.0,103.0,35384.0,1074.0,18243.0,43534.0,,,260683.0,189608.0,,5256.0,14454.0,,,264024.0,8513635.0,484387156.0,1760.0,123574760.0,585120.0,15547.0,204260.0,222612.0,3154.0,,116423.0,1894279.0,95579.0,1380100971.0,2358090.0,950728.0,21010.0,2004664.0,199.0,7460.0,12573.0,623.0,146199.0,5125717.0,,135.0,365828.0,333323.0,14140.0
2021,,40150.0,92318.0,258481.0,3239.0,1398.0,2825093.0,410548.0,1215251.0,1338715.0,15854.0,1129472.0,79098.0,34579.0,61060.0,20788.0,1687253.0,24723322.0,174.0,12293.0,130.0,11353.0,8368.0,,8085.0,304772.0,191870.0,,41067.0,18707.0,300.0,1.0,197895.0,6918727.0,554372311.0,3825.0,84269955.0,1038387.0,68178.0,153574.0,283255.0,11472.0,,528080.0,3035424.0,559270.0,497581098.0,1897586.0,1757460.0,,1727461.0,21038.0,23117.0,15428.0,1535.0,68679.0,1422586.0,,282.0,24147.0,2553699.0,20491.0
2022,106604.0,36125.0,48762.0,166909.0,1978.0,7023.0,1508369.0,245164.0,2461531.0,1159125.0,2486.0,3820722.0,63148.0,2788.0,169035.0,12584.0,637047.0,25744080.0,1106.0,6779.0,84.0,11463.0,23181.0,,,213380.0,227544.0,,9095.0,27294.0,,,222895.0,6313266.0,335166091.0,220.0,97331197.0,44042.0,19093.0,77443.0,239443.0,151.0,,446734.0,861100.0,27109.0,90841913.0,1737015.0,37676.0,,1355440.0,377.0,15025.0,14917.0,2345.0,49889.0,513466.0,,154.0,45044.0,1547933.0,1520.0
2023,24200.0,38780.0,96234.0,212719.0,1371.0,14602.0,873771.0,274390.0,2156475.0,627035.0,59789.0,1107067.0,98737.0,4221.0,50549.0,6578.0,710549.0,14236908.0,234662.0,15650.0,1156.0,9036.0,36156.0,1.0,,277414.0,262303.0,,3662.0,12320.0,,,95234.0,9977004.0,422812458.0,6032.0,105256392.0,76797.0,26960.0,176479.0,234366.0,739.0,,210642.0,269982.0,34239.0,40292544.0,1031547.0,384847.0,35185.0,1839332.0,313.0,37768.0,16691.0,3361.0,130786.0,925151.0,,308.0,32207.0,956540.0,5845.0
2024,2070013.0,18593.0,151716.0,321225.0,1369.0,54845.0,610557.0,244358.0,2420790.0,440305.0,128494.0,1407662.0,189907.0,6743.0,,3957.0,280136.0,15834569.0,531.0,23099.0,295.0,28338.0,812.0,,,311693.0,405770.0,100.0,75.0,5509.0,,,71903.0,3387349.0,425291496.0,495.0,80228956.0,233756.0,44184.0,183256.0,454779.0,3216.0,,57149.0,311577.0,26197.0,16329111.0,657246.0,27457.0,,772158.0,18064.0,76887.0,24295.0,34764.0,111890.0,846909.0,,1048.0,21015.0,1082779.0,18211.0
2025,306139.0,30670.0,133634.0,152273.0,1281.0,8837.0,479136.0,618480.0,2983771.0,449750.0,114738.0,1321561.0,275580.0,21861.0,,28126.0,536348.0,6648340.0,301.0,46957.0,67.0,52692.0,11125.0,,,223194.0,305193.0,,2748.0,1512.0,,,265662.0,2875949.0,353572583.0,617.0,84279550.0,559608.0,76135.0,71356.0,220415.0,2459.0,3.0,22862.0,366093.0,34990.0,546714592.0,30983.0,15858.0,,619652.0,38909.0,1438.0,44316.0,169368.0,170347.0,,,759.0,8089.0,563105.0,128677.0
