"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"62",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"63",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"64",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"65+",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Custom audience",1,1,"custom_audience",,,FALSE,"HAS_CA_INCLUSION","2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Custom audience",0,0,"custom_audience",,,TRUE,"HAS_CA_EXCLUSION","2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Customer list custom audience",0,0,"custom_audience",,,FALSE,"HAS_DFCA_INCLUSION","2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Customer list custom audience",0,0,"custom_audience",,,TRUE,"HAS_DFCA_EXCLUSION","2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Lookalike audience",1,1,"lookalike_audience",,,FALSE,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Lookalike audience",0,0,"lookalike_audience",,,TRUE,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
