date,cases,deaths,stringencyIndex,icu,week,cases_7d_avg,deaths_7d_avg,icu_7d_avg
2020-07-12,31.0,0.0,,10.0,2020-07-06,40.57142857142857,0.14285714285714285,9.571428571428571
2020-07-13,23.0,0.0,,12.0,2020-07-13,37.714285714285715,0.14285714285714285,9.714285714285714
2020-07-14,57.0,0.0,,13.0,2020-07-13,42.0,0.0,10.142857142857142
2020-07-15,27.0,0.0,,13.0,2020-07-13,41.142857142857146,0.0,10.714285714285714
2020-07-16,29.0,0.0,,14.0,2020-07-13,38.142857142857146,0.0,11.428571428571429
2020-07-17,25.0,1.0,,12.0,2020-07-13,33.142857142857146,0.14285714285714285,11.857142857142858
2020-07-18,19.0,0.0,,12.0,2020-07-13,30.142857142857142,0.14285714285714285,12.285714285714286
2020-07-19,24.0,0.0,,13.0,2020-07-13,29.142857142857142,0.14285714285714285,12.714285714285714
2020-07-20,5.0,1.0,,12.0,2020-07-20,26.571428571428573,0.2857142857142857,12.714285714285714
2020-07-21,36.0,2.0,,10.0,2020-07-20,23.571428571428573,0.5714285714285714,12.285714285714286
2020-07-22,29.0,3.0,,10.0,2020-07-20,23.857142857142858,1.0,11.857142857142858
2020-07-23,33.0,1.0,,8.0,2020-07-20,24.428571428571427,1.1428571428571428,11.0
2020-07-24,25.0,0.0,,8.0,2020-07-20,24.428571428571427,1.0,10.428571428571429
2020-07-25,31.0,0.0,,10.0,2020-07-20,26.142857142857142,1.0,10.142857142857142
2020-07-26,27.0,1.0,,9.0,2020-07-20,26.571428571428573,1.1428571428571428,9.571428571428571
2020-07-27,34.0,0.0,,9.0,2020-07-27,30.714285714285715,1.0,9.142857142857142
2020-07-28,52.0,1.0,,8.0,2020-07-27,33.0,0.8571428571428571,8.857142857142858
2020-07-29,57.0,0.0,,8.0,2020-07-27,37.0,0.42857142857142855,8.571428571428571
2020-07-30,65.0,0.0,,7.0,2020-07-27,41.57142857142857,0.2857142857142857,8.428571428571429
2020-07-31,76.0,3.0,,9.0,2020-07-27,48.857142857142854,0.7142857142857143,8.571428571428571
2020-08-01,110.0,0.0,,10.0,2020-07-27,60.142857142857146,0.7142857142857143,8.571428571428571
2020-08-02,75.0,2.0,,12.0,2020-07-27,67.0,0.8571428571428571,9.0
2020-08-03,75.0,1.0,,13.0,2020-08-03,72.85714285714286,1.0,9.571428571428571
2020-08-04,118.0,0.0,,13.0,2020-08-03,82.28571428571429,0.8571428571428571,10.285714285714286
2020-08-05,118.0,1.0,,13.0,2020-08-03,91.0,1.0,11.0
2020-08-06,150.0,0.0,,14.0,2020-08-03,103.14285714285714,1.0,12.0
2020-08-07,147.0,0.0,,14.0,2020-08-03,113.28571428571429,0.5714285714285714,12.714285714285714
2020-08-08,151.0,1.0,,17.0,2020-08-03,119.14285714285714,0.7142857142857143,13.714285714285714
