"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Κασσελάκης","61",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","62",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","63",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","64",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","65+",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","Custom audience",14,0.32237570545552,"custom_audience",NA,FALSE,NA,34,"€9,303","HAS_CA_INCLUSION"
"Κασσελάκης","Custom audience",0,0,"custom_audience",NA,TRUE,NA,34,"€9,303","HAS_CA_EXCLUSION"
"Κασσελάκης","Customer list custom audience",0,0,"custom_audience",NA,FALSE,NA,34,"€9,303","HAS_DFCA_INCLUSION"
"Κασσελάκης","Customer list custom audience",0,0,"custom_audience",NA,TRUE,NA,34,"€9,303","HAS_DFCA_EXCLUSION"
"Κασσελάκης","Lookalike audience",15,0.38722386455254,"lookalike_audience",NA,FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Lookalike audience",0,0,"lookalike_audience",NA,TRUE,NA,34,"€9,303",NA
"Κασσελάκης","Sedan (automobile)",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Arts, Entertainment, Sports and Media",1,0.016124697661919,"detailed",NA,FALSE,"DEMOGRAPHICS",34,"€9,303",NA
"Κασσελάκης","Harley Owners Group",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Photography",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Island",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Jogging",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
