"","party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","detailed_type","total_num_ads","total_spend_formatted"
"135","Τσίπρας","59",23,0.66542126815681,"age",NA,NA,NA,NA,39,"€13,211"
"136","Τσίπρας","60",23,0.66542126815681,"age",NA,NA,NA,NA,39,"€13,211"
"137","Τσίπρας","61",19,0.23170392012898,"age",NA,NA,NA,NA,39,"€13,211"
"138","Τσίπρας","62",19,0.23170392012898,"age",NA,NA,NA,NA,39,"€13,211"
"139","Τσίπρας","63",19,0.23170392012898,"age",NA,NA,NA,NA,39,"€13,211"
"140","Τσίπρας","64",16,0.19107203681697,"age",NA,NA,NA,NA,39,"€13,211"
"141","Τσίπρας","65+",14,0.16079492555615,"age",NA,NA,NA,NA,39,"€13,211"
"142","Τσίπρας","Custom audience",1,0.021293135421949,"custom_audience",NA,FALSE,"HAS_CA_INCLUSION",NA,39,"€13,211"
"143","Τσίπρας","Custom audience",0,0,"custom_audience",NA,TRUE,"HAS_CA_EXCLUSION",NA,39,"€13,211"
"144","Τσίπρας","Customer list custom audience",0,0,"custom_audience",NA,FALSE,"HAS_DFCA_INCLUSION",NA,39,"€13,211"
"145","Τσίπρας","Customer list custom audience",0,0,"custom_audience",NA,TRUE,"HAS_DFCA_EXCLUSION",NA,39,"€13,211"
"146","Τσίπρας","Lookalike audience",1,0.021293135421949,"lookalike_audience",NA,FALSE,NA,NA,39,"€13,211"
"147","Τσίπρας","Lookalike audience",0,0,"lookalike_audience",NA,TRUE,NA,NA,39,"€13,211"
"148","Ανδρουλάκης","All",29,0.97233717662159,"gender",NA,NA,NA,NA,30,"€3,615"
"149","Ανδρουλάκης","Women",1,0.027662823378405,"gender",NA,NA,NA,NA,30,"€3,615"
"150","Ανδρουλάκης","Men",0,0,"gender",NA,NA,NA,NA,30,"€3,615"
"151","Ανδρουλάκης","English (UK)",3,0.14705003651493,"language",NA,NA,NA,NA,30,"€3,615"
"152","Ανδρουλάκης","Greek",3,0.14705003651493,"language",NA,NA,NA,NA,30,"€3,615"
"153","Ανδρουλάκης","English (US)",3,0.14705003651493,"language",NA,NA,NA,NA,30,"€3,615"
"154","Ανδρουλάκης","Oraiókastro, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"155","Ανδρουλάκης","Metamórfosi, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"156","Ανδρουλάκης","Giannitsa, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"157","Ανδρουλάκης","Skýdra, Pella, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"158","Ανδρουλάκης","Néa Zíchni, Serrai, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"159","Ανδρουλάκης","Greece",17,0.55375716467126,"location","countries",FALSE,NA,NA,30,"€3,615"
"160","Ανδρουλάκης","Sidirókastro, Serrai, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"161","Ανδρουλάκης","Thérmi, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"162","Ανδρουλάκης","Lakhanás, Kilkis, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"163","Ανδρουλάκης","Polýgyros, Khalkidhiki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"164","Ανδρουλάκης","Ampelokipoi, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"165","Ανδρουλάκης","Peloponnese (region), Greece",2,0.049040653285237,"location","regions",FALSE,NA,NA,30,"€3,615"
"166","Ανδρουλάκης","Políchni, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"167","Ανδρουλάκης","Kinéta, Attiki, Greece",2,0.0099088233341448,"location","CITY",FALSE,NA,NA,30,"€3,615"
