Α/Α,ΚΩΔ. ΤΠΔ,ΟΝΟΜΑΣΙΑ ΔΗΜΟΥ,ΝΟΜΟΣ,ΠΟΣΟ ΜΗΝΙΑΙΑΣ ΤΑΚΤΙΚΗΣ,ΣΥΜΨΗΦΙΣΜΟΣ ΟΦΕΙΛΩΝ ΒΑΣΕΙ ΤΟΥ ΑΡΘΡΟΥ 79 ΤΟΥ Ν.4316/2014,ΠΑΡΑΚΡΑΤΗΣΗ ΒΑΣΕΙ ΤΗΣ ΠΑΡ.5Α ΤΟΥ ΑΡΘΡΟΥ 43 ΤΗΣ ΑΠΟ 30.3.2020 ΠΝΠ,ΠΑΡΑΚΡΑΤΗΣΗ ΒΑΣΕΙ ΤΗΣ ΑΡΙΘΜ. 5711/10.3.20 17 ΚΥΑ,ΠΡΟΚΑΤΑΒΟΛΕΣ,ΑΠΟΔΟΤΕΟ ΠΟΣΟ,population_2021,funding,funding_per_capita
164,55432,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣ/ΝΙΚΗΣ,"781.191,37","0,00","0,00","0,00","0,00","781.191,37",105426,781191,"7,41"
63,59811,ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΑΤΤΙΚΗΣ,"942.752,44","0,00","0,00","1.573,38","0,00","941.179,06",103355,942752,"9,12"
167,55440,ΠΑΥΛΟΥ ΜΕΛΑ,ΘΕΣ/ΝΙΚΗΣ,"888.839,55","0,00","0,00","0,00","0,00","888.839,55",99969,888840,"8,89"
47,59521,ΚΑΛΛΙΘΕΑΣ,ΑΤΤΙΚΗΣ,"888.676,94","0,00","0,00","1.483,13","0,00","887.193,81",96118,888677,"9,25"
163,55434,ΚΑΛΑΜΑΡΙΑΣ,ΘΕΣ/ΝΙΚΗΣ,"774.104,55","0,00","0,00","0,00","0,00","774.104,55",92238,774105,"8,39"
37,59513,ΓΛΥΦΑΔΑΣ,ΑΤΤΙΚΗΣ,"687.426,43","0,00","0,00","1.147,26","0,00","686.279,17",89605,687426,"7,67"
48,59809,ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ,ΑΤΤΙΚΗΣ,"798.398,36","0,00","0,00","1.332,47","0,00","797.065,89",89386,798398,"8,93"
1,50102,ΑΓΡΙΝΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"1.084.716,09","0,00","0,00","0,00","0,00","1.084.716,09",88971,1084716,"12,19"
45,59519,ΙΛΙΟΥ,ΑΤΤΙΚΗΣ,"764.252,35","0,00","0,00","1.275,48","0,00","762.976,87",83523,764252,"9,15"
277,56104,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,"908.897,26","0,00","15.565,97","0,00","0,00","893.331,29",82971,908897,"10,95"
166,55441,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣ/ΝΙΚΗΣ,"824.026,43","0,00","0,00","0,00","0,00","824.026,43",80851,824026,"10,19"
304,54425,ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΑΛΩΝ,"926.762,48","0,00","0,00","0,00","0,00","926.762,48",78508,926762,"11,80"
85,59543,ΧΑΛΑΝΔΡΙΟΥ,ΑΤΤΙΚΗΣ,"623.636,23","0,00","0,00","1.040,80","0,00","622.595,43",77118,623636,"8,09"
43,59517,ΗΛΙΟΥΠΟΛΕΩΣ,ΑΤΤΙΚΗΣ,"705.885,72","0,00","0,00","1.178,07","0,00","704.707,65",76708,705886,"9,20"
300,56215,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,"913.430,35","0,00","23.611,11","0,00","0,00","889.819,24",73847,913430,"12,37"
49,59523,ΚΗΦΙΣΙΑΣ,ΑΤΤΙΚΗΣ,"590.899,97","0,00","0,00","986,17","0,00","589.913,80",72860,590900,"8,11"
62,59530,ΝΕΑΣ ΣΜΥΡΝΗΣ,ΑΤΤΙΚΗΣ,"643.888,63","0,00","0,00","1.074,60","0,00","642.814,03",72546,643889,"8,88"
