track_name,artist_names,total_streams_2024,weeks_in_top200_2024
Sto Xo Pei,Thodoris Ferris,2841185,27
greedy,Tate McRae,2831712,22
Obsessed,"Light, Fy, Trannos",2820489,30
KAPOTE,"Kidd, MUNEYLXRD, Fullife",2801173,17
GLOCK 26,"TOQUEL, FLY LO, Beyond",2796897,4
Graffiti,"LEX, Dof Twogee",2782837,5
3000 Strofes,"LEX, Dof Twogee",2759845,5
Cognac,"LEX, Ortiz",2749073,5
RARI,"SNIK, Rvchet",2720147,20
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",2712814,15
Barrio,"SNIK, VLOSPA",2704194,14
24ora,"LEX, Dof Twogee",2687435,5
SEYA,"GIMS, SativaMusic, Morad",2672505,21
90s,"Light, Destiny, KONY",2663376,24
NAPOLITANO,"Bres, Onad, Kidd",2662246,19
F.K.A.,"LEX, Dof Twogee",2656699,5
FAMILIA,"Strat, Sanko",2611967,16
KALOKAIRI,"Ivan Greko, Oge",2611836,10
Vroum Vroum,"Trannos, Corle",2611203,18
STAR THS GEITONIAS,"Strat, DIFF, Ivan Greko",2604158,18
PADOU,"Saske, Beyond",2583635,31
Mia Kali Mera,Bloody Hawk,2577970,22
Transport,Arab,2560465,25
Top Boys,"Sadam, LEX, Dof Twogee",2558203,19
Too Sweet,Hozier,2554082,21
Breakdance,"LEX, Ortiz",2550535,5
NASA,"RACK, Saske",2531477,29
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",2510922,13
ODIGAO STIN VROXI,"TOQUEL, FLY LO, Beyond, Mike G, Ioannis",2503869,4
Kokaina,"TOQUEL, ObieDaz",2488128,27
210,Strat,2484179,21
Si Ai,Tayna,2480304,18
Mesanyxta,"SNIK, Marseaux",2478506,7
WKEANOUS,"RACK, BeTaf Beats, Beyond",2464418,25
HELLO KITTY,"RICTA, Savv, Night Grind",2458624,12
ARAI,Verde,2445780,13
Efyge?,"Ioulia Kallimani, Michael Touratzidis",2441900,19
BBL,"FLY LO, Mike G",2433765,12
IBRA,SNIK,2431184,22
redrum,21 Savage,2407130,16
Meine Gia Ligo,Wang,2405813,26
Metrita,"Arab, ASOK",2389263,23
DEN ME PISTEVEIS,"RACK, Sin Laurent",2366821,14
Sagapw,Bossikan,2365267,24
BELLA,SIDARTA,2340438,25
Famax,RAFFA GUIDO,2336571,20
SPORT PLUS,"Ivan Greko, Sanko",2315303,9
WILDFLOWER,Billie Eilish,2286026,21
Vamos A Bailar,Fy,2282162,17
Iremia,"Wang, 12os Pithikos, Mateos Nps",2279566,13
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",2270603,13
Ligo Akoma,"Novel 729, Bloody Hawk, Nosfer",2217476,20
All Eyes On Me,"Trannos, Kidd",2195733,12
ARXH & TELOS,"DIFF, Sanko",2190403,13
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",2182784,16
SL,"LEX, Guè, Dof Twogee",2179779,5
Min Tis Peite,Giorgos Kakosaios,2164183,25
Psahno Na Vro,Nikos Oikonomopoulos,2160223,13
JETX,"DIFF, Strat",2151909,12
Fyge - Reworks,"Haris Alexiou, LEX",2141884,21
Aroma,Fy,2131920,23
Crayon,Melisses,2113935,24
Πάρτυ,Billie Kark,2113870,18
S' Agapao Giati,Konstantinos Argiros,2111598,16
Se Periptosi Pou,Anna Vissi,2105690,7
Louloudi Tou Dromou,Yorgos Rous,2093908,20
Mwaki,"Zerb, Sofiya Nzau",2083477,21
To Viografiko,Nikos Oikonomopoulos,2071511,7
Ocean Drive,"Hawk, Kidd, Baghdad",2061686,12
C-HR,"DIFF, Strat, BeTaf Beats",2048940,3
PSEMA,"SIDARTA, Beyond",2016297,22
Ke Ti Den Tha Dina,"SNIK, BeTaf Beats",1994301,9
PIRATES,"Arab, ASOK",1984337,7
OLA,"Saske, SIDARTA",1980023,12
Mov Vroxi,"LEX, Dof Twogee",1957625,5
Gipsy Trap,"Lava, ROPEX LATERIO",1927933,12
Please Please Please,Sabrina Carpenter,1915564,16
Monos,"Wang, Mateos Nps",1913224,12
RAMBO,"RACK, Oge",1911556,9
CASTELLANO,"Dani Gambino, Dj The Boy",1899653,20
ANATOLI,Marina Satti,1890496,3
PISTOLI,"Onad, Arab, Tr4cer",1888319,18
ADRENALINA,"SIDARTA, Beyond",1884915,22
Nero Sti Varka,"Martha Frintzila, Orestis Ntantos",1878994,22
FAVELA,"RACK, Oge, MENJU",1865654,23
Houston,"Wang, Mateos Nps",1853987,9
Tipota Ston Kosmo,LEX,1851919,16
TOO BASIC,"Saske, Beyond",1848198,12
Fall Back,Lithe,1841819,16
MIA WRAIA MERA STIN ATHINA,"TOQUEL, FLY LO, Beyond",1828536,4
Grammes,"Trannos, Destiny",1818526,10
Mavromalla,Kidd,1791194,18
COMPANIA,"BORAC, Arab, Megrel, ASOK",1770322,20
"Good Luck, Babe!",Chappell Roan,1745551,19
TRAP BABY,Bossikan,1743404,5
Agapi Mou Me Dioxneis,Anastasia,1742262,11
Selini,"Logos Timis, Sumo Beats, Koraki, Eleuthero Pneuma, Sativa, Tokesick",1741099,13
ETSI EIMAI EGW,"RICTA, Foxy Lee",1739970,19
2 Ores,"Mad Clip, Strat, BeTaf Beats",1726726,19
I Wanna Be Yours,Arctic Monkeys,1718942,21
São Paulo (feat. Anitta),"The Weeknd, Anitta",1709564,8
BOSSIDONAS 2,"Bossikan, Roi 6/12",1694038,9
Ston Kentriko,"Bloody Hawk, Dani Gambino",1690155,10
Lekes,Anna Vissi,1683759,19
REPORTAGE,"RICTA, Savv",1683233,9
Gaza,"SNIK, Ivan Greko, BeTaf Beats",1674787,18
Bitches,Trannos,1663887,13
Trelos,"Lava, Thug Slime, Lev",1662760,10
Savvato Vrady,Giorgos Kakosaios,1662054,19
LUNCH,Billie Eilish,1657379,12
De Sou Ftaio Ego,"Wang, Mateos Nps",1649464,8
Ferma,"TOQUEL, Roran, Beyond",1644808,14
PROSOPIKA FREESTYLE,"TOQUEL, Beyond",1633676,16
Pempth Vrady,"Fy, RICTA",1620165,20
La Vida Loca,"Kimi, Light, Skive",1613350,19
The Code,Nemo,1605529,6
LOGIA,"Kidd, Oge",1602640,11
Fuck Polizei,"Wang, Sadam, Mateos Nps",1600066,2
Ton Kosmo Girizo,Bloody Hawk,1596771,19
Overdose,Trannos,1585945,18
Enas Antras,"Ivan Greko, BeTaf Beats, Saxpas",1545825,8
Amarties,Anastasia,1544989,19
Kamia San Esena,Bossikan,1534914,5
San Emas,"Fy, Light, Trannos",1514756,7
MAYA,"Sigma, SIDARTA",1510702,16
KSANA,"Kidd, Kimi",1507463,8
Mon amour,Slimane,1488594,6
fukumean,Gunna,1485128,17
Medusa,SNIK,1473173,17
Stumblin' In,CYRIL,1467910,15
NANA,"SNIK, RACK",1444567,16
Alitheia?!,"Evangelia, Marseaux",1432785,9
Na Pernas,Giorgos Mazonakis,1417687,16
Eforia,"Arab, ASOK, Tr4cer",1412612,7
Houdini,Dua Lipa,1406939,16
MILLION DOLLAR BABY,Tommy Richman,1405020,12
90s,SNIK,1399212,5
World Hold On - FISHER Rework,"Bob Sinclar, FISHER",1385000,14
Yamore,"MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora",1382578,11
Takounia Gia Karfia,"Ioulia Karapataki, Orestis Ntantos",1377767,14
Nemesis,"Hawk, Saske",1374852,9
TAMAM,"RACK, Sin Laurent",1369096,1
MYSTIKA,"SIDARTA, Beyond",1345630,15
Kolima,"Eleni Foureira, Display",1336427,14
Sigue,"Beny Jr, Morad, K y B",1334395,13
Espresso,Sabrina Carpenter,1332111,13
Taste,Sabrina Carpenter,1326213,13
Balkania,"SNIK, Voyage, 2nd Roof",1325230,6
CASH OUT,"Arab, BORAC",1324526,13
BOUTIA KOLARES,"Bossikan, DIFF",1322582,6
ZIM ZIMMA,"Mente Fuerte, Trannos, Ramoon",1322480,11
End of Beginning,Djo,1317784,12
Krima,"Bloody Hawk, Mateos Nps",1310340,7
Koita Me,"Lava, Paris Kalpos, Sifis",1305587,10
Ifestio,"SNIK, 2nd Roof, BeTaf Beats",1303882,6
Jimmy Choo,Roi 6/12,1281973,14
Loco,"Oge, SNIK, VLOSPA",1269523,14
Netflix,"TOQUEL, Hawk",1258892,15
KALOKAIRIA,REC,1247401,6
Mi Milas,Anastasia,1234710,15
Kolpa,FLY LO,1226398,10
CELINE,"Hawk, Baghdad",1224628,14
True North,"Block 93, Sp93",1224600,14
KOKE,"Ivan Greko, DIFF, BeTaf Beats",1219369,7
Varane,"Dof Twogee, LEX",1210392,11
Like That,"Future, Metro Boomin, Kendrick Lamar",1206775,9
TRELES,"Ivan Greko, BeTaf Beats",1204215,9
BOSS,"Brief Talk, Onad, Joey Evans",1203292,7
La Luna,Melisses,1199866,13
Still Standing,"12os Pithikos, Dani Gambino, BoyPanda",1175490,11
As Ta Leme Kala,Lena Zevgara,1174188,13
Amiri,"Hawk, FLY LO",1169767,8
CHIHIRO,Billie Eilish,1158446,9
Ena Tsigaro,"ROPEX LATERIO, Lava, Paris Kalpos",1157431,9
Mina ögon / Ta matia moy,"Nineb Youk, TOQUEL, Jo Lids",1152461,12
SA POULIA STON AERA,"SIDARTA, Ethismos",1150542,5
Bullet,"SNIK, BM, Rvchet",1149575,4
Xeirovomvida,"Stavento, LILA",1148856,6
GG,Roi 6/12,1147596,8
Miden,"Bloody Hawk, Ethismos",1147452,7
The Night We Met,Lord Huron,1145494,15
Tetoia Ora Tetoia Logia,Giorgos Kakosaios,1145482,13
Tn,"Trannos, FLY LO",1140207,14
To Vale,Katerina Lioliou,1137282,5
Ikaria,Marina Spanou,1131219,7
OH NANA,"Ivan Greko, ZiZZi, BeTaf Beats",1128029,8
ENA VRADI,"Saske, SIDARTA, Ramoon",1127678,14
KNOCK KNOCK,"Dani Gambino, Dj The Boy",1119992,13
Gyrismos,"Christos Mastoras, Melisses",1117218,6
Guess featuring billie eilish,"Charli xcx, Billie Eilish",1109640,10
Only The Fam,"Block 93, Sp93, Tanto, mi368",1105417,15
Gilera,Ivan Greko,1102343,12
MONOS,"Kidd, Light, Skive, Destiny",1101615,12
Kolasi,TOQUEL,1100991,13
Sailor Song,Gigi Perez,1100334,12
Forema,"Roi 6/12, TOQUEL",1083099,14
The Boy Is Mine,"James Mac, Vall, Rosalie",1075081,12
FEMINISTIS,Bossikan,1074595,12
we can't be friends (wait for your love),Ariana Grande,1063170,10
Ena Euxaristw,"Ethismos, Melow",1055498,11
Gennaro,Light,1055267,12
Follow You,Noizy,1035766,6
MAQUO,ATC Nico,1017710,8
To Kyma,Melisses,1009813,13
Hey Mama,"Strat, DIFF, BeTaf Beats",1001191,3
Mahalas,Bloody Hawk,997944,12
ELA PARTO,"Dani Gambino, Dj The Boy",996842,13
Strangers,Kenya Grace,986501,12
Haramata,Klavdia,971381,12
CAPITANO,"Dani Gambino, Dj The Boy",968334,12
XROMATA,"Sigma, Kako, Beyond",963477,10
Ekato,"Sadam, HGEMONA$, Mike G",963016,6
MAJOR DEALS,"Ivan Greko, BeTaf Beats",955941,5
De Thymame,"HGEMONA$, FLY LO, Bossikan",950613,7
Primo,Light,949584,11
(It Goes Like) Nanana - Edit,Peggy Gou,929340,10
PASARELA,"Kidd, Onad",920152,6
Opa Opa,"DIFF, Strat, Ivan Greko",916568,3
STIN IYIA MAS,Marina Satti,915688,8
