artist_name,total_streams_2024,weeks_in_top200_2024
Hanumankind,365165,4
Kalmi,365165,4
Hades,358877,3
Lindo,357141,3
Ice Spice,355124,4
Eversor,354023,3
Natasha Bedingfield,345035,4
Stelios Kazantzidis,344075,3
Chico Beatz,340873,3
Matt Sassari,333296,4
Marcus & Martinus,331041,2
Sin Boy,320396,4
Kings,317441,3
Mc Daddy,317441,3
Ink,314225,4
Tugan,314064,4
Skoul,314064,4
Bambie Thug,306192,2
Christos,303278,3
The Neighbourhood,297911,4
Mitski,297843,4
Eleni Tsaligopoulou,290118,3
Sapranov,282019,4
ATC Coco,274520,3
Daft Punk,271915,4
Lovd,270808,2
Megan Thee Stallion,268720,3
千葉雄喜,268720,3
F(x),263217,3
Azazel,263217,3
Takanuva,255644,3
_OTS,255644,3
Mr. Belt & Wezol,255050,3
Silia Kapsis,247071,2
Eden Golan,241710,2
Ladaniva,239637,2
KK,236397,2
Christina Salti,236094,3
M3NOS,223272,2
Don Toliver,213740,3
Soume,204977,2
Pantelis Pantelidis,193125,2
Capital T,192031,1
Solven,178494,2
King & Joker,178494,2
Lay Bankz,171611,2
Isabel LaRosa,162948,2
GoldenChild,154965,1
YungKapa,154586,2
Mr Storm,144540,1
Rich Amiri,142949,2
Misk,138354,2
Dave,137544,2
DJ Stephan,134517,2
Inver,131905,1
leftovermax,129259,1
Grandbois,120551,1
Kelly Clarkson,117545,1
Dody6,117036,1
Big Ben,116839,1
Ypo,114814,1
Giorgos Sabanis,110308,1
Mikros Kleftis,108775,1
DJ Marvel,108114,1
Nat King Cole,108051,1
Nino Xypolitas,105313,1
José Feliciano,105171,1
Florence + The Machine,104693,1
The Ronettes,101104,1
TAFF,99667,1
Evan Spikes,99667,1
Akidwithadream,97087,1
Roddy Ricch,91465,1
Siete7x,91465,1
Wallie the Sensei,91465,1
Kaleen,91374,1
DJ Tune,90920,1
Evan SBK,90749,1
Zissis,90509,1
Dippy,90138,1
AZ Chike,89742,1
Mustii,89278,1
Generale,88204,1
The Dream X,88194,1
Rampo,87654,1
How,87173,1
Silvester Belt,86133,1
TALI,84461,1
White Gold,84235,1
Natassa Bofiliou,83911,1
Themis Karamouratidis,83911,1
