"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","total_num_ads","total_spend_formatted","detailed_type"
"Τσίπρας","64",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Τσίπρας","65+",0,0,"age",NA,NA,NA,5,"€1,029",NA
"Ανδρουλάκης","All",9,1,"gender",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","Women",0,0,"gender",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","Men",0,0,"gender",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","Peloponnese (region), Greece",4,0.28952734729649,"location","regions",FALSE,NA,9,"€6,983",NA
"Ανδρουλάκης","Crete, Greece",4,0.28952734729649,"location","regions",FALSE,NA,9,"€6,983",NA
"Ανδρουλάκης","Thessaloníki, Greece",3,0.28067602826236,"location","CITY",FALSE,NA,9,"€6,983",NA
"Ανδρουλάκης","Greece",4,0.68444997522604,"location","countries",FALSE,NA,9,"€6,983",NA
"Ανδρουλάκης","Athens, Greece",4,0.30669870573982,"location","CITY",FALSE,NA,9,"€6,983",NA
"Ανδρουλάκης","13",0,0,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","14",0,0,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","15",0,0,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","16",0,0,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","17",0,0,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","18",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","19",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","20",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","21",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","22",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","23",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","24",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","25",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","26",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","27",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","28",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","29",1,0.20792222409976,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","30",6,0.52347224887372,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","31",6,0.52347224887372,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","32",6,0.52347224887372,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","33",6,0.52347224887372,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","34",6,0.52347224887372,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","35",9,1,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","36",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","37",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","38",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","39",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","40",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","41",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","42",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","43",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","44",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","45",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","46",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","47",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","48",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","49",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","50",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","51",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","52",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","53",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","54",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","55",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","56",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","57",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","58",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","59",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","60",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","61",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","62",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","63",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","64",8,0.79207777590024,"age",NA,NA,NA,9,"€6,983",NA
"Ανδρουλάκης","65+",5,0.31555002477396,"age",NA,NA,NA,9,"€6,983",NA
