uri,track_name,artist_names,total_streams_2023,weeks_in_top200_2023
spotify:track:3xj4zxZORFIQolroh9Mjyb,TO AMAKSI,"Mikros Kleftis, Tsaki",326737,3
spotify:track:3FTQMngMztIvuBQWX2SLVU,KOBORRIMON KAI APLISTOS,"Negros Tou Moria, RACK, ODYDOZE",375201,4
spotify:track:71ON3C4yMW8D6HEyvoomph,DANEIKA,"Dani Gambino, Skouti Beats, Dj The Boy",783453,6
spotify:track:7BGdH2eCcjrjMmHFKRTofp,Joti,Elai,1159477,16
spotify:track:2LHUIYOsCZ19mDp2xRxj1u,Parallili Agapi,Antzy Samiou,1176725,12
spotify:track:1diBEGvaV7YDf4uUsVySE7,Ti Thes,"Khay Be, Kimi, Destiny",304154,4
spotify:track:65Yng6OVGMLDJVhiKFxpCa,BENZ,"SIDARTA, Beyond",1843966,20
spotify:track:2G9iZhy22NiEkyAeKtKIXC,OLE,"Oge, SNIK, Strat",1903279,27
spotify:track:79ONnVChS4kZDeXuGPUyJ0,Eglima Kardias,Nikos Oikonomopoulos,2332822,29
spotify:track:73KYTCSbVlj5E02qWj8DPF,Sandra,TOQUEL,2785012,36
spotify:track:7aSDUciT8Ilb27OXpRo3aT,LOPODITES,"Dani Gambino, Dj The Boy",723040,5
spotify:track:3aMmyk82Hs36APmNoEM0ZJ,Sinthikes,Mad Clip,2986452,43
spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",2961101,39
spotify:track:21xcnEC8ZIr8nTtI8xyDeS,Panorama,"TOQUEL, Sin Laurent",3859974,50
spotify:track:2NTEIfxbv9cinOCkI6JOQL,LOADOUT,"Mikros Kleftis, Tsaki",390826,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",3408888,39
spotify:track:3VDRhvxmkGrRzJUl97aCvw,Kane Mas Ti Hari,Giorgos Kakosaios,4330048,52
spotify:track:5RgDsqAkTC4BVcjvM7yfQ8,Bella Vita,"Light, Finem",1598818,19
spotify:track:2cB5HBEfgDYL3dHxDZgYNJ,Osoi Agapisa,"Buzz, Anser, Night Grind",82459,1
spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1468653,16
spotify:track:5e8JV9r2vKrbebUQMRpBCy,7/7,"Ioulia Kallimani, Michael Touratzidis",6668058,40
spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,3085323,38
spotify:track:4XtCM0qWk51wpqwaOTrSmc,GINA,"Hawk, Tsaki, Baghdad",2576204,33
spotify:track:7I6fZpYaW9BjlXJEKFL1Su,DEN EIMAI DIKOS SOU,"RACK, BretBeats, Beyond",3003365,37
spotify:track:2Zf1yuGx7fy8WSUNV5KMZW,Zinedine,"Raps On The Run, Dani Gambino, Dj The Boy",1559234,16
spotify:track:2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2522192,32
spotify:track:7AaxFtkinG6n5fw6ZUuxHE,Amarties,Anastasia,1829218,24
spotify:track:0ZKlERacRxQQE1XgM9AM6M,C' EST LA VIE,MG,79960,1
spotify:track:0Yw2Gb2YE1II5Ia3INx2mr,Kathrefti Kathreftaki Mou,Josephine,651219,9
spotify:track:5Ez6RiTPCrGb4rQGPftA2Y,Matonoun Oi Skepseis - (Part 1 - Nostalgia),"Konstantinos Argiros, Matthaios Tsahouridis",1591249,20
spotify:track:0knoTIGRzIkk7MIpCMeybE,WAVE,"Mikros Kleftis, Tsaki",306130,3
spotify:track:5PQ9WamrmmWxnftASffcu9,OXI,"RACK, Oge",2311680,17
spotify:track:7JvszANZYZDABquMdVXaD4,Petaei I Omada,"Buzz, rigasbeats",77179,1
spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,4356785,52
spotify:track:561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,1185688,18
spotify:track:7FEoY5i0wiTlwWpwZttqz5,NoNo,"Bexli, ATC Nico, ATC Coco, KoyDaNephew",1501034,19
spotify:track:4xZ59WxpeOJ8REpvsdfraN,WOAH,"Wang, Mateos Nps",1694481,14
spotify:track:5mHdCZtVyb4DcJw8799hZp,Escapism.,"RAYE, 070 Shake",1264863,14
spotify:track:0cOGWQcGaMe5HsGO9AEw25,G Walk,"FLY LO, Mike G",1812339,17
spotify:track:2lDJX08KgnN6fssdTbzFVx,T-MAX,"Wang, OLPO, Mateos Nps",1456674,21
spotify:track:7hVXZVcmpcHq1DJ05dnFZK,NANA,"SNIK, RACK",3265300,44
spotify:track:3BEciTHKrT0WUZuov9Yjod,Moneydance,"TOQUEL, Sin Laurent, Beyond",2126831,32
spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"Rema, Selena Gomez",1039351,17
spotify:track:4C6KxQ1iFSPn3UpTksfDOU,Street Business,"Buzz, Ortiz, DJ Marvel",74034,1
spotify:track:1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,"The Weeknd, Gesaffelstein",1592794,19
spotify:track:44Hm2RgINnzbtq8ZpMvufp,Bucks,"Lau Jr, Kidd, Mike G",784036,11
spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",3051782,40
spotify:track:0VfJj7Z3IQjF6lh5DhQYTs,Den Exw Sima,"Strat, Ivan Greko, Saxpas",2083307,25
spotify:track:457R4xC0mHC4pkYqaGOY2D,JET II,"Ivan Greko, BeTaf Beats",1370132,13
spotify:track:2YRt7GPwBCA7gYguth7hBL,Ksana,"Marseaux, Solmeister",707181,8
spotify:track:1IPktlKE1ozrXfM017xpbZ,1000 Kosmoi,"Dani Gambino, Wang, Dj The Boy",3017329,41
spotify:track:4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",632679,8
spotify:track:1NUJdCPAP7ZI7er9e0v5Yd,True North,"Block 93, Sp93",2977574,41
spotify:track:06qMidEiY0wLo4aPBjX4pw,De Se Vlepo (Apopse Vazo Terma),"Panos Kiamos, Oge",1234614,20
spotify:track:4ewhPnjVBPYE5Mgc55dJ39,Aroma,Fy,3521100,46
spotify:track:5cfpzLdRk0o8acJNU6aQSY,Holdem,"LEX, Dof Twogee",3386120,45
spotify:track:7IokpTW54OgzPu6Q3fkVHn,Aftoktonia,"TOQUEL, RACK, ObieDaz",1564750,23
spotify:track:76Ed6NIq5ZxpUKtPsg4DBe,777,TOQUEL,2209915,32
spotify:track:3a25lrQ9qsJQPj3gNSC7wJ,Ama Fygeis,Ellize,214808,3
spotify:track:3jP6Yx6d8608AU4aIRJsE2,Macarena,"Kings, Fy, Mc Daddy, Teo Tzimas",2934171,35
spotify:track:5g5aMrMZhLmBzGrIHFccX5,DROP,"Mikros Kleftis, Tsaki",226926,2
spotify:track:5ZO9U3FzXx19dhrJRyNPYK,Alliws,"ATC Nico, ATC Coco",1202317,18
spotify:track:0Az2D1ByNU09je0ZtzDcHm,XILIOMETRA,"Mad Clip, Hawk, Light, Sapranov",3146526,47
spotify:track:5ahPNTYu8v9MNaB7vjFfyB,ISLAMABAD,Dani Gambino,2074659,29
spotify:track:1Oar1fBf3rmSITukkP45gX,Fileto,"Buzz, Dof Twogee",67176,1
spotify:track:5tQrjxSC13DsAxFQ6aMUhV,Kathikon,"RACK, Oge",1577553,26
spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",915425,11
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",2997381,43
spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,1288977,18
spotify:track:7DHGbhOkxuhxPX13WopBLw,Teddy Bruckshot,Light,1205400,17
spotify:track:34Ra6ItNh9U23jMy4uo9iU,Keria,"Buzz, Night Grind, J1 GTB",65703,1
spotify:track:2zJdRbci1gCEidwFo2wYOE,GIA NA,"SIDARTA, ObieDaz, Pala Tranx",1310124,16
spotify:track:7lOk3JSaMnbZhG381VLa6C,Cyan,"Saske, DJ PaCo",1513797,24
spotify:track:259d0kioJeWhOXnNBMyV0B,Oh No,"Aspa, Mad Clip",1100675,19
spotify:track:0yRUYU3DF2znFYgi7oUGx2,Afou Se Vrika De S' Afino - (Part 2 - Fos),Konstantinos Argiros,1261527,19
spotify:track:37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,496032,8
spotify:track:4wLAuoBUBSBWZ7YJXS2crh,HOT WHEELS,"Mikros Kleftis, Tsaki",225949,2
spotify:track:7gDq0uvewflZouWOeg4tcW,Akoma Meno Zontanos,"FANN, Bloody Hawk",990897,16
spotify:track:7raprblR3NfeuiV72Lz5Il,Mporei,"Mad Clip, Eleni Foureira, Skive",3371151,47
spotify:track:1OWeLSEJbAMfJnDLNGeVHx,Street Dogs,"Buzz, CHRISTOFER",63878,1
spotify:track:0Yl1hoh3pTvNfPpYAaQt1k,BIG DOGS,"Mikros Kleftis, Tsaki",228155,2
spotify:track:1eEoV4y3nT116m0rKrU055,Loyal,"FLY LO, Saske",1148057,18
spotify:track:4iKWPfPRUAneWDTuq9iIi7,Prepi Den Prepi,Nikos Oikonomopoulos,1282071,19
spotify:track:79M61YYANlU2TES9uz4dj0,BLUE NOTE,"Hawk, Baghdad",1766465,28
spotify:track:7MiyM1iXoxZB6qqUWuwkiz,CASINO,"Mikros Kleftis, Tsaki",226046,2
spotify:track:4kdhUBdBQCEjqbC961YW1L,Kardia Mou,"Mente Fuerte, SIDARTA, Evan Spikes",994380,16
spotify:track:4hezVmkrGqtdOmlGGgha0I,Etoimase Mia Efchi,Kako,2810589,37
spotify:track:0nqVd1lwjtc3WLgc9gVOJN,Vitrines,"Buzz, Baghdad",61388,1
spotify:track:7HkIboltJD5p7r9cACufTF,8===D,"Mikros Kleftis, Tsaki",218462,2
spotify:track:60YhDtk1pz5MI3boHGMN37,Intro (Apo Tous Yponomous),"LEX, Solid",1601601,25
spotify:track:5m4SfVVLgqmcblzjWK91Bq,GOD DAMN,"Mikros Kleftis, Tsaki",143872,1
spotify:track:0lXs4KOF651Lsm31Fx0UgT,Pou Na Katalaveis,"Gio Melody, RACK, Skive",99498,1
spotify:track:1vxgLgcTeoGRnEpB5m820E,Ola,Thug Slime,76223,1
spotify:track:4uUpROi0CXKpPPdBx5qMtt,PEIRASMOS,"Negros Tou Moria, ODYDOZE",159669,2
spotify:track:10SUr6x148A7zD4diFMZUi,Provlima,"Thug Slime, Destiny, Silly Slime",68751,1
spotify:track:3o6KI262RwvwsDlVAc0PE4,Ax Kardoula Mou,Petros Iakovidis,135088,2
spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,954299,15
spotify:track:3vKqBFEJWVtJ4rQQLt3Dbe,Epiloges - Prod. By Skive,"HGEMONA$, LEX, Skive",1602989,16
spotify:track:1sCoE0cd8o6mrTsWOsRImL,Aformi,Ellize,1059409,14
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",1223836,17
spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,"Drake, 21 Savage",1138432,15
spotify:track:4Sbd7Em53W6QkcJo3EnCp5,Afto To Asteri,Nikos Oikonomopoulos,1291222,18
spotify:track:2z4kjQGOaN9TEQ6uYgS21l,BELLA,"Feisty, RICTA, Mateos Nps, DJ.Silence",967351,14
spotify:track:1VYv1xH7yUl0b43UVR6yA9,ELA PARTO,"Dani Gambino, Dj The Boy",2070060,32
spotify:track:2j4EZlzum9PZXiZBySurpt,Block,Light,110967,2
spotify:track:6bnF93Rx87YqUBLSgjiMU8,Heartless,The Weeknd,632539,11
spotify:track:6t9SDCejOZWwxvarsWWfAk,Mou Eleipses,Apostolia Zoi,580435,10
spotify:track:2WIyb9zf2uVSD0YOvyMQs4,Mercedi,"Sapranov, Hawk, Steezynicco",295698,4
spotify:track:4DB7IZCgdHnLKr2KmwKIHn,Tet A Tet,"TSE, Bossikan",57128,1
spotify:track:3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,1558790,24
spotify:track:6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,531479,9
