origin,nights,year,month
NAT,869710.0,2008,11
FOR,3111359.0,2008,10
NAT,1110718.0,2008,10
FOR,7926515.0,2008,09
NAT,1627506.0,2008,09
FOR,10297228.0,2008,08
NAT,3717468.0,2008,08
FOR,9997850.0,2008,07
NAT,2814525.0,2008,07
FOR,8059014.0,2008,06
NAT,1652377.0,2008,06
FOR,5436285.0,2008,05
NAT,1151335.0,2008,05
FOR,1296282.0,2008,04
NAT,1231169.0,2008,04
FOR,583123.0,2008,03
NAT,992487.0,2008,03
FOR,326577.0,2008,02
NAT,786138.0,2008,02
FOR,288114.0,2008,01
NAT,785481.0,2008,01
FOR,311771.0,2007,12
NAT,969788.0,2007,12
FOR,468394.0,2007,11
NAT,942617.0,2007,11
FOR,3311254.0,2007,10
NAT,1019652.0,2007,10
FOR,7878612.0,2007,09
NAT,1507488.0,2007,09
FOR,10355357.0,2007,08
NAT,3583944.0,2007,08
FOR,9829815.0,2007,07
NAT,2834246.0,2007,07
FOR,7949952.0,2007,06
NAT,1598139.0,2007,06
FOR,5412587.0,2007,05
NAT,1156137.0,2007,05
FOR,1459429.0,2007,04
NAT,1200553.0,2007,04
FOR,531187.0,2007,03
NAT,989901.0,2007,03
FOR,308184.0,2007,02
NAT,778360.0,2007,02
FOR,264931.0,2007,01
NAT,757938.0,2007,01
FOR,258102.0,2006,12
NAT,841829.0,2006,12
FOR,398990.0,2006,11
NAT,815172.0,2006,11
FOR,3467946.0,2006,10
NAT,835844.0,2006,10
FOR,7248551.0,2006,09
NAT,1430748.0,2006,09
FOR,9074920.0,2006,08
NAT,2846809.0,2006,08
FOR,8745618.0,2006,07
NAT,2232067.0,2006,07
FOR,6852393.0,2006,06
NAT,1259473.0,2006,06
FOR,4705179.0,2006,05
NAT,951399.0,2006,05
FOR,1338860.0,2006,04
NAT,1238518.0,2006,04
FOR,454680.0,2006,03
NAT,882440.0,2006,03
FOR,276858.0,2006,02
NAT,700391.0,2006,02
FOR,233284.0,2006,01
NAT,706480.0,2006,01
FOR,211074.0,2005,12
NAT,715141.0,2005,12
FOR,343843.0,2005,11
NAT,732624.0,2005,11
FOR,3235578.0,2005,10
NAT,934041.0,2005,10
FOR,6857731.0,2005,09
NAT,1370454.0,2005,09
FOR,8898653.0,2005,08
NAT,2993574.0,2005,08
FOR,8060735.0,2005,07
NAT,2343200.0,2005,07
FOR,6372737.0,2005,06
