year,quarter,duration,purpose,nights
2003,2,N_GE4,PERS,10407612.0
2003,2,N_GE4,PERS_VFR,3195580.0
2003,1,N1-3,PERS,1030793.0
2003,1,N_GE1,PERS,5230836.0
2003,1,N_GE1,PROF,630686.0
2003,1,N_GE1,TOTAL,5861522.0
2003,1,N_GE4,PERS,4200043.0
2003,1,N_GE4,PERS_VFR,1414604.0
2002,4,N1-3,PERS,1177713.0
2002,4,N_GE1,PERS,9122767.0
2002,4,N_GE1,PROF,949005.0
2002,4,N_GE1,TOTAL,10071772.0
2002,4,N_GE4,PERS,7945054.0
2002,4,N_GE4,PERS_VFR,3338057.0
2002,3,N1-3,PERS,1033025.0
2002,3,N_GE1,PERS,36816970.0
2002,3,N_GE1,PROF,1645657.0
2002,3,N_GE1,TOTAL,38462627.0
2002,3,N_GE4,PERS,35783945.0
2002,3,N_GE4,PERS_VFR,6387973.0
2002,2,N1-3,PERS,1191553.0
2002,2,N_GE1,PERS,11313292.0
2002,2,N_GE1,PROF,890825.0
2002,2,N_GE1,TOTAL,12204117.0
2002,2,N_GE4,PERS,10121739.0
2002,2,N_GE4,PERS_VFR,3111617.0
2002,1,N1-3,PERS,1276456.0
2002,1,N_GE1,PERS,4257070.0
2002,1,N_GE1,PROF,490459.0
2002,1,N_GE1,TOTAL,4747529.0
2002,1,N_GE4,PERS,2980614.0
2002,1,N_GE4,PERS_VFR,917469.0
2001,4,N1-3,PERS,1003852.0
2001,4,N_GE1,PERS,7916740.0
2001,4,N_GE1,PROF,743167.0
2001,4,N_GE1,TOTAL,8659907.0
2001,4,N_GE4,PERS,6912888.0
2001,4,N_GE4,PERS_VFR,2840640.0
2001,3,N1-3,PERS,881553.0
2001,3,N_GE1,PERS,35257461.0
2001,3,N_GE1,PROF,1375405.0
2001,3,N_GE1,TOTAL,36632866.0
2001,3,N_GE4,PERS,34375908.0
2001,3,N_GE4,PERS_VFR,7163197.0
2001,2,N1-3,PERS,1332512.0
2001,2,N_GE1,PERS,11388308.0
2001,2,N_GE1,PROF,1042481.0
2001,2,N_GE1,TOTAL,12430789.0
2001,2,N_GE4,PERS,10055796.0
2001,2,N_GE4,PERS_VFR,2529774.0
2001,1,N1-3,PERS,890149.0
2001,1,N_GE1,PERS,4752087.0
2001,1,N_GE1,PROF,907753.0
2001,1,N_GE1,TOTAL,5659840.0
2001,1,N_GE4,PERS,3861938.0
2001,1,N_GE4,PERS_VFR,1191081.0
2000,4,N1-3,PERS,986586.0
2000,4,N_GE1,PERS,9346142.0
2000,4,N_GE1,PROF,559535.0
2000,4,N_GE1,TOTAL,9905677.0
2000,4,N_GE4,PERS,8359556.0
2000,4,N_GE4,PERS_VFR,3934096.0
2000,3,N1-3,PERS,565962.0
2000,3,N_GE1,PERS,37854865.0
2000,3,N_GE1,PROF,1937235.0
2000,3,N_GE1,TOTAL,39792100.0
2000,3,N_GE4,PERS,37288903.0
2000,3,N_GE4,PERS_VFR,5768958.0
2000,2,N1-3,PERS,776172.0
2000,2,N_GE1,PERS,9577180.0
2000,2,N_GE1,PROF,577414.0
2000,2,N_GE1,TOTAL,10154594.0
2000,2,N_GE4,PERS,8801008.0
2000,2,N_GE4,PERS_VFR,2688523.0
2000,1,N1-3,PERS,1145605.0
2000,1,N_GE1,PERS,4967133.0
2000,1,N_GE1,PROF,1144073.0
2000,1,N_GE1,TOTAL,6111206.0
2000,1,N_GE4,PERS,3821528.0
2000,1,N_GE4,PERS_VFR,1644968.0
1999,4,N1-3,PERS,1385828.0
1999,4,N_GE1,PERS,9013662.0
1999,4,N_GE1,PROF,1338340.0
1999,4,N_GE1,TOTAL,10352002.0
1999,4,N_GE4,PERS,7627834.0
1999,4,N_GE4,PERS_VFR,4474825.0
1999,3,N1-3,PERS,1257651.0
1999,3,N_GE1,PERS,34799167.0
1999,3,N_GE1,PROF,1351130.0
1999,3,N_GE1,TOTAL,36150297.0
1999,3,N_GE4,PERS,33541516.0
1999,3,N_GE4,PERS_VFR,5039053.0
1999,2,N1-3,PERS,1611801.0
1999,2,N_GE1,PERS,8503804.0
1999,2,N_GE1,PROF,1627732.0
1999,2,N_GE1,TOTAL,10131536.0
1999,2,N_GE4,PERS,6892003.0
1999,2,N_GE4,PERS_VFR,1922066.0
1999,1,N1-3,PERS,1284784.0
1999,1,N_GE1,PERS,4414524.0
1999,1,N_GE1,PROF,833815.0
1999,1,N_GE1,TOTAL,5248339.0
1999,1,N_GE4,PERS,3129740.0
1999,1,N_GE4,PERS_VFR,1638964.0
1998,4,N1-3,PERS,811995.0
1998,4,N_GE1,PERS,3755376.0
1998,4,N_GE1,PROF,484202.0
1998,4,N_GE1,TOTAL,4239578.0
1998,4,N_GE4,PERS,2943381.0
1998,4,N_GE4,PERS_VFR,1314460.0
1998,3,N1-3,PERS,1007963.0
1998,3,N_GE1,PERS,57900721.0
1998,3,N_GE1,PROF,1843700.0
1998,3,N_GE1,TOTAL,59744421.0
1998,3,N_GE4,PERS,56892758.0
1998,3,N_GE4,PERS_VFR,12834340.0
1998,2,N1-3,PERS,1849030.0
1998,2,N_GE1,PERS,10190896.0
1998,2,N_GE1,PROF,1139214.0
1998,2,N_GE1,TOTAL,11330110.0
1998,2,N_GE4,PERS,8341866.0
1998,2,N_GE4,PERS_VFR,2918337.0
1998,1,N1-3,PERS,1417410.0
1998,1,N_GE1,PERS,5952681.0
1998,1,N_GE1,PROF,755964.0
1998,1,N_GE1,TOTAL,6708645.0
1998,1,N_GE4,PERS,4535271.0
1998,1,N_GE4,PERS_VFR,3351322.0
1997,4,N1-3,PERS,1533943.0
1997,4,N_GE1,PERS,11750521.0
1997,4,N_GE1,PROF,1556905.0
1997,4,N_GE1,TOTAL,13307426.0
1997,4,N_GE4,PERS,10216578.0
1997,4,N_GE4,PERS_VFR,5802633.0
1997,3,N1-3,PERS,1545988.0
1997,3,N_GE1,PERS,57394178.0
1997,3,N_GE1,PROF,3560417.0
1997,3,N_GE1,TOTAL,60954595.0
1997,3,N_GE4,PERS,55848190.0
1997,3,N_GE4,PERS_VFR,15009830.0
1997,2,N1-3,PERS,2513091.0
1997,2,N_GE1,PERS,15927806.0
1997,2,N_GE1,PROF,1767512.0
1997,2,N_GE1,TOTAL,17695318.0
1997,2,N_GE4,PERS,13414715.0
1997,2,N_GE4,PERS_VFR,8105974.0
1997,1,N1-3,PERS,2684701.0
1997,1,N_GE1,PERS,7686203.0
1997,1,N_GE1,PROF,1123334.0
1997,1,N_GE1,TOTAL,8809537.0
1997,1,N_GE4,PERS,5001502.0
1997,1,N_GE4,PERS_VFR,4442671.0
1996,4,N1-3,PERS,2417349.0
1996,4,N_GE1,PERS,10952658.0
1996,4,N_GE1,PROF,1480754.0
1996,4,N_GE1,TOTAL,12433412.0
1996,4,N_GE4,PERS,8535309.0
1996,4,N_GE4,PERS_VFR,5976358.0
1996,3,N1-3,PERS,3471030.0
1996,3,N_GE1,PERS,75901953.0
1996,3,N_GE1,PROF,2073234.0
1996,3,N_GE1,TOTAL,77975187.0
1996,3,N_GE4,PERS,72430923.0
