year,week,sex,deaths
2016,25,M,1422.0
2016,26,F,1143.0
2016,26,M,1175.0
2016,27,F,1023.0
2016,27,M,1132.0
2016,28,F,1099.0
2016,28,M,1087.0
2016,29,F,993.0
2016,29,M,1000.0
2016,30,F,1162.0
2016,30,M,1123.0
2016,31,F,1192.0
2016,31,M,1132.0
2016,32,F,1093.0
2016,32,M,1119.0
2016,33,F,1038.0
2016,33,M,1084.0
2016,34,F,987.0
2016,34,M,1062.0
2016,35,F,965.0
2016,35,M,1048.0
2016,36,F,985.0
2016,36,M,1056.0
2016,37,F,964.0
2016,37,M,1007.0
2016,38,F,889.0
2016,38,M,993.0
2016,39,F,953.0
2016,39,M,1019.0
2016,40,F,999.0
2016,40,M,1082.0
2016,41,F,985.0
2016,41,M,1062.0
2016,42,F,1024.0
2016,42,M,1118.0
2016,43,F,1034.0
2016,43,M,1143.0
2016,44,F,1068.0
2016,44,M,1080.0
2016,45,F,1151.0
2016,45,M,1198.0
2016,46,F,1099.0
2016,46,M,1145.0
2016,47,F,1222.0
2016,47,M,1209.0
2016,48,F,1227.0
2016,48,M,1186.0
2016,49,F,1210.0
2016,49,M,1265.0
2016,50,F,1163.0
2016,50,M,1251.0
2016,51,F,1291.0
2016,51,M,1425.0
2016,52,F,1421.0
2016,52,M,1454.0
2017,1,F,1698.0
2017,1,M,1727.0
2017,2,F,1923.0
2017,2,M,1757.0
2017,3,F,1732.0
2017,3,M,1632.0
2017,4,F,1542.0
2017,4,M,1540.0
2017,5,F,1495.0
2017,5,M,1507.0
2017,6,F,1415.0
2017,6,M,1375.0
2017,7,F,1336.0
2017,7,M,1339.0
2017,8,F,1276.0
2017,8,M,1247.0
2017,9,F,1206.0
2017,9,M,1193.0
2017,10,F,1229.0
2017,10,M,1176.0
2017,11,F,1240.0
2017,11,M,1204.0
2017,12,F,1211.0
2017,12,M,1247.0
2017,13,F,1121.0
2017,13,M,1132.0
2017,14,F,1094.0
2017,14,M,1269.0
2017,15,F,1158.0
2017,15,M,1205.0
2017,16,F,1135.0
2017,16,M,1232.0
2017,17,F,1142.0
2017,17,M,1183.0
2017,18,F,1114.0
2017,18,M,1151.0
2017,19,F,1057.0
2017,19,M,1102.0
2017,20,F,1011.0
2017,20,M,1019.0
2017,21,F,952.0
2017,21,M,1061.0
2017,22,F,1059.0
2017,22,M,1153.0
2017,23,F,1006.0
2017,23,M,1115.0
2017,24,F,1013.0
2017,24,M,1123.0
2017,25,F,1040.0
2017,25,M,1130.0
2017,26,F,1379.0
2017,26,M,1353.0
2017,27,F,1245.0
2017,27,M,1297.0
2017,28,F,1198.0
2017,28,M,1220.0
2017,29,F,1033.0
2017,29,M,1057.0
2017,30,F,1042.0
2017,30,M,1101.0
2017,31,F,1117.0
2017,31,M,1190.0
2017,32,F,1473.0
2017,32,M,1253.0
2017,33,F,1133.0
2017,33,M,1155.0
2017,34,F,958.0
2017,34,M,1094.0
2017,35,F,977.0
2017,35,M,1099.0
2017,36,F,955.0
2017,36,M,1021.0
2017,37,F,1005.0
2017,37,M,1095.0
2017,38,F,972.0
2017,38,M,1008.0
2017,39,F,898.0
2017,39,M,1028.0
2017,40,F,1011.0
2017,40,M,1065.0
2017,41,F,1097.0
2017,41,M,1088.0
2017,42,F,1149.0
2017,42,M,1081.0
2017,43,F,1038.0
2017,43,M,1119.0
2017,44,F,1116.0
2017,44,M,1098.0
2017,45,F,1122.0
2017,45,M,1188.0
2017,46,F,1057.0
2017,46,M,1209.0
2017,47,F,1146.0
2017,47,M,1173.0
2017,48,F,1170.0
2017,48,M,1166.0
2017,49,F,1095.0
2017,49,M,1183.0
2017,50,F,1163.0
2017,50,M,1292.0
2017,51,F,1118.0
2017,51,M,1249.0
2017,52,F,1234.0
2017,52,M,1262.0
2018,1,F,1290.0
2018,1,M,1243.0
2018,2,F,1219.0
2018,2,M,1234.0
2018,3,F,1143.0
2018,3,M,1202.0
2018,4,F,1225.0
2018,4,M,1323.0
2018,5,F,1286.0
2018,5,M,1319.0
2018,6,F,1252.0
2018,6,M,1305.0
2018,7,F,1257.0
2018,7,M,1212.0
2018,8,F,1208.0
2018,8,M,1285.0
2018,9,F,1266.0
2018,9,M,1344.0
2018,10,F,1225.0
2018,10,M,1307.0
2018,11,F,1189.0
2018,11,M,1226.0
2018,12,F,1126.0
2018,12,M,1204.0
2018,13,F,1182.0
2018,13,M,1183.0
2018,14,F,1172.0
2018,14,M,1169.0
2018,15,F,1122.0
2018,15,M,1227.0
2018,16,F,1142.0
2018,16,M,1177.0
2018,17,F,1042.0
2018,17,M,1133.0
2018,18,F,1109.0
2018,18,M,1117.0
2018,19,F,972.0
2018,19,M,1008.0
2018,20,F,1031.0
2018,20,M,1081.0
2018,21,F,1006.0
2018,21,M,1015.0
2018,22,F,1096.0
2018,22,M,1127.0
2018,23,F,1168.0
2018,23,M,1134.0
2018,24,F,1077.0
2018,24,M,1111.0
2018,25,F,1014.0
2018,25,M,1066.0
2018,26,F,1000.0
2018,26,M,1045.0
2018,27,F,1159.0
2018,27,M,1202.0
2018,28,F,1049.0
2018,28,M,1111.0
2018,29,F,1163.0
2018,29,M,1193.0
2018,30,F,1084.0
2018,30,M,1111.0
2018,31,F,1092.0
2018,31,M,1139.0
2018,32,F,1151.0
2018,32,M,1137.0
2018,33,F,1126.0
2018,33,M,1159.0
2018,34,F,1137.0
2018,34,M,1123.0
2018,35,F,1056.0
2018,35,M,1122.0
2018,36,F,1071.0
2018,36,M,1125.0
2018,37,F,980.0
2018,37,M,1083.0
2018,38,F,1017.0
2018,38,M,1083.0
2018,39,F,970.0
2018,39,M,1052.0
2018,40,F,1049.0
2018,40,M,1127.0
2018,41,F,1062.0
2018,41,M,1182.0
2018,42,F,1073.0
2018,42,M,1091.0
2018,43,F,1081.0
2018,43,M,1180.0
2018,44,F,1069.0
2018,44,M,1232.0
2018,45,F,1105.0
2018,45,M,1127.0
2018,46,F,1169.0
2018,46,M,1223.0
2018,47,F,1186.0
2018,47,M,1252.0
2018,48,F,1100.0
2018,48,M,1212.0
2018,49,F,1210.0
2018,49,M,1241.0
2018,50,F,1246.0
2018,50,M,1257.0
2018,51,F,1242.0
2018,51,M,1293.0
2018,52,F,1282.0
2018,52,M,1350.0
2019,1,F,1311.0
2019,1,M,1395.0
2019,2,F,1576.0
2019,2,M,1529.0
2019,3,F,1538.0
2019,3,M,1501.0
2019,4,F,1477.0
2019,4,M,1383.0
2019,5,F,1445.0
2019,5,M,1448.0
2019,6,F,1382.0
2019,6,M,1390.0
2019,7,F,1279.0
2019,7,M,1284.0
2019,8,F,1358.0
2019,8,M,1302.0
2019,9,F,1345.0
2019,9,M,1424.0
2019,10,F,1245.0
2019,10,M,1274.0
2019,11,F,1238.0
2019,11,M,1232.0
2019,12,F,1192.0
2019,12,M,1199.0
2019,13,F,1164.0
2019,13,M,1168.0
2019,14,F,1200.0
2019,14,M,1213.0
2019,15,F,1182.0
2019,15,M,1130.0
2019,16,F,1109.0
2019,16,M,1111.0
2019,17,F,1213.0
2019,17,M,1190.0
2019,18,F,1136.0
2019,18,M,1224.0
2019,19,F,1164.0
2019,19,M,1159.0
2019,20,F,1073.0
2019,20,M,1195.0
2019,21,F,1067.0
2019,21,M,1143.0
2019,22,F,1134.0
2019,22,M,1147.0
2019,23,F,1087.0
2019,23,M,1198.0
2019,24,F,1291.0
2019,24,M,1255.0
2019,25,F,1167.0
2019,25,M,1209.0
2019,26,F,1221.0
2019,26,M,1198.0
2019,27,F,1186.0
2019,27,M,1191.0
2019,28,F,1138.0
2019,28,M,1120.0
2019,29,F,1006.0
2019,29,M,1091.0
2019,30,F,1120.0
2019,30,M,1217.0
2019,31,F,1171.0
2019,31,M,1215.0
2019,32,F,1166.0
2019,32,M,1225.0
2019,33,F,1201.0
2019,33,M,1160.0
2019,34,F,1090.0
2019,34,M,1174.0
2019,35,F,1150.0
2019,35,M,1206.0
2019,36,F,1075.0
2019,36,M,1047.0
2019,37,F,1032.0
2019,37,M,1052.0
2019,38,F,1055.0
2019,38,M,1055.0
2019,39,F,1059.0
2019,39,M,1028.0
2019,40,F,1035.0
2019,40,M,1123.0
2019,41,F,966.0
2019,41,M,1104.0
2019,42,F,1048.0
2019,42,M,1075.0
2019,43,F,1068.0
2019,43,M,1102.0
2019,44,F,1134.0
2019,44,M,1149.0
2019,45,F,1173.0
2019,45,M,1130.0
2019,46,F,1135.0
2019,46,M,1081.0
2019,47,F,1068.0
2019,47,M,1148.0
2019,48,F,1154.0
2019,48,M,1241.0
2019,49,F,1206.0
2019,49,M,1306.0
2019,50,F,1214.0
2019,50,M,1249.0
2019,51,F,1214.0
2019,51,M,1231.0
2019,52,F,1226.0
2019,52,M,1233.0
2020,1,F,1363.0
2020,1,M,1388.0
2020,2,F,1413.0
2020,2,M,1510.0
2020,3,F,1465.0
2020,3,M,1398.0
2020,4,F,1384.0
2020,4,M,1390.0
2020,5,F,1534.0
2020,5,M,1456.0
2020,6,F,1441.0
2020,6,M,1409.0
2020,7,F,1390.0
2020,7,M,1392.0
2020,8,F,1220.0
2020,8,M,1249.0
2020,9,F,1255.0
2020,9,M,1290.0
2020,10,F,1325.0
2020,10,M,1320.0
2020,11,F,1323.0
2020,11,M,1271.0
2020,12,F,1297.0
2020,12,M,1251.0
2020,13,F,1256.0
2020,13,M,1183.0
2020,14,F,1197.0
2020,14,M,1257.0
2020,15,F,1172.0
2020,15,M,1190.0
2020,16,F,1175.0
2020,16,M,1093.0
2020,17,F,1119.0
2020,17,M,1084.0
2020,18,F,1152.0
2020,18,M,1155.0
2020,19,F,1078.0
2020,19,M,1050.0
2020,20,F,1260.0
2020,20,M,1214.0
2020,21,F,1141.0
2020,21,M,1188.0
2020,22,F,931.0
2020,22,M,1030.0
2020,23,F,1024.0
2020,23,M,1077.0
2020,24,F,1081.0
2020,24,M,1130.0
2020,25,F,1174.0
2020,25,M,1180.0
2020,26,F,1070.0
2020,26,M,1111.0
2020,27,F,1331.0
2020,27,M,1340.0
2020,28,F,1149.0
2020,28,M,1155.0
2020,29,F,1039.0
2020,29,M,1098.0
2020,30,F,1119.0
2020,30,M,1116.0
2020,31,F,1415.0
2020,31,M,1299.0
2020,32,F,1301.0
2020,32,M,1227.0
2020,33,F,1168.0
2020,33,M,1199.0
2020,34,F,1190.0
2020,34,M,1171.0
2020,35,F,1131.0
2020,35,M,1167.0
2020,36,F,1154.0
2020,36,M,1161.0
2020,37,F,1151.0
2020,37,M,1123.0
2020,38,F,1121.0
2020,38,M,1155.0
2020,39,F,1070.0
2020,39,M,1086.0
2020,40,F,1062.0
2020,40,M,1161.0
2020,41,F,1075.0
2020,41,M,1139.0
2020,42,F,1029.0
2020,42,M,1115.0
2020,43,F,1059.0
2020,43,M,1164.0
2020,44,F,1163.0
2020,44,M,1250.0
2020,45,F,1250.0
2020,45,M,1297.0
2020,46,F,1321.0
2020,46,M,1463.0
2020,47,F,1490.0
2020,47,M,1659.0
2020,48,F,1590.0
2020,48,M,1707.0
2020,49,F,1591.0
2020,49,M,1745.0
2020,50,F,1535.0
2020,50,M,1580.0
2020,51,F,1401.0
2020,51,M,1537.0
2020,52,F,1343.0
2020,52,M,1420.0
2020,53,F,1305.0
2020,53,M,1373.0
2021,1,F,1288.0
2021,1,M,1364.0
2021,2,F,1240.0
2021,2,M,1258.0
2021,3,F,1297.0
2021,3,M,1355.0
2021,4,F,1289.0
2021,4,M,1332.0
2021,5,F,1206.0
2021,5,M,1287.0
2021,6,F,1198.0
2021,6,M,1265.0
2021,7,F,1209.0
2021,7,M,1320.0
2021,8,F,1290.0
2021,8,M,1377.0
2021,9,F,1334.0
2021,9,M,1390.0
2021,10,F,1315.0
2021,10,M,1340.0
2021,11,F,1344.0
2021,11,M,1439.0
2021,12,F,1331.0
2021,12,M,1428.0
2021,13,F,1456.0
2021,13,M,1473.0
2021,14,F,1386.0
2021,14,M,1512.0
2021,15,F,1447.0
2021,15,M,1522.0
2021,16,F,1273.0
2021,16,M,1392.0
2021,17,F,1355.0
2021,17,M,1449.0
2021,18,F,1400.0
2021,18,M,1537.0
2021,19,F,1168.0
2021,19,M,1268.0
2021,20,F,1189.0
2021,20,M,1311.0
2021,21,F,1251.0
2021,21,M,1334.0
2021,22,F,1139.0
2021,22,M,1179.0
2021,23,F,1218.0
2021,23,M,1175.0
2021,24,F,1060.0
2021,24,M,1254.0
2021,25,F,1503.0
2021,25,M,1456.0
2021,26,F,1602.0
2021,26,M,1552.0
2021,27,F,1444.0
2021,27,M,1258.0
2021,28,F,1393.0
2021,28,M,1306.0
2021,29,F,1235.0
2021,29,M,1214.0
2021,30,F,1372.0
2021,30,M,1453.0
2021,31,F,2019.0
2021,31,M,1867.0
2021,32,F,1490.0
2021,32,M,1462.0
2021,33,F,1313.0
2021,33,M,1356.0
2021,34,F,1390.0
2021,34,M,1388.0
2021,35,F,1248.0
2021,35,M,1317.0
2021,36,F,1252.0
2021,36,M,1267.0
2021,37,F,1303.0
2021,37,M,1416.0
2021,38,F,1169.0
2021,38,M,1271.0
2021,39,F,1215.0
2021,39,M,1224.0
2021,40,F,1234.0
2021,40,M,1222.0
2021,41,F,1200.0
2021,41,M,1288.0
2021,42,F,1178.0
2021,42,M,1336.0
2021,43,F,1364.0
2021,43,M,1362.0
2021,44,F,1420.0
2021,44,M,1573.0
2021,45,F,1378.0
2021,45,M,1474.0
2021,46,F,1445.0
2021,46,M,1546.0
2021,47,F,1502.0
2021,47,M,1668.0
2021,48,F,1551.0
2021,48,M,1623.0
2021,49,F,1619.0
2021,49,M,1721.0
2021,50,F,1556.0
2021,50,M,1730.0
2021,51,F,1606.0
2021,51,M,1694.0
2021,52,F,1659.0
2021,52,M,1638.0
2022,1,F,1634.0
2022,1,M,1633.0
2022,2,F,1658.0
2022,2,M,1718.0
2022,3,F,1649.0
2022,3,M,1613.0
2022,4,F,1866.0
2022,4,M,1811.0
2022,5,F,1777.0
2022,5,M,1778.0
2022,6,F,1669.0
2022,6,M,1570.0
2022,7,F,1524.0
2022,7,M,1538.0
2022,8,F,1381.0
2022,8,M,1415.0
2022,9,F,1382.0
2022,9,M,1464.0
2022,10,F,1393.0
2022,10,M,1451.0
2022,11,F,1545.0
2022,11,M,1495.0
2022,12,F,1495.0
2022,12,M,1545.0
2022,13,F,1519.0
2022,13,M,1512.0
2022,14,F,1412.0
2022,14,M,1457.0
2022,15,F,1366.0
2022,15,M,1435.0
2022,16,F,1251.0
2022,16,M,1368.0
2022,17,F,1292.0
2022,17,M,1344.0
