year,week,region,region_name,deaths
2015,8,EL433,Ρέθυμνο,22.0
2015,8,EL434,Χανιά,32.0
2015,8,EL511,Έβρος,46.0
2015,8,EL512,Ξάνθη,24.0
2015,8,EL513,Ροδόπη,31.0
2015,8,EL514,Δράμα,40.0
2015,8,EL515,"Θάσος, Καβάλα",42.0
2015,8,EL521,Ημαθία,51.0
2015,8,EL522,Θεσσαλονίκη,220.0
2015,8,EL523,Κιλκίς,16.0
2015,8,EL524,Πέλλα,30.0
2015,8,EL525,Πιερία,36.0
2015,8,EL526,Σέρρες,71.0
2015,8,EL527,Χαλκιδική,22.0
2015,8,EL531,"Γρεβενά, Κοζάνη",44.0
2015,8,EL532,Καστοριά,9.0
2015,8,EL533,Φλώρινα,19.0
2015,8,EL541,"Άρτα, Πρέβεζα",47.0
2015,8,EL542,Θεσπρωτία,13.0
2015,8,EL543,Ιωάννινα,35.0
2015,8,EL611,"Καρδίτσα, Τρίκαλα",72.0
2015,8,EL612,Λάρισα,58.0
2015,8,EL613,"Μαγνησία, Σποράδες",58.0
2015,8,EL621,Ζάκυνθος,16.0
2015,8,EL622,Κέρκυρα,28.0
2015,8,EL623,"Ιθάκη, Κεφαλληνία",15.0
2015,8,EL624,Λευκάδα,5.0
2015,8,EL631,Αιτωλοακαρνανία,68.0
2015,8,EL632,Αχαΐα,71.0
2015,8,EL633,Ηλεία,47.0
2015,8,EL641,Βοιωτία,35.0
2015,8,EL642,Εύβοια,69.0
2015,8,EL643,Ευρυτανία,1.0
2015,8,EL644,Φθιώτιδα,39.0
2015,8,EL645,Φωκίδα,16.0
2015,8,EL651,"Αργολίδα, Αρκαδία",43.0
2015,8,EL652,Κορινθία,44.0
2015,8,EL653,"Λακωνία, Μεσσηνία",68.0
2015,9,EL301,Βόρειος Τομέας Αθηνών,140.0
2015,9,EL302,Δυτικός Τομέας Αθηνών,119.0
2015,9,EL303,Κεντρικός Τομέας Αθηνών,287.0
2015,9,EL304,Νότιος Τομέας Αθηνών,114.0
2015,9,EL305,Ανατολική Αττική,111.0
2015,9,EL306,Δυτική Αττική,32.0
2015,9,EL307,"Πειραιάς, Νήσοι",149.0
2015,9,EL411,"Λέσβος, Λήμνος",28.0
2015,9,EL412,"Ικαρία, Σάμος",1.0
2015,9,EL413,Χίος,11.0
2015,9,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",35.0
2015,9,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",26.0
2015,9,EL431,Ηράκλειο,72.0
2015,9,EL432,Λασίθι,30.0
2015,9,EL433,Ρέθυμνο,15.0
2015,9,EL434,Χανιά,32.0
2015,9,EL511,Έβρος,43.0
2015,9,EL512,Ξάνθη,27.0
2015,9,EL513,Ροδόπη,27.0
2015,9,EL514,Δράμα,27.0
2015,9,EL515,"Θάσος, Καβάλα",24.0
2015,9,EL521,Ημαθία,34.0
2015,9,EL522,Θεσσαλονίκη,238.0
2015,9,EL523,Κιλκίς,26.0
2015,9,EL524,Πέλλα,46.0
2015,9,EL525,Πιερία,37.0
2015,9,EL526,Σέρρες,67.0
2015,9,EL527,Χαλκιδική,19.0
2015,9,EL531,"Γρεβενά, Κοζάνη",60.0
2015,9,EL532,Καστοριά,11.0
2015,9,EL533,Φλώρινα,9.0
2015,9,EL541,"Άρτα, Πρέβεζα",56.0
2015,9,EL542,Θεσπρωτία,8.0
2015,9,EL543,Ιωάννινα,40.0
2015,9,EL611,"Καρδίτσα, Τρίκαλα",82.0
2015,9,EL612,Λάρισα,59.0
2015,9,EL613,"Μαγνησία, Σποράδες",52.0
2015,9,EL621,Ζάκυνθος,12.0
2015,9,EL622,Κέρκυρα,27.0
2015,9,EL623,"Ιθάκη, Κεφαλληνία",16.0
2015,9,EL624,Λευκάδα,8.0
2015,9,EL631,Αιτωλοακαρνανία,75.0
2015,9,EL632,Αχαΐα,58.0
2015,9,EL633,Ηλεία,46.0
2015,9,EL641,Βοιωτία,33.0
2015,9,EL642,Εύβοια,72.0
2015,9,EL643,Ευρυτανία,8.0
2015,9,EL644,Φθιώτιδα,38.0
2015,9,EL645,Φωκίδα,10.0
2015,9,EL651,"Αργολίδα, Αρκαδία",56.0
2015,9,EL652,Κορινθία,53.0
2015,9,EL653,"Λακωνία, Μεσσηνία",84.0
2015,10,EL301,Βόρειος Τομέας Αθηνών,140.0
2015,10,EL302,Δυτικός Τομέας Αθηνών,111.0
2015,10,EL303,Κεντρικός Τομέας Αθηνών,240.0
2015,10,EL304,Νότιος Τομέας Αθηνών,115.0
2015,10,EL305,Ανατολική Αττική,84.0
2015,10,EL306,Δυτική Αττική,19.0
2015,10,EL307,"Πειραιάς, Νήσοι",140.0
2015,10,EL411,"Λέσβος, Λήμνος",31.0
