date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη_6m_avg",Διάφορα βιομηχανικά είδη_6m_avg,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες_6m_avg",Λάδια και λίπη ζωικής ή φυτικής προέλευσης_6m_avg,Μηχανήματα και υλικό μεταφορών_6m_avg,"Ορυκτά, καύσιμα, λιπαντικά κλπ._6m_avg",Ποτά και καπνός_6m_avg,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα_6m_avg",Τρόφιμα και ζωντανά ζώα_6m_avg,Χημικά προϊόντα και συναφή_6m_avg
2009-04-01,53781300.0,172900.0,204100.0,414200.0,143500.0,93584600.0,566800.0,49200.0,3744700.0,299600.0,34585266.666666664,161416.66666666666,251816.66666666666,363916.6666666667,145350.0,76367483.33333333,936816.6666666666,16411116.666666666,3884816.6666666665,332116.6666666667
2009-05-01,40497500.0,218700.0,278300.0,315000.0,163300.0,33371300.0,321600.0,23772200.0,3874800.0,239200.0,32558950.0,180350.0,242016.66666666666,356616.6666666667,161366.66666666666,69666666.66666667,742083.3333333334,11738416.666666666,3851283.3333333335,316016.6666666667
2009-06-01,2604600.0,169400.0,285400.0,320100.0,140000.0,162892500.0,779900.0,8100.0,4198000.0,404200.0,28372983.333333332,183050.0,258066.66666666666,347300.0,164233.33333333334,77189000.0,789050.0,8066466.666666667,3870200.0,332716.6666666667
2009-07-01,36151900.0,196600.0,256700.0,451700.0,140400.0,38856800.0,257300.0,42587000.0,4351900.0,375000.0,27667066.666666668,200216.66666666666,261766.66666666666,384333.3333333333,160266.66666666666,83207133.33333333,591116.6666666666,13824600.0,4010566.6666666665,362450.0
2009-08-01,36105500.0,93900.0,33100.0,247700.0,67000.0,56149800.0,231200.0,15129800.0,3130800.0,20048300.0,29089566.666666668,187716.66666666666,222183.33333333334,358033.3333333333,153866.66666666666,69310816.66666667,410600.0,16345766.666666666,3847050.0,3629566.6666666665
2009-09-01,39485100.0,39700.0,156000.0,227500.0,524600.0,10853800.0,803000.0,15317800.0,5540500.0,213800.0,34770983.333333336,148533.33333333334,202266.66666666666,329366.6666666667,196466.66666666666,65951466.666666664,493300.0,16144016.666666666,4140116.6666666665,3596683.3333333335
2009-10-01,5174800.0,50300.0,149900.0,313000.0,139200.0,15545200.0,411600.0,21050400.0,4728900.0,3927900.0,26669900.0,128100.0,193233.33333333334,312500.0,195750.0,52944900.0,467433.3333333333,19644216.666666668,4304150.0,4201400.0
2009-11-01,2179600.0,64800.0,162900.0,264700.0,67800.0,4551800.0,512800.0,19527400.0,4466000.0,5784100.0,20283583.333333332,102450.0,174000.0,304116.6666666667,179833.33333333334,48141650.0,499300.0,18936750.0,4402683.333333333,5125550.0
2009-12-01,46778200.0,58700.0,81100.0,205400.0,240300.0,48288200.0,255500.0,8100.0,6074700.0,390500.0,27645850.0,84000.0,139950.0,285000.0,196550.0,29040933.333333332,411900.0,18936750.0,4715466.666666667,5123266.666666667
2010-01-01,9355428.0,55001.0,134405.0,278691.0,58596.0,52018142.0,180871.0,13641391.0,4722461.0,293289.0,23179771.333333332,60400.166666666664,119567.5,256165.16666666666,182916.0,31234490.333333332,399161.8333333333,14112481.833333334,4777226.833333333,5109648.166666667
2010-02-01,8535760.0,104056.0,183264.0,344808.0,189628.0,54117889.0,199669.0,42183430.0,4508185.0,254950.0,18584814.666666668,62092.833333333336,144594.83333333334,272349.8333333333,203354.0,30895838.5,393906.6666666667,18621420.166666668,5006791.0,1810756.5
2010-03-01,42238945.0,127434.0,193935.0,328955.0,142031.0,2435467.0,355887.0,27681981.0,5685179.0,270781.0,19043788.833333332,76715.16666666667,150917.33333333334,289259.0,139592.5,29492783.0,319387.8333333333,20682117.0,5030904.166666667,1820253.3333333333
2010-04-01,12527736.0,77611.0,112103.0,247913.0,70926.0,6612973.0,315203.0,21150910.0,4438349.0,375197.0,20269278.166666668,81267.0,144617.83333333334,278411.1666666667,128213.5,28004078.5,303321.6666666667,20698868.666666668,4982479.0,1228136.1666666667
2010-05-01,41688073.0,124667.0,161004.0,305873.0,158919.0,17958685.0,324822.0,4055539.0,4399141.0,5947833.0,26854023.666666668,91244.83333333333,144301.83333333334,285273.3333333333,143400.0,30238559.333333332,271992.0,18120225.166666668,4971335.833333333,1255425.0
2010-06-01,3248968.0,114516.0,215946.0,309639.0,128272.0,43412262.0,409987.0,48817859.0,4443005.0,378160.0,19599151.666666668,100547.5,166776.16666666666,302646.5,124728.66666666667,29425903.0,297739.8333333333,26255185.0,4699386.666666667,1253368.3333333333
2010-07-01,40456581.0,88482.0,191319.0,231769.0,127681.0,3958479.0,262458.0,21386625.0,4133648.0,226732.0,24782677.166666668,106127.66666666667,176261.83333333334,294826.1666666667,136242.83333333334,21415959.166666668,311337.6666666667,27546057.333333332,4601251.166666667,1242275.5
2010-08-01,7507501.0,83614.0,62663.0,301822.0,78917.0,71491323.0,341967.0,15669028.0,4550500.0,515575.0,24611300.666666668,102720.66666666667,156161.66666666666,287661.8333333333,117791.0,24311531.5,335054.0,23126990.333333332,4608303.666666667,1285713.0
2010-09-01,849070.0,53103.0,88401.0,194505.0,135921.0,96882218.0,82627.0,20812103.0,2600034.0,5778675.0,17712988.166666668,90332.16666666667,138572.66666666666,265253.5,116772.66666666667,40052656.666666664,289510.6666666667,21982010.666666668,4094112.8333333335,2203695.3333333335
2010-10-01,43755210.0,59285.0,233832.0,455761.0,83043.0,29489949.0,667894.0,21289930.0,6869940.0,506070.0,22917567.166666668,87277.83333333333,158860.83333333334,299894.8333333333,118792.16666666667,43865486.0,348292.5,22005180.666666668,4499378.0,2225507.5
2010-11-01,5325777.0,70829.0,220077.0,312852.0,166966.0,61338379.0,386874.0,9773802.0,5386783.0,384198.0,16857184.5,78304.83333333333,168706.33333333334,301058.0,120133.33333333333,51095435.0,358634.5,22958224.5,4663985.0,1298235.0
2010-12-01,2560009.0,68302.0,154394.0,262097.0,225685.0,165198090.0,384443.0,509179.0,5565026.0,430424.0,16742358.0,70602.5,158447.66666666666,293134.3333333333,136368.83333333334,71393073.0,354377.1666666667,14906777.833333334,4850988.5,1306945.6666666667
2011-01-01,12584936.0,53818.0,198509.0,282643.0,65273.0,30415142.0,132170.0,21474028.0,4461317.0,256454.0,12097083.833333334,64825.166666666664,159646.0,301613.3333333333,125967.5,75802516.83333333,332662.5,14921345.0,4905600.0,1311899.3333333333
2011-02-01,3008883.0,68800.0,107792.0,288096.0,78957.0,28132113.0,324350.0,21255968.0,5186935.0,232162.0,11347314.166666666,62356.166666666664,167167.5,299325.6666666667,125974.16666666667,68575981.83333333,329726.3333333333,15852501.666666666,5011672.5,1264663.8333333333
2011-03-01,13001274.0,76157.0,205959.0,379121.0,105918.0,84620722.0,568792.0,1105641.0,6914796.0,466352.0,13372681.5,66198.5,186760.5,330095.0,120973.66666666667,66532399.166666664,410753.8333333333,12568091.333333334,5730799.5,379276.6666666667
2011-04-01,19321615.0,88850.0,120998.0,345268.0,179692.0,121921814.0,426373.0,21757556.0,5126544.0,414431.0,9300415.666666666,71126.0,167954.83333333334,311679.5,137081.83333333334,81937710.0,370500.3333333333,12646029.0,5440233.5,364003.5
2011-05-01,4527610.0,137840.0,245239.0,235380.0,129608.0,95814579.0,372853.0,21279494.0,5198025.0,372107.0,9167387.833333334,82294.5,172148.5,298767.5,130855.5,87683743.33333333,368163.5,14563644.333333334,5408773.833333333,361988.3333333333
2011-06-01,2962077.0,114045.0,147454.0,284643.0,168669.0,148497664.0,468197.0,1457183.0,4903685.0,610088.0,9234399.166666666,89918.33333333333,170991.83333333334,302525.1666666667,121352.83333333333,84900339.0,382122.5,14721645.0,5298550.333333333,391932.3333333333
2011-07-01,3086140.0,232350.0,239591.0,239148.0,129730.0,183567455.0,314782.0,48613072.0,5303701.0,557866.0,7651266.5,119673.66666666667,177838.83333333334,295276.0,132095.66666666666,110425724.5,412557.8333333333,19244819.0,5438947.666666667,442167.6666666667
2011-08-01,2101277.0,151945.0,99992.0,323543.0,64468.0,116647652.0,450328.0,964719.0,3616687.0,441933.0,7499998.833333333,133531.16666666666,176538.83333333334,301183.8333333333,129680.83333333333,125178314.33333333,433554.1666666667,15862944.166666666,5177239.666666667,477129.5
2011-09-01,9713313.0,129756.0,194147.0,376338.0,70393.0,100178260.0,435123.0,42777760.0,4982459.0,3394885.0,6952005.333333333,142464.33333333334,174570.16666666666,300720.0,123760.0,127771237.33333333,411276.0,22808297.333333332,4855183.5,965218.3333333334
2011-10-01,2904198.0,65658.0,183160.0,272308.0,204282.0,17602293.0,378070.0,873219.0,3772088.0,5713248.0,4215769.166666667,138599.0,184930.5,288560.0,127858.33333333333,110384650.5,403225.5,19327574.5,4629440.833333333,1848354.5
2011-11-01,16370685.0,71209.0,216769.0,417546.0,78963.0,1383477.0,247757.0,21262768.0,4499844.0,339820.0,6189615.0,127493.83333333333,180185.5,318921.0,119417.5,94646133.5,382376.1666666667,19324786.833333332,4513077.333333333,1842973.3333333333
2011-12-01,41160377.0,72445.0,147565.0,344332.0,174863.0,103014324.0,341563.0,1520242.0,4630944.0,358384.0,12555998.333333334,120560.5,180204.0,328869.1666666667,120449.83333333333,87065576.83333333,361270.5,19335296.666666668,4467620.5,1801022.6666666667
2012-01-01,20716291.0,70874.0,161195.0,393421.0,86882.0,16463904.0,201873.0,18144948.0,3534779.0,200089.0,15494356.833333334,93647.83333333333,167138.0,354581.3333333333,113308.5,59214985.0,342452.3333333333,14257276.0,4172800.1666666665,1741393.1666666667
2012-02-01,51471183.0,92316.0,209847.0,577488.0,111691.0,53014996.0,260032.0,432910.0,4112865.0,331384.0,23722674.5,83709.66666666667,185447.16666666666,396905.5,121179.0,48609542.333333336,310736.3333333333,14168641.166666666,4255496.5,1722968.3333333333
2012-03-01,126184177.0,118022.0,212608.0,438832.0,153095.0,23483388.0,326564.0,72161336.0,5039227.0,438935.0,43134485.166666664,81754.0,188524.0,407321.1666666667,134962.66666666666,35827063.666666664,292643.1666666667,19065903.833333332,4264957.833333333,1230310.0
2012-04-01,51505601.0,55455.0,148582.0,421196.0,132367.0,14230.0,1073897.0,44202741.0,4345911.0,217490.0,51234719.0,80053.5,182761.0,432135.8333333333,122976.83333333333,32895719.833333332,408614.3333333333,26287490.833333332,4360595.0,314350.3333333333
2012-05-01,59559675.0,104433.0,245766.0,424535.0,335690.0,58188364.0,557523.0,21449089.0,4815246.0,401248.0,58432884.0,85590.83333333333,187593.83333333334,433300.6666666667,165764.66666666666,42363201.0,460242.0,26318544.333333332,4413162.0,324588.3333333333
2012-06-01,93775598.0,108252.0,188807.0,268779.0,181729.0,59266819.0,665770.0,16744101.0,3914201.0,357206.0,67202087.5,91558.66666666667,194467.5,420708.5,166909.0,35071950.166666664,514276.5,28855854.166666668,4293704.833333333,324392.0
2012-07-01,98184291.0,122272.0,209926.0,322863.0,176686.0,656982.0,385889.0,15857852.0,5260762.0,357883.0,80113420.83333333,100125.0,202589.33333333334,408948.8333333333,181876.33333333334,32437463.166666668,544945.8333333334,28474671.5,4581368.666666667,350691.0
2012-08-01,40194087.0,233340.0,39267.0,244996.0,369145.0,32430920.0,359131.0,270608.0,5862500.0,414527.0,78233904.83333333,123629.0,174159.33333333334,353533.5,224785.33333333334,29006783.833333332,561462.3333333334,28447621.166666668,4872974.5,364548.1666666667
2012-09-01,87699009.0,82498.0,217287.0,282899.0,96365.0,23649693.0,508083.0,21297047.0,5704806.0,324137.0,71819710.16666667,117708.33333333333,174939.16666666666,327544.6666666667,215330.33333333334,29034501.333333332,591715.5,19970239.666666668,4983904.333333333,345415.1666666667
2012-10-01,44069455.0,287590.0,161372.0,440225.0,195476.0,61327941.0,352976.0,21346919.0,6245112.0,462754.0,70580352.5,156397.5,177070.83333333334,330716.1666666667,225848.5,39253453.166666664,471562.0,16160936.0,5300437.833333333,386292.5
2012-11-01,47137751.0,227077.0,151963.0,310631.0,217424.0,107036808.0,373244.0,15265173.0,5634837.0,304298.0,68510031.83333333,176838.16666666666,161437.0,311732.1666666667,206137.5,47394860.5,440848.8333333333,15130283.333333334,5437036.333333333,370134.1666666667
2012-12-01,44307605.0,239879.0,150497.0,245452.0,130813.0,18882647.0,827124.0,21232256.0,5138994.0,260464.0,60265366.333333336,198776.0,155052.0,307844.3333333333,197651.5,40664165.166666664,467741.1666666667,15878309.166666666,5641168.5,354010.5
2013-01-01,84134990.0,87994.0,108802.0,424275.0,90120.0,23601786.0,242812.0,226869.0,5532201.0,143841.0,57923816.166666664,193063.0,138198.0,324746.3333333333,183223.83333333334,44488299.166666664,443895.0,13273145.333333334,5686408.333333333,318336.8333333333
2013-02-01,93145444.0,50882.0,145599.0,756724.0,127938.0,56610831.0,281323.0,18187469.0,5653226.0,382852.0,66749042.333333336,162653.33333333334,155920.0,410034.3333333333,143022.66666666666,48518284.333333336,430927.0,16259288.833333334,5651529.333333333,313057.6666666667
2013-03-01,40665616.0,180989.0,167027.0,755778.0,118907.0,15084660.0,504845.0,21089472.0,5913462.0,189711.0,58910143.5,179068.5,147543.33333333334,488847.5,146779.66666666666,47090778.833333336,430387.3333333333,16224693.0,5686305.333333333,290653.3333333333
2013-04-01,51379218.0,100805.0,128759.0,632130.0,179951.0,54155457.0,346543.0,27061121.0,5750063.0,320516.0,60128437.333333336,147937.66666666666,142107.83333333334,520831.6666666667,144192.16666666666,45895364.833333336,429315.1666666667,17177060.0,5603797.166666667,266947.0
2013-05-01,135175731.0,38441.0,136012.0,817141.0,152693.0,21412683.0,467673.0,18295742.0,5636144.0,179104.0,74801434.0,116498.33333333333,139449.33333333334,605250.0,133403.66666666666,31624677.333333332,445053.3333333333,17682154.833333332,5604015.0,246081.33333333334
2013-06-01,54187085.0,188144.0,180694.0,611288.0,165596.0,27074174.0,242513.0,269203.0,4712159.0,234244.0,76448014.0,107875.83333333333,144482.16666666666,666222.6666666666,139200.83333333334,32989931.833333332,347618.1666666667,14188312.666666666,5532875.833333333,241711.33333333334
