date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη_6m_avg",Διάφορα βιομηχανικά είδη_6m_avg,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες_6m_avg",Λάδια και λίπη ζωικής ή φυτικής προέλευσης_6m_avg,Μηχανήματα και υλικό μεταφορών_6m_avg,"Ορυκτά, καύσιμα, λιπαντικά κλπ._6m_avg",Ποτά και καπνός_6m_avg,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα_6m_avg",Τρόφιμα και ζωντανά ζώα_6m_avg,Χημικά προϊόντα και συναφή_6m_avg
2006-09-01,2130800.0,421500.0,48200.0,2000.0,1291900.0,18174300.0,342200.0,2223800.0,1676800.0,1010700.0,2269733.3333333335,372316.6666666667,27000.0,21050.0,1379100.0,17860383.333333332,389700.0,18434050.0,1614416.6666666667,893783.3333333334
2006-10-01,2173900.0,518100.0,20200.0,27100.0,1950700.0,11976600.0,342300.0,62731700.0,1387600.0,802800.0,2274016.6666666665,401950.0,28783.333333333332,20725.0,1492133.3333333333,19823750.0,415850.0,23347716.666666668,1582600.0,879750.0
2006-11-01,1738100.0,262200.0,27700.0,18400.0,1101300.0,99039400.0,215200.0,26966800.0,1399400.0,981000.0,2106216.6666666665,373983.3333333333,27083.333333333332,20260.0,1416383.3333333333,36298950.0,378450.0,27391350.0,1491433.3333333333,886316.6666666666
2006-12-01,1565800.0,258700.0,13000.0,0.0,1344600.0,6074700.0,106000.0,35608700.0,1113900.0,500800.0,1910866.6666666667,342700.0,23766.666666666668,16520.0,1387366.6666666667,37282800.0,289033.3333333333,27697800.0,1378450.0,798633.3333333334
2007-01-01,4059700.0,566500.0,27100.0,0.0,1791000.0,90515900.0,750900.0,3781300.0,3222100.0,2529700.0,2282966.6666666665,385950.0,24916.666666666668,9500.0,1409850.0,52310983.333333336,324833.3333333333,27960133.333333332,1683333.3333333333,1054400.0
2007-02-01,1816400.0,236400.0,66000.0,47300.0,1927500.0,78697200.0,613700.0,66493200.0,2448400.0,6639700.0,2247450.0,377233.3333333333,33700.0,15800.0,1567833.3333333333,50746350.0,395050.0,32967583.333333332,1874700.0,2077450.0
2007-03-01,3069300.0,421000.0,181600.0,1100.0,2451800.0,152500.0,632100.0,9289100.0,2126700.0,1944800.0,2403866.6666666665,377150.0,55933.333333333336,15650.0,1761150.0,47742716.666666664,443366.6666666667,34145133.333333336,1949683.3333333333,2233133.3333333335
2007-04-01,2043200.0,401000.0,52100.0,,2220000.0,243300.0,356900.0,3275700.0,2053400.0,1733300.0,2382083.3333333335,357633.3333333333,61250.0,13360.0,1806033.3333333333,45787166.666666664,445800.0,24235800.0,2060650.0,2388216.6666666665
2007-05-01,2954700.0,357600.0,47000.0,24900.0,1976100.0,172800.0,462000.0,36920300.0,1379800.0,7526000.0,2584850.0,373533.3333333333,64466.666666666664,14660.0,1951833.3333333333,29309400.0,486933.3333333333,25894716.666666668,2057383.3333333333,3479050.0
2007-06-01,3715600.0,423600.0,73500.0,19000.0,2287400.0,34214200.0,681300.0,41604500.0,1561800.0,3999800.0,2943150.0,401016.6666666667,74550.0,18460.0,2108966.6666666665,33999316.666666664,582816.6666666666,26894016.666666668,2132033.3333333335,4062216.6666666665
2007-07-01,2292100.0,446900.0,25000.0,17600.0,2253600.0,25176300.0,609200.0,53206400.0,1327400.0,3660300.0,2648550.0,381083.3333333333,74200.0,21980.0,2186066.6666666665,23109383.333333332,559200.0,35131533.333333336,1816250.0,4250650.0
