YearWeekISO,Date,DisplayDate,TargetGroup,TargetGroupPop,FirstDose,SecondDose,FirstDoseTotal,SecondDoseTotal,FirstDoseTotalPct,SecondDoseTotalPct
2021-W13,2021-03-29,29/03/21,ALL,8864187.0,114429,110189,1170120,658414,0.132,0.0743
2021-W13,2021-03-29,29/03/21,Age18_24,782452.0,548,526,5143,3770,0.0066,0.0048
2021-W13,2021-03-29,29/03/21,Age25_49,3497414.0,9427,7381,125970,104428,0.036,0.0299
2021-W13,2021-03-29,29/03/21,Age50_59,1515472.0,6596,2683,66242,54848,0.0437,0.0362
2021-W13,2021-03-29,29/03/21,Age60+,3068849.0,97427,99560,971349,495294,0.3165,0.1614
2021-W13,2021-03-29,29/03/21,Age60_69,1291651.0,37173,1850,326404,23630,0.2527,0.0183
2021-W13,2021-03-29,29/03/21,Age70_79,1003958.0,51453,58314,235973,113890,0.235,0.1134
2021-W13,2021-03-29,29/03/21,Age80+,773240.0,8801,39396,408972,357774,0.5289,0.4627
2021-W13,2021-03-29,29/03/21,Age<60,5795338.0,16571,10590,197355,163046,0.0341,0.0281
2021-W13,2021-03-29,29/03/21,HCW,274955.0,5503,6964,147060,130593,0.5349,0.475
2021-W13,2021-03-29,29/03/21,LTCF,28913.0,774,1058,21654,17008,0.7489,0.5882
2021-W14,2021-04-05,05/04/21,ALL,8864187.0,262892,74646,1433012,733060,0.1617,0.0827
2021-W14,2021-04-05,05/04/21,Age18_24,782452.0,1429,358,6572,4128,0.0084,0.0053
2021-W14,2021-04-05,05/04/21,Age25_49,3497414.0,18613,5148,144583,109576,0.0413,0.0313
2021-W14,2021-04-05,05/04/21,Age50_59,1515472.0,20097,1949,86339,56797,0.057,0.0375
2021-W14,2021-04-05,05/04/21,Age60+,3068849.0,222753,67190,1194102,562484,0.3891,0.1833
2021-W14,2021-04-05,05/04/21,Age60_69,1291651.0,57164,1645,383568,25275,0.297,0.0196
2021-W14,2021-04-05,05/04/21,Age70_79,1003958.0,145990,45056,381963,158946,0.3805,0.1583
2021-W14,2021-04-05,05/04/21,Age80+,773240.0,19599,20489,428571,378263,0.5543,0.4892
2021-W14,2021-04-05,05/04/21,Age<60,5795338.0,40139,7455,237494,170501,0.041,0.0294
2021-W14,2021-04-05,05/04/21,HCW,274955.0,9089,4426,156149,135019,0.5679,0.4911
2021-W14,2021-04-05,05/04/21,LTCF,28913.0,191,1057,21845,18065,0.7555,0.6248
2021-W15,2021-04-12,12/04/21,ALL,8864187.0,285578,36292,1718590,769352,0.1939,0.0868
2021-W15,2021-04-12,12/04/21,Age18_24,782452.0,1146,207,7718,4335,0.0099,0.0055
2021-W15,2021-04-12,12/04/21,Age25_49,3497414.0,17418,3932,162001,113508,0.0463,0.0325
2021-W15,2021-04-12,12/04/21,Age50_59,1515472.0,17826,1807,104165,58604,0.0687,0.0387
2021-W15,2021-04-12,12/04/21,Age60+,3068849.0,246605,30346,1440707,592830,0.4695,0.1932
2021-W15,2021-04-12,12/04/21,Age60_69,1291651.0,80602,1435,464170,26710,0.3594,0.0207
2021-W15,2021-04-12,12/04/21,Age70_79,1003958.0,136992,18330,518955,177276,0.5169,0.1766
2021-W15,2021-04-12,12/04/21,Age80+,773240.0,29011,10581,457582,388844,0.5918,0.5029
2021-W15,2021-04-12,12/04/21,Age<60,5795338.0,36390,5946,273884,176447,0.0473,0.0304
