new_cases_0_17,new_cases_18_39,new_cases_40_64,new_cases_65,new_deaths_0_17,new_deaths_18_39,new_deaths_40_64,new_deaths_65,date,icu_0_17,icu_18_39,icu_40_64,icu_65,DisplayDate,new_cases_0_64,new_cases_0_64_7day,new_cases_65_7day,max_new_cases_0_64,max_new_cases_65,new_cases_%_of_max_0_64,new_cases_%_of_max_65,icu_0_64,icu_0_64_7day,icu_65_7day,max_icu_0_64,max_icu_65,icu_%_of_max_0_64,icu_%_of_max_65,new_deaths_0_64,new_deaths_0_64_7day,new_deaths_65_7day,max_new_deaths_0_64,max_new_deaths_65,new_deaths_%_of_max_0_64,new_deaths_%_of_max_65,new_cases_65_7day_share,new_cases_0_64_7day_share
66.0,230.0,311.0,107.0,0.0,1.0,1.0,16.0,2021-01-28,0,6,93,169,28/01/21,607.0,502.42857142857144,113.28571428571429,6029.285714285715,786.0,0.08333135884373889,0.14412940748818612,99,104.57142857142857,178.14285714285714,315.7142857142857,521.7142857142857,0.33122171945701356,0.34145673603504934,2.0,3.857142857142857,20.714285714285715,16.857142857142858,68.28571428571429,0.2288135593220339,0.303347280334728,0.1839907192575406,0.8160092807424594
120.0,272.0,377.0,156.0,0.0,0.0,4.0,18.0,2021-01-29,0,6,91,163,29/01/21,769.0,548.2857142857143,119.71428571428571,6029.285714285715,786.0,0.09093709276152115,0.15230825154489275,97,104.0,174.71428571428572,315.7142857142857,521.7142857142857,0.32941176470588235,0.3348849945235488,4.0,3.4285714285714284,20.285714285714285,16.857142857142858,68.28571428571429,0.20338983050847456,0.2970711297071129,0.17921300256629596,0.8207869974337041
67.0,284.0,317.0,193.0,0.0,0.0,5.0,10.0,2021-01-30,0,6,86,165,30/01/21,668.0,573.0,131.42857142857142,6029.285714285715,786.0,0.09503613315957825,0.16721192293711376,92,101.28571428571429,172.42857142857142,315.7142857142857,521.7142857142857,0.3208144796380091,0.3305038335158817,5.0,4.0,18.428571428571427,16.857142857142858,68.28571428571429,0.23728813559322035,0.26987447698744765,0.1865747312918272,0.8134252687081728
53.0,149.0,196.0,85.0,0.0,0.0,2.0,15.0,2021-01-31,0,6,86,163,31/01/21,398.0,593.2857142857143,132.71428571428572,6029.285714285715,786.0,0.09840066342850373,0.16884769174845513,92,99.14285714285714,169.85714285714286,315.7142857142857,521.7142857142857,0.31402714932126696,0.32557502738225635,2.0,3.7142857142857144,17.714285714285715,16.857142857142858,68.28571428571429,0.22033898305084745,0.2594142259414226,0.18280204643841008,0.81719795356159
56.0,167.0,219.0,97.0,0.0,0.0,9.0,24.0,2021-02-01,0,6,83,159,01/02/21,442.0,608.5714285714286,132.85714285714286,6029.285714285715,786.0,0.10093590806776448,0.16902944383860416,89,96.42857142857143,167.14285714285714,315.7142857142857,521.7142857142857,0.3054298642533937,0.3203723986856517,9.0,5.0,17.571428571428573,16.857142857142858,68.28571428571429,0.2966101694915254,0.25732217573221755,0.1791907514450867,0.8208092485549132
147.0,370.0,499.0,208.0,0.0,0.0,1.0,21.0,2021-02-02,0,6,80,158,02/02/21,1016.0,657.5714285714286,142.57142857142858,6029.285714285715,786.0,0.10906290723847885,0.18138858596873866,86,93.42857142857143,164.57142857142858,315.7142857142857,521.7142857142857,0.29592760180995475,0.31544359255202636,1.0,4.428571428571429,18.285714285714285,16.857142857142858,68.28571428571429,0.2627118644067797,0.26778242677824265,0.1781824674165328,0.8218175325834672
123.0,370.0,474.0,183.0,1.0,0.0,5.0,21.0,2021-02-03,0,6,80,160,03/02/21,967.0,695.2857142857143,147.0,6029.285714285715,786.0,0.11531809027366426,0.18702290076335878,86,91.57142857142857,162.42857142857142,315.7142857142857,521.7142857142857,0.29004524886877825,0.31133625410733845,6.0,4.142857142857143,17.857142857142858,16.857142857142858,68.28571428571429,0.2457627118644068,0.2615062761506276,0.17452510176390773,0.8254748982360923
145.0,318.0,430.0,173.0,0.0,0.0,3.0,22.0,2021-02-04,0,5,76,168,04/02/21,893.0,736.1428571428571,156.42857142857142,6029.285714285715,786.0,0.12209453856178176,0.1990185387131952,81,89.0,162.28571428571428,315.7142857142857,521.7142857142857,0.2819004524886878,0.31106243154435925,3.0,4.285714285714286,18.714285714285715,16.857142857142858,68.28571428571429,0.2542372881355932,0.2740585774058577,0.17525608194622277,0.8247439180537772
150.0,343.0,467.0,219.0,0.0,1.0,3.0,15.0,2021-02-05,0,5,74,167,05/02/21,960.0,763.4285714285714,165.42857142857142,6029.285714285715,786.0,0.12662006871223788,0.2104689203925845,79,86.42857142857143,162.85714285714286,315.7142857142857,521.7142857142857,0.2737556561085973,0.31215772179627604,4.0,4.285714285714286,18.285714285714285,16.857142857142858,68.28571428571429,0.2542372881355932,0.26778242677824265,0.17809904644724697,0.8219009535527529
135.0,337.0,437.0,185.0,0.0,0.0,1.0,28.0,2021-02-06,0,5,79,165,06/02/21,909.0,797.8571428571429,164.28571428571428,6029.285714285715,786.0,0.1323302926193579,0.20901490367139222,84,85.28571428571429,162.85714285714286,315.7142857142857,521.7142857142857,0.2701357466063349,0.31215772179627604,1.0,3.7142857142857144,20.857142857142858,16.857142857142858,68.28571428571429,0.22033898305084745,0.305439330543933,0.17074981440237566,0.8292501855976244
105.0,221.0,307.0,99.0,0.0,0.0,1.0,20.0,2021-02-07,0,5,83,174,07/02/21,633.0,831.4285714285714,166.28571428571428,6029.285714285715,786.0,0.13789835327567823,0.21155943293347873,88,84.71428571428571,164.42857142857142,315.7142857142857,521.7142857142857,0.2683257918552036,0.3151697699890471,1.0,3.5714285714285716,21.571428571428573,16.857142857142858,68.28571428571429,0.21186440677966104,0.3158995815899582,0.16666666666666666,0.8333333333333333
90.0,175.0,269.0,95.0,0.0,0.0,3.0,22.0,2021-02-08,0,6,88,182,08/02/21,534.0,844.5714285714286,166.0,6029.285714285715,786.0,0.14007818978793982,0.21119592875318066,94,85.42857142857143,167.71428571428572,315.7142857142857,521.7142857142857,0.27058823529411763,0.3214676889375685,3.0,2.7142857142857144,21.285714285714285,16.857142857142858,68.28571428571429,0.1610169491525424,0.31171548117154807,0.16426350014136273,0.8357364998586373
212.0,453.0,598.0,230.0,0.0,0.0,2.0,18.0,2021-02-09,0,6,90,181,09/02/21,1263.0,879.8571428571429,169.14285714285714,6029.285714285715,786.0,0.14593057694585948,0.21519447473645947,96,86.85714285714286,171.0,315.7142857142857,521.7142857142857,0.2751131221719457,0.3277656078860898,2.0,2.857142857142857,20.857142857142858,16.857142857142858,68.28571428571429,0.1694915254237288,0.305439330543933,0.16124199918289528,0.8387580008171047
213.0,451.0,570.0,241.0,0.0,0.0,5.0,12.0,2021-02-10,0,5,87,192,10/02/21,1234.0,918.0,177.42857142857142,6029.285714285715,786.0,0.15225684160644473,0.22573609596510358,92,87.71428571428571,175.57142857142858,315.7142857142857,521.7142857142857,0.2778280542986425,0.33652792990142394,5.0,2.7142857142857144,19.571428571428573,16.857142857142858,68.28571428571429,0.1610169491525424,0.28661087866108786,0.1619718309859155,0.8380281690140846
199.0,397.0,549.0,179.0,0.0,0.0,1.0,21.0,2021-02-11,0,5,85,191,11/02/21,1145.0,954.0,178.28571428571428,6029.285714285715,786.0,0.1582276981400308,0.2268266085059978,90,89.0,178.85714285714286,315.7142857142857,521.7142857142857,0.2819004524886878,0.34282584884994527,1.0,2.4285714285714284,19.428571428571427,16.857142857142858,68.28571428571429,0.14406779661016947,0.2845188284518828,0.15745647236941712,0.8425435276305829
167.0,451.0,568.0,191.0,0.0,0.0,4.0,17.0,2021-02-12,0,5,88,200,12/02/21,1186.0,986.2857142857143,174.28571428571428,6029.285714285715,786.0,0.16358251392015163,0.2217375499818248,93,91.0,183.57142857142858,315.7142857142857,521.7142857142857,0.28823529411764703,0.3518619934282585,4.0,2.4285714285714284,19.714285714285715,16.857142857142858,68.28571428571429,0.14406779661016947,0.28870292887029286,0.1501723289020187,0.8498276710979813
136.0,368.0,522.0,193.0,0.0,0.0,3.0,23.0,2021-02-13,0,6,91,203,13/02/21,1026.0,1003.0,175.42857142857142,6029.285714285715,786.0,0.16635469731074518,0.22319156670301707,97,92.85714285714286,189.0,315.7142857142857,521.7142857142857,0.29411764705882354,0.3622672508214677,3.0,2.7142857142857144,19.0,16.857142857142858,68.28571428571429,0.1610169491525424,0.27824267782426776,0.14886652927627592,0.8511334707237241
76.0,210.0,265.0,110.0,0.0,0.0,5.0,18.0,2021-02-14,0,6,88,207,14/02/21,551.0,991.2857142857143,177.0,6029.285714285715,786.0,0.16441179954981636,0.22519083969465647,94,93.71428571428571,193.71428571428572,315.7142857142857,521.7142857142857,0.29683257918552036,0.37130339539978097,5.0,3.2857142857142856,18.714285714285715,16.857142857142858,68.28571428571429,0.19491525423728812,0.2740585774058577,0.15150403521643435,0.8484959647835657
59.0,191.0,302.0,135.0,0.0,0.0,3.0,23.0,2021-02-15,0,5,88,206,15/02/21,552.0,993.8571428571429,182.71428571428572,6029.285714285715,786.0,0.16483828930221536,0.23246092330061796,93,93.57142857142857,197.14285714285714,315.7142857142857,521.7142857142857,0.29638009049773756,0.3778751369112815,3.0,3.2857142857142856,18.857142857142858,16.857142857142858,68.28571428571429,0.19491525423728812,0.27615062761506276,0.1552938319572608,0.8447061680427391
83.0,334.0,527.0,154.0,0.0,0.0,5.0,24.0,2021-02-16,0,5,90,214,16/02/21,944.0,948.2857142857143,171.85714285714286,6029.285714285715,786.0,0.15727994313469967,0.21864776444929118,95,93.42857142857143,201.85714285714286,315.7142857142857,521.7142857142857,0.29592760180995475,0.3869112814895948,5.0,3.7142857142857144,19.714285714285715,16.857142857142858,68.28571428571429,0.22033898305084745,0.28870292887029286,0.1534243081239638,0.8465756918760363
75.0,238.0,330.0,110.0,0.0,0.0,2.0,11.0,2021-02-17,0,4,93,216,17/02/21,643.0,863.8571428571429,153.14285714285714,6029.285714285715,786.0,0.14327686293093236,0.19483824063976735,97,94.14285714285714,205.28571428571428,315.7142857142857,521.7142857142857,0.2981900452488688,0.39348302300109533,2.0,3.2857142857142856,19.571428571428573,16.857142857142858,68.28571428571429,0.19491525423728812,0.28661087866108786,0.15058294704312403,0.849417052956876
129.0,403.0,608.0,261.0,0.0,0.0,6.0,21.0,2021-02-18,0,3,100,217,18/02/21,1140.0,863.1428571428571,164.85714285714286,6029.285714285715,786.0,0.14315839355526594,0.2097419120319884,103,96.0,209.0,315.7142857142857,521.7142857142857,0.3040723981900452,0.40060240963855426,6.0,4.0,19.571428571428573,16.857142857142858,68.28571428571429,0.23728813559322035,0.28661087866108786,0.16036687048360201,0.839633129516398
122.0,477.0,602.0,231.0,0.0,0.0,5.0,23.0,2021-02-19,0,3,102,220,19/02/21,1201.0,865.2857142857143,170.57142857142858,6029.285714285715,786.0,0.14351380168226513,0.21701199563794984,105,97.71428571428571,211.85714285714286,315.7142857142857,521.7142857142857,0.30950226244343887,0.40607886089813805,5.0,4.142857142857143,20.428571428571427,16.857142857142858,68.28571428571429,0.2457627118644068,0.29916317991631797,0.16466694249069094,0.8353330575093091
