TIME,GEO,UNIT,SEX,AGE,Value
2019W17,Greece,Number,Total,Total,"2,403"
2019W18,Greece,Number,Total,Total,"2,360"
2019W19,Greece,Number,Total,Total,"2,323"
2019W20,Greece,Number,Total,Total,"2,268"
2019W21,Greece,Number,Total,Total,"2,210"
2019W22,Greece,Number,Total,Total,"2,281"
2019W23,Greece,Number,Total,Total,"2,285"
2019W24,Greece,Number,Total,Total,"2,546"
2019W25,Greece,Number,Total,Total,"2,376"
2019W26,Greece,Number,Total,Total,"2,419"
2019W27,Greece,Number,Total,Total,"2,377"
2019W28,Greece,Number,Total,Total,"2,258"
2019W29,Greece,Number,Total,Total,"2,097"
2019W30,Greece,Number,Total,Total,"2,337"
2019W31,Greece,Number,Total,Total,"2,386"
2019W32,Greece,Number,Total,Total,"2,391"
2019W33,Greece,Number,Total,Total,"2,361"
2019W34,Greece,Number,Total,Total,"2,264"
2019W35,Greece,Number,Total,Total,"2,356"
2019W36,Greece,Number,Total,Total,"2,122"
2019W37,Greece,Number,Total,Total,"2,084"
2019W38,Greece,Number,Total,Total,"2,110"
2019W39,Greece,Number,Total,Total,"2,087"
2019W40,Greece,Number,Total,Total,"2,158"
2019W41,Greece,Number,Total,Total,"2,070"
2019W42,Greece,Number,Total,Total,"2,123"
2019W43,Greece,Number,Total,Total,"2,170"
2019W44,Greece,Number,Total,Total,"2,283"
2019W45,Greece,Number,Total,Total,"2,303"
2019W46,Greece,Number,Total,Total,"2,216"
2019W47,Greece,Number,Total,Total,"2,216"
2019W48,Greece,Number,Total,Total,"2,395"
2019W49,Greece,Number,Total,Total,"2,512"
2019W50,Greece,Number,Total,Total,"2,463"
2019W51,Greece,Number,Total,Total,"2,445"
2019W52,Greece,Number,Total,Total,"2,459"
2019W99,Greece,Number,Total,Total,0
2020W01,Greece,Number,Total,Total,"2,748"
2020W02,Greece,Number,Total,Total,"2,920"
2020W03,Greece,Number,Total,Total,"2,863"
2020W04,Greece,Number,Total,Total,"2,773"
2020W05,Greece,Number,Total,Total,"2,990"
2020W06,Greece,Number,Total,Total,"2,848"
2020W07,Greece,Number,Total,Total,"2,782"
2020W08,Greece,Number,Total,Total,"2,468"
2020W09,Greece,Number,Total,Total,"2,545"
2020W10,Greece,Number,Total,Total,"2,644"
2020W11,Greece,Number,Total,Total,"2,594"
2020W12,Greece,Number,Total,Total,"2,547"
2020W13,Greece,Number,Total,Total,"2,439"
2020W14,Greece,Number,Total,Total,"2,454"
2020W15,Greece,Number,Total,Total,"2,362"
2020W16,Greece,Number,Total,Total,"2,267"
2020W17,Greece,Number,Total,Total,"2,203"
2020W18,Greece,Number,Total,Total,"2,306"
2020W19,Greece,Number,Total,Total,"2,127"
2020W20,Greece,Number,Total,Total,"2,473"
2020W21,Greece,Number,Total,Total,"2,329"
2020W22,Greece,Number,Total,Total,"1,960"
2020W23,Greece,Number,Total,Total,"2,101"
2020W24,Greece,Number,Total,Total,"2,211"
2020W25,Greece,Number,Total,Total,"2,353"
2020W26,Greece,Number,Total,Total,"2,181"
2020W27,Greece,Number,Total,Total,"2,671"
2020W28,Greece,Number,Total,Total,"2,304"
2020W29,Greece,Number,Total,Total,"2,136"
2020W30,Greece,Number,Total,Total,"2,235"
2020W31,Greece,Number,Total,Total,"2,714"
2020W32,Greece,Number,Total,Total,"2,528"
2020W33,Greece,Number,Total,Total,"2,367"
2020W34,Greece,Number,Total,Total,"2,361"
2020W35,Greece,Number,Total,Total,"2,298"
2020W36,Greece,Number,Total,Total,"2,315"
2020W37,Greece,Number,Total,Total,"2,274"
2020W38,Greece,Number,Total,Total,"2,276"
2020W39,Greece,Number,Total,Total,"2,156"
2020W40,Greece,Number,Total,Total,"2,223"
2020W41,Greece,Number,Total,Total,"2,214"
2020W42,Greece,Number,Total,Total,"2,144"
2020W43,Greece,Number,Total,Total,"2,221"
2020W44,Greece,Number,Total,Total,"2,413"
2020W45,Greece,Number,Total,Total,"2,547"
2020W46,Greece,Number,Total,Total,"2,784"
2020W47,Greece,Number,Total,Total,"3,149"
2020W48,Greece,Number,Total,Total,"3,295"
2020W49,Greece,Number,Total,Total,"3,331"
2020W50,Greece,Number,Total,Total,0
2020W51,Greece,Number,Total,Total,0
2020W52,Greece,Number,Total,Total,0
2020W53,Greece,Number,Total,Total,0
2016W01,Attiki,Number,Total,Total,903
2016W02,Attiki,Number,Total,Total,940
2016W03,Attiki,Number,Total,Total,890
2016W04,Attiki,Number,Total,Total,903
2016W05,Attiki,Number,Total,Total,952
2016W06,Attiki,Number,Total,Total,902
2016W07,Attiki,Number,Total,Total,835
2016W08,Attiki,Number,Total,Total,738
2016W09,Attiki,Number,Total,Total,712
2016W10,Attiki,Number,Total,Total,787
2016W11,Attiki,Number,Total,Total,758
2016W12,Attiki,Number,Total,Total,771
2016W13,Attiki,Number,Total,Total,761
2016W14,Attiki,Number,Total,Total,811
2016W15,Attiki,Number,Total,Total,740
2016W16,Attiki,Number,Total,Total,671
2016W17,Attiki,Number,Total,Total,680
2016W18,Attiki,Number,Total,Total,736
2016W19,Attiki,Number,Total,Total,767
2016W20,Attiki,Number,Total,Total,702
2016W21,Attiki,Number,Total,Total,659
2016W22,Attiki,Number,Total,Total,718
2016W23,Attiki,Number,Total,Total,692
2016W24,Attiki,Number,Total,Total,701
2016W25,Attiki,Number,Total,Total,995
2016W26,Attiki,Number,Total,Total,833
2016W27,Attiki,Number,Total,Total,704
2016W28,Attiki,Number,Total,Total,721
2016W29,Attiki,Number,Total,Total,674
2016W30,Attiki,Number,Total,Total,801
2016W31,Attiki,Number,Total,Total,841
2016W32,Attiki,Number,Total,Total,815
2016W33,Attiki,Number,Total,Total,732
2016W34,Attiki,Number,Total,Total,689
2016W35,Attiki,Number,Total,Total,685
2016W36,Attiki,Number,Total,Total,718
2016W37,Attiki,Number,Total,Total,641
2016W38,Attiki,Number,Total,Total,568
2016W39,Attiki,Number,Total,Total,644
2016W40,Attiki,Number,Total,Total,748
2016W41,Attiki,Number,Total,Total,652
2016W42,Attiki,Number,Total,Total,687
2016W43,Attiki,Number,Total,Total,765
2016W44,Attiki,Number,Total,Total,710
2016W45,Attiki,Number,Total,Total,796
2016W46,Attiki,Number,Total,Total,775
2016W47,Attiki,Number,Total,Total,823
2016W48,Attiki,Number,Total,Total,817
2016W49,Attiki,Number,Total,Total,803
2016W50,Attiki,Number,Total,Total,781
2016W51,Attiki,Number,Total,Total,917
2016W52,Attiki,Number,Total,Total,929
2016W99,Attiki,Number,Total,Total,0
2017W01,Attiki,Number,Total,Total,"1,091"
2017W02,Attiki,Number,Total,Total,"1,190"
2017W03,Attiki,Number,Total,Total,"1,128"
2017W04,Attiki,Number,Total,Total,"1,044"
2017W05,Attiki,Number,Total,Total,"1,055"
2017W06,Attiki,Number,Total,Total,"1,001"
2017W07,Attiki,Number,Total,Total,915
2017W08,Attiki,Number,Total,Total,853
2017W09,Attiki,Number,Total,Total,807
2017W10,Attiki,Number,Total,Total,820
2017W11,Attiki,Number,Total,Total,876
2017W12,Attiki,Number,Total,Total,854
2017W13,Attiki,Number,Total,Total,781
2017W14,Attiki,Number,Total,Total,784
2017W15,Attiki,Number,Total,Total,804
2017W16,Attiki,Number,Total,Total,745
2017W17,Attiki,Number,Total,Total,760
2017W18,Attiki,Number,Total,Total,813
2017W19,Attiki,Number,Total,Total,744
2017W20,Attiki,Number,Total,Total,649
2017W21,Attiki,Number,Total,Total,710
2017W22,Attiki,Number,Total,Total,722
2017W23,Attiki,Number,Total,Total,683
2017W24,Attiki,Number,Total,Total,717
2017W25,Attiki,Number,Total,Total,701
2017W26,Attiki,Number,Total,Total,906
2017W27,Attiki,Number,Total,Total,934
2017W28,Attiki,Number,Total,Total,845
2017W29,Attiki,Number,Total,Total,717
2017W30,Attiki,Number,Total,Total,737
2017W31,Attiki,Number,Total,Total,768
2017W32,Attiki,Number,Total,Total,945
2017W33,Attiki,Number,Total,Total,797
2017W34,Attiki,Number,Total,Total,676
2017W35,Attiki,Number,Total,Total,718
2017W36,Attiki,Number,Total,Total,643
2017W37,Attiki,Number,Total,Total,676
2017W38,Attiki,Number,Total,Total,690
2017W39,Attiki,Number,Total,Total,642
2017W40,Attiki,Number,Total,Total,707
2017W41,Attiki,Number,Total,Total,750
2017W42,Attiki,Number,Total,Total,762
2017W43,Attiki,Number,Total,Total,677
2017W44,Attiki,Number,Total,Total,728
2017W45,Attiki,Number,Total,Total,804
2017W46,Attiki,Number,Total,Total,775
2017W47,Attiki,Number,Total,Total,752
2017W48,Attiki,Number,Total,Total,815
2017W49,Attiki,Number,Total,Total,774
2017W50,Attiki,Number,Total,Total,783
2017W51,Attiki,Number,Total,Total,817
2017W52,Attiki,Number,Total,Total,844
2017W99,Attiki,Number,Total,Total,0
2018W01,Attiki,Number,Total,Total,852
2018W02,Attiki,Number,Total,Total,870
2018W03,Attiki,Number,Total,Total,731
2018W04,Attiki,Number,Total,Total,844
2018W05,Attiki,Number,Total,Total,868
2018W06,Attiki,Number,Total,Total,847
2018W07,Attiki,Number,Total,Total,808
2018W08,Attiki,Number,Total,Total,825
2018W09,Attiki,Number,Total,Total,828
2018W10,Attiki,Number,Total,Total,842
2018W11,Attiki,Number,Total,Total,784
2018W12,Attiki,Number,Total,Total,787
2018W13,Attiki,Number,Total,Total,810
2018W14,Attiki,Number,Total,Total,741
2018W15,Attiki,Number,Total,Total,786
2018W16,Attiki,Number,Total,Total,791
2018W17,Attiki,Number,Total,Total,745
2018W18,Attiki,Number,Total,Total,765
2018W19,Attiki,Number,Total,Total,699
2018W20,Attiki,Number,Total,Total,690
2018W21,Attiki,Number,Total,Total,653
2018W22,Attiki,Number,Total,Total,755
2018W23,Attiki,Number,Total,Total,801
2018W24,Attiki,Number,Total,Total,762
2018W25,Attiki,Number,Total,Total,715
2018W26,Attiki,Number,Total,Total,708
2018W27,Attiki,Number,Total,Total,793
2018W28,Attiki,Number,Total,Total,749
2018W29,Attiki,Number,Total,Total,829
2018W30,Attiki,Number,Total,Total,792
2018W31,Attiki,Number,Total,Total,794
2018W32,Attiki,Number,Total,Total,812
2018W33,Attiki,Number,Total,Total,748
2018W34,Attiki,Number,Total,Total,770
2018W35,Attiki,Number,Total,Total,761
2018W36,Attiki,Number,Total,Total,755
2018W37,Attiki,Number,Total,Total,726
2018W38,Attiki,Number,Total,Total,739
2018W39,Attiki,Number,Total,Total,700
2018W40,Attiki,Number,Total,Total,752
2018W41,Attiki,Number,Total,Total,734
2018W42,Attiki,Number,Total,Total,727
2018W43,Attiki,Number,Total,Total,762
2018W44,Attiki,Number,Total,Total,745
2018W45,Attiki,Number,Total,Total,740
2018W46,Attiki,Number,Total,Total,819
2018W47,Attiki,Number,Total,Total,854
2018W48,Attiki,Number,Total,Total,752
2018W49,Attiki,Number,Total,Total,837
2018W50,Attiki,Number,Total,Total,869
2018W51,Attiki,Number,Total,Total,830
2018W52,Attiki,Number,Total,Total,905
2018W99,Attiki,Number,Total,Total,0
2019W01,Attiki,Number,Total,Total,914
2019W02,Attiki,Number,Total,Total,"1,007"
2019W03,Attiki,Number,Total,Total,"1,048"
2019W04,Attiki,Number,Total,Total,"1,006"
2019W05,Attiki,Number,Total,Total,983
2019W06,Attiki,Number,Total,Total,912
2019W07,Attiki,Number,Total,Total,856
2019W08,Attiki,Number,Total,Total,884
2019W09,Attiki,Number,Total,Total,934
2019W10,Attiki,Number,Total,Total,827
2019W11,Attiki,Number,Total,Total,849
2019W12,Attiki,Number,Total,Total,791
2019W13,Attiki,Number,Total,Total,766
2019W14,Attiki,Number,Total,Total,871
2019W15,Attiki,Number,Total,Total,754
2019W16,Attiki,Number,Total,Total,748
2019W17,Attiki,Number,Total,Total,854
2019W18,Attiki,Number,Total,Total,827
2019W19,Attiki,Number,Total,Total,750
2019W20,Attiki,Number,Total,Total,742
2019W21,Attiki,Number,Total,Total,726
2019W22,Attiki,Number,Total,Total,780
2019W23,Attiki,Number,Total,Total,800
2019W24,Attiki,Number,Total,Total,838
2019W25,Attiki,Number,Total,Total,847
2019W26,Attiki,Number,Total,Total,794
2019W27,Attiki,Number,Total,Total,781
2019W28,Attiki,Number,Total,Total,765
2019W29,Attiki,Number,Total,Total,684
2019W30,Attiki,Number,Total,Total,820
2019W31,Attiki,Number,Total,Total,778
2019W32,Attiki,Number,Total,Total,811
2019W33,Attiki,Number,Total,Total,785
2019W34,Attiki,Number,Total,Total,738
2019W35,Attiki,Number,Total,Total,793
2019W36,Attiki,Number,Total,Total,725
2019W37,Attiki,Number,Total,Total,707
2019W38,Attiki,Number,Total,Total,726
2019W39,Attiki,Number,Total,Total,718
2019W40,Attiki,Number,Total,Total,737
2019W41,Attiki,Number,Total,Total,657
2019W42,Attiki,Number,Total,Total,731
2019W43,Attiki,Number,Total,Total,722
2019W44,Attiki,Number,Total,Total,771
2019W45,Attiki,Number,Total,Total,743
2019W46,Attiki,Number,Total,Total,676
2019W47,Attiki,Number,Total,Total,707
2019W48,Attiki,Number,Total,Total,803
2019W49,Attiki,Number,Total,Total,850
2019W50,Attiki,Number,Total,Total,847
2019W51,Attiki,Number,Total,Total,789
2019W52,Attiki,Number,Total,Total,844
2019W99,Attiki,Number,Total,Total,0
2020W01,Attiki,Number,Total,Total,933
2020W02,Attiki,Number,Total,Total,997
2020W03,Attiki,Number,Total,Total,"1,016"
2020W04,Attiki,Number,Total,Total,"1,016"
2020W05,Attiki,Number,Total,Total,"1,000"
2020W06,Attiki,Number,Total,Total,951
2020W07,Attiki,Number,Total,Total,927
2020W08,Attiki,Number,Total,Total,835
2020W09,Attiki,Number,Total,Total,845
2020W10,Attiki,Number,Total,Total,868
2020W11,Attiki,Number,Total,Total,886
2020W12,Attiki,Number,Total,Total,883
2020W13,Attiki,Number,Total,Total,853
2020W14,Attiki,Number,Total,Total,813
2020W15,Attiki,Number,Total,Total,811
2020W16,Attiki,Number,Total,Total,729
2020W17,Attiki,Number,Total,Total,706
2020W18,Attiki,Number,Total,Total,807
2020W19,Attiki,Number,Total,Total,644
2020W20,Attiki,Number,Total,Total,799
2020W21,Attiki,Number,Total,Total,751
2020W22,Attiki,Number,Total,Total,614
2020W23,Attiki,Number,Total,Total,676
2020W24,Attiki,Number,Total,Total,721
2020W25,Attiki,Number,Total,Total,783
2020W26,Attiki,Number,Total,Total,736
2020W27,Attiki,Number,Total,Total,859
2020W28,Attiki,Number,Total,Total,789
2020W29,Attiki,Number,Total,Total,731
2020W30,Attiki,Number,Total,Total,741
2020W31,Attiki,Number,Total,Total,928
2020W32,Attiki,Number,Total,Total,881
2020W33,Attiki,Number,Total,Total,800
2020W34,Attiki,Number,Total,Total,827
2020W35,Attiki,Number,Total,Total,770
2020W36,Attiki,Number,Total,Total,752
2020W37,Attiki,Number,Total,Total,750
2020W38,Attiki,Number,Total,Total,751
2020W39,Attiki,Number,Total,Total,746
2020W40,Attiki,Number,Total,Total,732
2020W41,Attiki,Number,Total,Total,761
2020W42,Attiki,Number,Total,Total,688
2020W43,Attiki,Number,Total,Total,788
2020W44,Attiki,Number,Total,Total,789
2020W45,Attiki,Number,Total,Total,804
2020W46,Attiki,Number,Total,Total,827
2020W47,Attiki,Number,Total,Total,810
2020W48,Attiki,Number,Total,Total,878
2020W49,Attiki,Number,Total,Total,929
2020W50,Attiki,Number,Total,Total,0
2020W51,Attiki,Number,Total,Total,0
2020W52,Attiki,Number,Total,Total,0
2020W53,Attiki,Number,Total,Total,0
2016W01,Attiki,Number,Total,Total,903
2016W02,Attiki,Number,Total,Total,940
2016W03,Attiki,Number,Total,Total,890
2016W04,Attiki,Number,Total,Total,903
2016W05,Attiki,Number,Total,Total,952
2016W06,Attiki,Number,Total,Total,902
2016W07,Attiki,Number,Total,Total,835
2016W08,Attiki,Number,Total,Total,738
2016W09,Attiki,Number,Total,Total,712
2016W10,Attiki,Number,Total,Total,787
2016W11,Attiki,Number,Total,Total,758
2016W12,Attiki,Number,Total,Total,771
2016W13,Attiki,Number,Total,Total,761
2016W14,Attiki,Number,Total,Total,811
2016W15,Attiki,Number,Total,Total,740
2016W16,Attiki,Number,Total,Total,671
2016W17,Attiki,Number,Total,Total,680
2016W18,Attiki,Number,Total,Total,736
2016W19,Attiki,Number,Total,Total,767
2016W20,Attiki,Number,Total,Total,702
2016W21,Attiki,Number,Total,Total,659
2016W22,Attiki,Number,Total,Total,718
2016W23,Attiki,Number,Total,Total,692
2016W24,Attiki,Number,Total,Total,701
2016W25,Attiki,Number,Total,Total,995
